It is strange to be known so universally and yet to be so lonely.,Albert Einstein,alone
Alone we can do so little together we can do so much.,Helen Keller,alone
It's often just enough to be with someone. I don't need to touch them. Not even talk. A feeling passes between you both. You're not alone.,Marilyn Monroe,alone
Associate with men of good quality if you esteem your own reputation for it is better to be alone than in bad company.,George Washington,alone
I restore myself when I'm alone.,Marilyn Monroe,alone
A man is born alone and dies alone and he experiences the good and bad consequences of his karma alone and he goes alone to hell or the Supreme abode.,Chanakya,alone
I have to be alone very often. I'd be quite happy if I spent from Saturday night until Monday morning alone in my apartment. That's how I refuel.,Audrey Hepburn,alone
"I don't want to be alone, I want to be left alone.",Audrey Hepburn,alone
You cannot be lonely if you like the person you're alone with.,Wayne Dyer,alone
"We allow our ignorance to prevail upon us and make us think we can survive alone, alone in patches, alone in groups, alone in races, even alone in genders.",Maya Angelou,alone
"If it's true that our species is alone in the universe, then I'd have to say the universe aimed rather low and settled for very little.",George Carlin,alone
Language... has created the word 'loneliness' to express the pain of being alone. And it has created the word 'solitude' to express the glory of being alone.,Paul Tillich,alone
I love to be alone. I never found the companion that was so companionable as solitude.,Henry David Thoreau,alone
Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,Abdul Kalam,alone
Every man must do two things alone he must do his own believing and his own dying.,Martin Luther,alone
Loneliness is my least favorite thing about life. The thing that I'm most worried about is just being alone without anybody to care for or someone who will care for me.,Anne Hathaway,alone
"I have never found a companion that was so companionable as solitude. We are for the most part more lonely when we go abroad among men than when we stay in our chambers. A man thinking or working is always alone, let him be where he will.",Henry David Thoreau,alone
I finally faced the fact that it isn't a crime not having friends. Being alone means you have fewer problems.,Whitney Houston,alone
"Yes, I guess you could say I am a loner, but I feel more lonely in a crowed room with boring people than I feel on my own.",Henry Rollins,alone
The only real progress lies in learning to be wrong all alone.,Albert Camus,alone
"If you are lonely when you're alone, you are in bad company.",Jean-Paul Sartre,alone
Life could be wonderful if people would leave you alone.,Charlie Chaplin,alone
All men's miseries derive from not being able to sit in a quiet room alone.,Blaise Pascal,alone
We are rarely proud when we are alone.,Voltaire,alone
"We are all sentenced to solitary confinement inside our own skins, for life.",Tennessee Williams,alone
"It's an interesting combination: Having a great fear of being alone, and having a desperate need for solitude and the solitary experience. That's always been a tug of war for me.",Jodie Foster,alone
"Unlike a drop of water which loses its identity when it joins the ocean, man does not lose his being in the society in which he lives. Man's life is independent. He is born not for the development of the society alone, but for the development of his self.",B. R. Ambedkar,alone
"If I am a legend, then why am I so lonely?",Judy Garland,alone
A man can be himself only so long as he is alone.,Arthur Schopenhauer,alone
What a lovely surprise to finally discover how unlonely being alone can be.,Ellen Burstyn,alone
