Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else you are the one who gets burned.,Buddha,anger
"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy.",Aristotle,anger
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,Mark Twain,anger
Anger dwells only in the bosom of fools.,Albert Einstein,anger
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.,Maya Angelou,anger
"In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.",Buddha,anger
"For every minute you remain angry, you give up sixty seconds of peace of mind.",Ralph Waldo Emerson,anger
Anger and intolerance are the enemies of correct understanding.,Mahatma Gandhi,anger
Speak when you are angry and you will make the best speech you will ever regret.,Ambrose Bierce,anger
"When angry, count to four when very angry, swear.",Mark Twain,anger
"When angry count to ten before you speak. If very angry, count to one hundred.",Thomas Jefferson,anger
Man should forget his anger before he lies down to sleep.,Mahatma Gandhi,anger
Whatever is begun in anger ends in shame.,Benjamin Franklin,anger
"Usually when people are sad, they don't do anything. They just cry over their condition. But when they get angry, they bring about a change.",James Russell Lowell,anger
"When anger rises, think of the consequences.",Confucius,anger
A man who has never made a woman angry is a failure in life.,Christopher Morley,anger
It is impossible for you to be angry and laugh at the same time. Anger and laughter are mutually exclusive and you have the power to choose either.,Wayne Dyer,anger
"Anger is a killing thing: it kills the man who angers, for each rage leaves him less than he had been before - it takes something from him.",Louis L'Amour,anger
"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects.",Richard M. Nixon,anger
"Get mad, then get over it.",Colin Powell,anger
He who angers you conquers you.,Elizabeth Kenny,anger
"Heaven has no rage like love to hatred turned, nor hell a fury like a woman scorned.",William Congreve,anger
"Beware of him that is slow to anger for when it is long coming, it is the stronger when it comes, and the longer kept. Abused patience turns to fury.",Francis Quarles,anger
Never go to bed mad. Stay up and fight.,Phyllis Diller,anger
"There are two things a person should never be angry at, what they can help, and what they cannot.",Plato,anger
Anger and jealousy can no more bear to lose sight of their objects than love.,George Eliot,anger
"When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger.",Epictetus,anger
How much more grievous are the consequences of anger than the causes of it.,Marcus Aurelius,anger
"Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.",Lucius Annaeus Seneca,anger
A man that studieth revenge keeps his own wounds green.,Francis Bacon,anger
Hatred is an affair of the heart contempt that of the head.,Arthur Schopenhauer,anger
