More marriages might survive if the partners realized that sometimes the better comes after the worse.,Doug Larson,anniversary
"We are not the same persons this year as last nor are those we love. It is a happy chance if we, changing, continue to love a changed person.",W. Somerset Maugham,anniversary
"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.",Martin Luther,anniversary
"Marriage is the most natural state of man, and... the state in which you will find solid happiness.",Benjamin Franklin,anniversary
"Marriage is an alliance entered into by a man who can't sleep with the window shut, and a woman who can't sleep with the window open.",George Bernard Shaw,anniversary
"Experts on romance say for a happy marriage there has to be more than a passionate love. For a lasting union, they insist, there must be a genuine liking for each other. Which, in my book, is a good definition for friendship.",Marilyn Monroe,anniversary
"The heart of marriage is memories and if the two of you happen to have the same ones and can savor your reruns, then your marriage is a gift from the gods.",Bill Cosby,anniversary
"Mom and Dad were married 64 years. And if you wondered what their secret was, you could have asked the local florist - because every day Dad gave Mom a rose, which he put on her bedside table. That's how she found out what happened on the day my father died - she went looking for him because that morning, there was no rose.",Mitt Romney,anniversary
"Strike an average between what a woman thinks of her husband a month before she marries him and what she thinks of him a year afterward, and you will have the truth about him.",H. L. Mencken,anniversary
"Marriage is an act of will that signifies and involves a mutual gift, which unites the spouses and binds them to their eventual souls, with whom they make up a sole family - a domestic church.",Pope John Paul II,anniversary
"A wedding anniversary is the celebration of love, trust, partnership, tolerance and tenacity. The order varies for any given year.",Paul Sweeney,anniversary
The secret of a happy marriage is finding the right person. You know they're right if you love to be with them all the time.,Julia Child,anniversary
"You will reciprocally promise love, loyalty and matrimonial honesty. We only want for you this day that these words constitute the principle of your entire life and that with the help of divine grace you will observe these solemn vows that today, before God, you formulate.",Pope John Paul II,anniversary
"Some people ask the secret of our long marriage. We take time to go to a restaurant two times a week. A little candlelight, dinner, soft music and dancing. She goes Tuesdays, I go Fridays.",Henny Youngman,anniversary
Why does a woman work ten years to change a man's habits and then complain that he's not the man she married?,Barbra Streisand,anniversary
The concept of two people living together for 25 years without a serious dispute suggests a lack of spirit only to be admired in sheep.,A. P. Herbert,anniversary
One should believe in marriage as in the immortality of the soul.,Honore de Balzac,anniversary
A lot of good love can happen in ten years.,Jim Carrey,anniversary
"Chains do not hold a marriage together. It is threads, hundreds of tiny threads, which sew people together through the years.",Simone Signoret,anniversary
Under this window in stormy weather I marry this man and woman together Let none but Him who rules the thunder Put this man and woman asunder.,Jonathan Swift,anniversary
The bonds of matrimony are like any other bonds - they mature slowly.,Peter De Vries,anniversary
"I've been in love with the same woman for forty-one years. If my wife finds out, she'll kill me.",Henny Youngman,anniversary
Never tell a secret to a bride or a groom wait until they have been married longer.,E. W. Howe,anniversary
"I think you have to be willing to take a bullet for somebody if you're going to stand up there, take your vows, and be married to them for the rest of your life.",Blake Shelton,anniversary
"If you love somebody, you love them. My parents had a 25-year age gap between them and my mum was the breadwinner, my dad the house husband. I'm a strong believer that a good relationship can work, whatever the situation.",Katherine Jenkins,anniversary
Married people from my generation are like an endangered species!,Patrice Leconte,anniversary
That there's no more important decision in life than who you marry.,Brad Paisley,anniversary
"Marriage is a coming together for better or for worse, hopefully enduring, and intimate to the degree of being sacred.",William O. Douglas,anniversary
You marry somebody you love everything about them. You grow to learn about them. You never learn everything.,Chris Daughtry,anniversary
Love is not weakness. It is strong. Only the sacrament of marriage can contain it.,Boris Pasternak,anniversary
"My mother and stepfather were married 43 years, so I have watched a long marriage. I feel like I had a very good role model for that. And, you know, it's just a number.",Jamie Lee Curtis,anniversary
"Love grows more tremendously full, swift, poignant, as the years multiply.",Zane Grey,anniversary
"Each year on the anniversary of Martin Luther King Jr.'s birth, America has the opportunity to reflect on our nation's progress towards the realization of his dream.",Adam Schiff,anniversary
"So I think you have to marry for the right reasons, and marry the right person.",Anne Bancroft,anniversary
"Next month, I will celebrate my 30th anniversary of marriage with my beautiful bride, Vicki. Our marriage has been a blessing. I have gained even more respect for the institution over the past 3 decades and will defend it against attack.",Todd Tiahrt,anniversary
"But to sustain a marriage for 50 years, you have to get real a little bit and find someone who is understanding and who you can grow with. My mom always says, 'Marry the man who loves you a millimeter more.'",Ali Larter,anniversary
We had a relationship that lasted 44 years. Herbert and I lived together 10 years before we were married. He always gave me a little heart for whatever anniversary.,Uta Hagen,anniversary
"The day before the anniversary of D-Day, we lost a man who was equaled by few and surpassed by none as a leader in the cause of freedom: Ronald Reagan.",Mac Thornberry,anniversary
"Last week, the House of Representatives passed a resolution honoring the victims and heroes of September 11th. As we commemorate the anniversary of 9-11, we must also remember that the threat is still very real today.",Michael McCaul,anniversary
Since I wrote to you last we have got our chapel beautifully lighted with gas and have had our anniversary.,John Hawley,anniversary
"So while an incredible amount of progress has been made, on this fifth anniversary, I wanted to come here and tell the people of this city directly: My administration is going to stand with you - and fight alongside you - until the job is done. Until New Orleans is all the way back, all the way.",Barack Obama,anniversary
"I've been sober for two-and-a-half years, My children are happy. In August, my wife and I will celebrate our fifteenth wedding anniversary. My band is back together with a sold-out tour.",Trey Anastasio,anniversary
"I have for some time urged that a nuclear abolition summit to mark the effective end of the nuclear era be convened in Hiroshima and Nagasaki on the 70th anniversary of the bombings of those cities, with the participation of national leaders and representatives of global civil society.",Daisaku Ikeda,anniversary
"And this year is going to be the 25th anniversary of the 17-0 team, the only undefeated season.",Don Shula,anniversary
The London games mark the 24th anniversary of my winning two golds and setting the world record in the heptathlon. Someone is going to want it records are made to be broken - it's only a matter of time. I hope mine will outlive me.,Jackie Joyner-Kersee,anniversary
"We can't forget what happened on May 4th, 1970, when four students gave up their lives because they had the American constitutional right of peaceful protest. They gave up their lives. And to sing that song in that spot on that anniversary was very emotional for us.",Graham Nash,anniversary
"See, the 'On the Road' that came out in 1957 was censored. A lot of the honesty of it, the bitter honesty, is in the original scroll version that came out in 2007 on the 50-year anniversary. Back then, there was so much post-Second World War fear that was imposed on everybody - 'You must live life this way' - and these guys were bored.",Garrett Hedlund,anniversary
"The chances of a reunion now are less likely. I was thinking of having a 40th anniversary of the band, but now they are really another band, so it's all a bit weird.",Alvin Lee,anniversary
"On this important anniversary, we must remember that while we have come a long way in eliminating barriers, critical work remains to ensure all Americans can live up to their full potential.",Jim Ramstad,anniversary
"And currently, there are four to five new works in the pipeline for upcoming celebrations such as the Sydney 2000 Olympics, Australian Federation, my 50th Birthday, and Sydney Dance Company's 25th Anniversary.",Graeme Murphy,anniversary
