We shape our buildings thereafter they shape us.,Winston Churchill,architecture
Whatever good things we build end up building us.,Jim Rohn,architecture
I don't build in order to have clients. I have clients in order to build.,Ayn Rand,architecture
A building has integrity just like a man. And just as seldom.,Ayn Rand,architecture
"Every great architect is - necessarily - a great poet. He must be a great original interpreter of his time, his day, his age.",Frank Lloyd Wright,architecture
"We require from buildings two kinds of goodness: first, the doing their practical duty well: then that they be graceful and pleasing in doing it.",John Ruskin,architecture
"An architect's most useful tools are an eraser at the drafting board, and a wrecking bar at the site.",Frank Lloyd Wright,architecture
"Light, God's eldest daughter, is a principal beauty in a building.",Thomas Fuller,architecture
"Architecture should speak of its time and place, but yearn for timelessness.",Frank Gehry,architecture
Less is more.,Ludwig Mies van der Rohe,architecture
"I don't divide architecture, landscape and gardening to me they are one.",Luis Barragan,architecture
Architecture is the art of how to waste space.,Philip Johnson,architecture
"My passion and great enjoyment for architecture, and the reason the older I get the more I enjoy it, is because I believe we - architects - can effect the quality of life of the people.",Richard Rogers,architecture
"Building art is a synthesis of life in materialised form. We should try to bring in under the same hat not a splintered way of thinking, but all in harmony together.",Alvar Aalto,architecture
The higher the building the lower the morals.,Noel Coward,architecture
A house is a machine for living in.,Le Corbusier,architecture
"A great building must begin with the unmeasurable, must go through measurable means when it is being designed and in the end must be unmeasurable.",Louis Kahn,architecture
Those who look for the laws of Nature as a support for their new works collaborate with the creator.,Antonio Gaudi,architecture
"Architecture is basically a container of something. I hope they will enjoy not so much the teacup, but the tea.",Yoshio Taniguchi,architecture
"Architecture is the learned game, correct and magnificent, of forms assembled in the light.",Le Corbusier,architecture
I believe that the way people live can be directed a little by architecture.,Tadao Ando,architecture
Space has always been the spiritual dimension of architecture. It is not the physical statement of the structure so much as what it contains that moves us.,Arthur Erickson,architecture
"Great buildings that move the spirit have always been rare. In every case they are unique, poetic, products of the heart.",Arthur Erickson,architecture
Architecture starts when you carefully put two bricks together. There it begins.,Ludwig Mies van der Rohe,architecture
I try to give people a different way of looking at their surroundings. That's art to me.,Maya Lin,architecture
Architecture is the reaching out for the truth.,Louis Kahn,architecture
We should concentrate our work not only to a separated housing problem but housing involved in our daily work and all the other functions of the city.,Alvar Aalto,architecture
"Make big plans aim high in hope and work, remembering that a noble, logical diagram once recorded will not die.",Daniel Burnham,architecture
"Architecture arouses sentiments in man. The architect's task therefore, is to make those sentiments more precise.",Adolf Loos,architecture
To provide meaningful architecture is not to parody history but to articulate it.,Daniel Libeskind,architecture
"To me, a building - if it's beautiful - is the love of one man, he's made it out of his love for space, materials, things like that.",Martha Graham,architecture
Form follows profit is the aesthetic principle of our times.,Richard Rogers,architecture
Warmth isn't what minimalists are thought to have.,Maya Lin,architecture
But the building's identity resided in the ornament.,Louis Sullivan,architecture
It is not the beauty of a building you should look at its the construction of the foundation that will stand the test of time.,David Allan Coe,architecture
"I hate vacations. If you can build buildings, why sit on the beach?",Philip Johnson,architecture
"A city building, you experience when you walk a suburban building, you experience when you drive.",Helmut Jahn,architecture
Every building is a prototype. No two are alike.,Helmut Jahn,architecture
"The loftier the building, the deeper must the foundation be laid.",Thomas a Kempis,architecture
"I love building spaces: architecture, furniture, all of it, probably more than fashion. The development procedure is more tactile. It's about space and form and it's something you can share with other people.",Donna Karan,architecture
"Architecture is a visual art, and the buildings speak for themselves.",Julia Morgan,architecture
We build buildings which are terribly restless. And buildings don't go anywhere. They shouldn't be restless.,Minoru Yamasaki,architecture
"Architecture tends to consume everything else, it has become one's entire life.",Arne Jacobsen,architecture
"What people want, above all, is order.",Stephen Gardiner,architecture
The interior of the house personifies the private world the exterior of it is part of the outside world.,Stephen Gardiner,architecture
"If you give people nothingness, they can ponder what can be achieved from that nothingness.",Tadao Ando,architecture
Nothing requires the architect's care more than the due proportions of buildings.,Marcus V. Pollio,architecture
"Proportions are what makes the old Greek temples classic in their beauty. They are like huge blocks, from which the air has been literally hewn out between the columns.",Arne Jacobsen,architecture
"Architecture is not an inspirational business, it's a rational procedure to do sensible and hopefully beautiful things that's all.",Harry Seidler,architecture
Not many architects have the luxury to reject significant things.,Rem Koolhaas,architecture
Cities are the greatest creations of humanity.,Daniel Libeskind,architecture
