Choosing to be positive and having a grateful attitude is going to determine how you're going to live your life.,Joel Osteen,attitude
"My attitude is that if you push me towards something that you think is a weakness, then I will turn that perceived weakness into a strength.",Michael Jordan,attitude
Weakness of attitude becomes weakness of character.,Albert Einstein,attitude
Nothing can stop the man with the right mental attitude from achieving his goal nothing on earth can help the man with the wrong mental attitude.,Thomas Jefferson,attitude
Attitude is a little thing that makes a big difference.,Winston Churchill,attitude
"Your attitude, not your aptitude, will determine your altitude.",Zig Ziglar,attitude
"There is little difference in people, but that little difference makes a big difference. The little difference is attitude. The big difference is whether it is positive or negative.",W. Clement Stone,attitude
"Develop an attitude of gratitude, and give thanks for everything that happens to you, knowing that every step forward is a step toward achieving something bigger and better than your current situation.",Brian Tracy,attitude
"Everything can be taken from a man but one thing: the last of human freedoms - to choose one's attitude in any given set of circumstances, to choose one's own way.",Viktor E. Frankl,attitude
"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",Wade Boggs,attitude
Morality is simply the attitude we adopt towards people whom we personally dislike.,Oscar Wilde,attitude
"It is not the body's posture, but the heart's attitude that counts when we pray.",Billy Graham,attitude
"People may hear your words, but they feel your attitude.",John C. Maxwell,attitude
"But the attitude of faith is to let go, and become open to truth, whatever it might turn out to be.",Alan Watts,attitude
Character is the result of two things: mental attitude and the way we spend our time.,Elbert Hubbard,attitude
Our attitude towards others determines their attitude towards us.,Earl Nightingale,attitude
Adopting the right attitude can convert a negative stress into a positive one.,Hans Selye,attitude
"Take the attitude of a student, never be too big to ask questions, never know too much to learn something new.",Og Mandino,attitude
The reactionary is always willing to take a progressive attitude on any issue that is dead.,Theodore Roosevelt,attitude
Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,Raymond Chandler,attitude
Cock your hat - angles are attitudes.,Frank Sinatra,attitude
When you pray for anyone you tend to modify your personal attitude toward him.,Norman Vincent Peale,attitude
"If you are going to achieve excellence in big things, you develop the habit in little matters. Excellence is not an exception, it is a prevailing attitude.",Colin Powell,attitude
"I'm only going to stand before God and give an account for my life, not for somebody else's life. If I have a bad attitude, then I need to say there's no point in me blaming you for what's wrong in my life.",Joyce Meyer,attitude
"It is our attitude at the beginning of a difficult task which, more than anything else, will affect its successful outcome.",William James,attitude
"My attitude is, if someone's going to criticize me, tell me to my face.",Simon Cowell,attitude
Having a positive mental attitude is asking how something can be done rather than saying it can't be done.,Bo Bennett,attitude
"My general attitude to life is to enjoy every minute of every day. I never do anything with a feeling of, 'Oh God, I've got to do this today.'",Richard Branson,attitude
A complainer is like a Death Eater because there's a suction of negative energy. You can catch a great attitude from great people.,Barbara Corcoran,attitude
"The meaning of things lies not in the things themselves, but in our attitude towards them.",Antoine de Saint-Exupery,attitude
"Pink isn't just a color, it's an attitude!",Miley Cyrus,attitude
"The remarkable thing is, we have a choice everyday regarding the attitude we will embrace for that day.",Charles R. Swindoll,attitude
A positive attitude can really make dreams come true - it did for me.,David Bailey,attitude
Good humor is one of the best articles of dress one can wear in society.,William Makepeace Thackeray,attitude
"When you are thwarted, it is your own attitude that is out of order.",Meister Eckhart,attitude
"I think it's my adventure, my trip, my journey, and I guess my attitude is, let the chips fall where they may.",Leonard Nimoy,attitude
Bad attitudes will ruin your team.,Terry Bradshaw,attitude
"For success, attitude is equally as important as ability.",Walter Scott,attitude
"Happiness is an attitude of mind, born of the simple determination to be happy under all outward circumstances.",J. Donald Walters,attitude
Great effort springs naturally from great attitude.,Pat Riley,attitude
Attitudes are more important than facts.,George MacDonald,attitude
Attitude is everything.,Diane von Furstenberg,attitude
Attitude determines the altitude of life.,Edwin Louis Cole,attitude
Our attitude toward life determines life's attitude towards us.,John N. Mitchell,attitude
The greatest discovery of my generation is that man can alter his life simply by altering his attitude of mind.,James Truslow Adams,attitude
But my attitude about it is I have miles to go before I sleep.,Peabo Bryson,attitude
"The attitude is very important. Because, your behavior radiates how you feel.",Lou Ferrigno,attitude
"When you ain't got no money, you gotta get an attitude.",Richard Pryor,attitude
"Civilization is a method of living, an attitude of equal respect for all men.",Jane Addams,attitude
Most of us start out with a positive attitude and a plan to do our best.,Marilu Henner,attitude
"There are no menial jobs, only menial attitudes.","William J. Brennan, Jr.",attitude
Funny is an attitude.,Flip Wilson,attitude
The biggest challenge is how to affect public attitudes and make people care.,Jim Fowler,attitude
"If you don't like something, change it. If you can't change it, change your attitude.",Maya Angelou,attitude
"It is very important to generate a good attitude, a good heart, as much as possible. From this, happiness in both the short term and the long term for both yourself and others will come.",Dalai Lama,attitude
Your living is determined not so much by what life brings to you as by the attitude you bring to life not so much by what happens to you as by the way your mind looks at what happens.,Khalil Gibran,attitude
"Happiness doesn't depend on any external conditions, it is governed by our mental attitude.",Dale Carnegie,attitude
"Whenever you're in conflict with someone, there is one factor that can make the difference between damaging your relationship and deepening it. That factor is attitude.",William James,attitude
Keep a good attitude and do the right thing even when it's hard. When you do that you are passing the test. And God promises you your marked moments are on their way.,Joel Osteen,attitude
"Success or failure depends more upon attitude than upon capacity successful men act as though they have accomplished or are enjoying something. Soon it becomes a reality. Act, look, feel successful, conduct yourself accordingly, and you will be amazed at the positive results.",William James,attitude
"Like success, failure is many things to many people. With Positive Mental Attitude, failure is a learning experience, a rung on the ladder, a plateau at which to get your thoughts in order and prepare to try again.",W. Clement Stone,attitude
The only disability in life is a bad attitude.,Scott Hamilton,attitude
"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.",Pat Riley,attitude
"You cannot control what happens to you, but you can control your attitude toward what happens to you, and in that, you will be mastering change rather than allowing it to master you.",Brian Tracy,attitude
The greatest discovery of all time is that a person can change his future by merely changing his attitude.,Oprah Winfrey,attitude
A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,Tom Stoppard,attitude
"Any fact facing us is not as important as our attitude toward it, for that determines our success or failure. The way you think about a fact may defeat you before you ever do anything about it. You are overcome by the fact because you think you are.",Norman Vincent Peale,attitude
Excellence is not a skill. It is an attitude.,Ralph Marston,attitude
I hope the millions of people I've touched have the optimism and desire to share their goals and hard work and persevere with a positive attitude.,Michael Jordan,attitude
"We cannot change our past. We can not change the fact that people act in a certain way. We can not change the inevitable. The only thing we can do is play on the one string we have, and that is our attitude.",Charles R. Swindoll,attitude
"I was looking for something a lot heavier, yet melodic at the same time. Something different from heavy metal, a different attitude.",Kurt Cobain,attitude
Spend some time this weekend on home improvement improve your attitude toward your family.,Bo Bennett,attitude
We awaken in others the same attitude of mind we hold toward them.,Elbert Hubbard,attitude
"There is little difference in people, but that little difference makes a big difference. That little difference is attitude. The big difference is whether it is positive or negative.",Robert Collier,attitude
Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,Lou Holtz,attitude
The last of human freedoms - the ability to chose one's attitude in a given set of circumstances.,Viktor E. Frankl,attitude
"Attitude is more important than the past, than education, than money, than circumstances, than what people do or say. It is more important than appearance, giftedness, or skill.",Charles R. Swindoll,attitude
Being black is not a matter of pigmentation - being black is a reflection of a mental attitude.,Steven Biko,attitude
People in tough times - it doesn't mean they don't have a great attitude.,Joel Osteen,attitude
A strong positive mental attitude will create more miracles than any wonder drug.,Patricia Neal,attitude
"Certain thoughts are prayers. There are moments when, whatever be the attitude of the body, the soul is on its knees.",Victor Hugo,attitude
Leadership is practiced not so much in words as in attitude and in actions.,Harold S. Geneen,attitude
"If a person gets his attitude toward money straight, it will help straighten out almost every other area in his life.",Billy Graham,attitude
