"Everything has beauty, but not everyone sees it.",Confucius,beauty
To love beauty is to see light.,Victor Hugo,beauty
"Beauty is only skin deep. If you go after someone just because she's beautiful but don't have anything to talk about, it's going to get boring fast. You want to look beyond the surface and see if you can have fun or if you have anything in common with this person.",Amanda Peet,beauty
A woman whose smile is open and whose expression is glad has a kind of beauty no matter what she wears.,Anne Roiphe,beauty
"People are like stained - glass windows. They sparkle and shine when the sun is out, but when the darkness sets in, their true beauty is revealed only if there is a light from within.",Elisabeth Kubler-Ross,beauty
The pursuit of truth and beauty is a sphere of activity in which we are permitted to remain children all our lives.,Albert Einstein,beauty
"Of life's two chief prizes, beauty and truth, I found the first in a loving heart and the second in a laborer's hand.",Khalil Gibran,beauty
Love of beauty is taste. The creation of beauty is art.,Ralph Waldo Emerson,beauty
"Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.",Ashley Smith,beauty
A thing of beauty is a joy forever: its loveliness increases it will never pass into nothingness.,John Keats,beauty
Beauty is eternity gazing at itself in a mirror.,Khalil Gibran,beauty
A beauty is a woman you notice a charmer is one who notices you.,Adlai E. Stevenson,beauty
The soul that sees beauty may sometimes walk alone.,Johann Wolfgang von Goethe,beauty
Flowers... are a proud assertion that a ray of beauty outvalues all the utilities of the world.,Ralph Waldo Emerson,beauty
She got her looks from her father. He's a plastic surgeon.,Groucho Marx,beauty
Beauty and folly are old companions.,Benjamin Franklin,beauty
Rare is the union of beauty and purity.,Juvenal,beauty
Personal beauty is a greater recommendation than any letter of reference.,Aristotle,beauty
"Beauty is unbearable, drives us to despair, offering us for a minute the glimpse of an eternity that we should like to stretch out over the whole of time.",Albert Camus,beauty
The world's biggest power is the youth and beauty of a woman.,Chanakya,beauty
Beauty awakens the soul to act.,Dante Alighieri,beauty
A witty woman is a treasure a witty beauty is a power.,George Meredith,beauty
Think of all the beauty still left around you and be happy.,Anne Frank,beauty
