God gave us the gift of life it is up to us to give ourselves the gift of living well.,Voltaire,birthday
"The more you praise and celebrate your life, the more there is in life to celebrate.",Oprah Winfrey,birthday
"My father gave me the greatest gift anyone could give another person, he believed in me.",Jim Valvano,birthday
"I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift should be curiosity.",Eleanor Roosevelt,birthday
The greatest gift that you can give to others is the gift of unconditional love and acceptance.,Brian Tracy,birthday
"Every year on your birthday, you get a chance to start new.",Sammy Hagar,birthday
"All the world is birthday cake, so take a piece, but not too much.",George Harrison,birthday
Thirty was so strange for me. I've really had to come to terms with the fact that I am now a walking and talking adult.,C. S. Lewis,birthday
How old would you be if you didn't know how old you are?,Satchel Paige,birthday
I remember when the candle shop burned down. Everyone stood around singing 'Happy Birthday.',Steven Wright,birthday
"Presents don't really mean much to me. I don't want to sound mawkish, but - it was the realization that I have a great many people in my life who really love me, and who I really love.",Gabriel Byrne,birthday
"You know you're getting old when you get that one candle on the cake. It's like, 'See if you can blow this out.'",Jerry Seinfeld,birthday
"A gift consists not in what is done or given, but in the intention of the giver or doer.",Lucius Annaeus Seneca,birthday
For my birthday I got a humidifier and a de-humidifier... I put them in the same room and let them fight it out.,Steven Wright,birthday
You know you're getting old when the candles cost more than the cake.,Bob Hope,birthday
A friend never defends a husband who gets his wife an electric skillet for her birthday.,Erma Bombeck,birthday
"I wanted to buy a candle holder, but the store didn't have one. So I got a cake.",Mitch Hedberg,birthday
"The way I see it, you should live everyday like its your birthday.",Paris Hilton,birthday
"It is lovely, when I forget all birthdays, including my own, to find that somebody remembers me.",Ellen Glasgow,birthday
"There are three hundred and sixty-four days when you might get un-birthday presents, and only one for birthday presents, you know.",Lewis Carroll,birthday
The only thing better than singing is more singing.,Ella Fitzgerald,birthday
"It was on my fifth birthday that Papa put his hand on my shoulder and said, 'Remember, my son, if you ever need a helping hand, you'll find one at the end of your arm.'",Sam Levenson,birthday
To me - old age is always ten years older than I am.,John Burroughs,birthday
Let us celebrate the occasion with wine and sweet words.,Plautus,birthday
About astrology and palmistry: they are good because they make people vivid and full of possibilities. They are communism at its best. Everybody has a birthday and almost everybody has a palm.,Kurt Vonnegut,birthday
We have to be able to grow up. Our wrinkles are our medals of the passage of life. They are what we have been through and who we want to be.,Lauren Hutton,birthday
"The return of my birthday, if I remember it, fills me with thoughts which it seems to be the general care of humanity to escape.",Samuel Johnson,birthday
"If you look over the years, the styles have changed - the clothes, the hair, the production, the approach to the songs. The icing to the cake has changed flavors. But if you really look at the cake itself, it's really the same.",John Oates,birthday
"A gift, with a kind countenance, is a double present.",Thomas Fuller,birthday
"I cried on my 18th birthday. I thought 17 was such a nice age. You're young enough to get away with things, but you're old enough, too.",Liv Tyler,birthday
Our birthdays are feathers in the broad wing of time.,Jean Paul,birthday
"Like many women my age, I am 28 years old.",Mary Schmich,birthday
There is still no cure for the common birthday.,John Glenn,birthday
"I'm not materialistic. I believe in presents from the heart, like a drawing that a child does.",Victoria Beckham,birthday
Let them eat cake.,Marie Antoinette,birthday
Handmade presents are scary because they reveal that you have too much free time.,Doug Coupland,birthday
New Year's Day is every man's birthday.,Charles Lamb,birthday
Most of us can remember a time when a birthday - especially if it was one's own - brightened the world as if a second sun has risen.,Robert Staughton Lynd,birthday
Your children need your presence more than your presents.,Jesse Jackson,birthday
Being seventy is not a sin.,Golda Meir,birthday
The best way to remember your wife's birthday is to remember it once.,E. Joseph Cossman,birthday
"If you can give your child only one gift, let it be enthusiasm.",Bruce Barton,birthday
I hate birthdays.,Zane Grey,birthday
Love the giver more than the gift.,Brigham Young,birthday
"When someone asks if you'd like cake or pie, why not say you want cake and pie?",Lisa Loeb,birthday
"I often buy myself presents. Sometimes I will spend $100,000 in one day in a posh boutique.",Celine Dion,birthday
"My biggest hero, Gregory Peck, was my birthday present on April 14, 1973. I just sat and stared at him.",Loretta Lynn,birthday
"The main prank that we play with props is for people's birthdays. The special effects people will put a little explosive in the cake so it blows up in their face - that's always fun to play on a guest star, or one of the trainees or someone who's new.",Catherine Bell,birthday
"To my surprise, my 70s are nicer than my 60s and my 60s than my 50s, and I wouldn't wish my teens and 20s on my enemies.",Lionel Blue,birthday
"When I turned 60, it didn't bother me at all.",Yoko Ono,birthday
We'll take the cake with the red cherry on top.,Navjot Singh Sidhu,birthday
"I binge when I'm happy. When everything is going really well, every day is like I'm at a birthday party.",Kirstie Alley,birthday
"I used to be good with kids, but as I get older, I'm grumpy and terrible with them. As for doing a gig at a 6-year old's birthday party, you couldn't pay me enough.",Johnny Vegas,birthday
"I quit high school on my birthday. It was my senior year and I didn't see the point. This was 1962, and I was ready to make music.",Barry White,birthday
"Only then, approaching my fortieth birthday, I made philosophy my life's work.",Karl Jaspers,birthday
"I had a birthday one night on a farm we were shooting on. I walked into the tent, and there were 150 people waiting for me, all wearing masks of my face.",Stephen Hopkins,birthday
"My mother asked me what I wanted for my birthday, so I said I wanted to read poetry with her.",Guy Johnson,birthday
Would ye both eat your cake and have your cake?,John Heywood,birthday
In 1993 my birthday present was a star on Hollywood's Walk of Fame.,Annette Funicello,birthday
"I'm amazed. When I was 40, I thought I'd never make 50. And at 50 I thought the frosting on the cake would be 60. At 60, I was still going strong and enjoying everything.",Gloria Stuart,birthday
"When I was little I thought, isn't it nice that everybody celebrates on my birthday? Because it's July 4th.",Gloria Stuart,birthday
"This is a wonderful way to celebrate an 80th birthday... I wanted to be 65 again, but they wouldn't let me - Homeland Security.",Art Buchwald,birthday
"I do like to shock and surprise people. When it's all in good fun, of course.",Ruth Warrick,birthday
I crashed my boyfriend's birthday when I was 12 years old. He didn't invite me and so I showed up.,Isla Fisher,birthday
A diplomat is a man who always remembers a woman's birthday but never remembers her age.,Robert Frost,birthday
"I wrapped my Christmas presents early this year, but I used the wrong paper. See, the paper I used said 'Happy Birthday' on it. I didn't want to waste it so I just wrote 'Jesus' on it.",Demetri Martin,birthday
Success is like reaching an important birthday and finding you're exactly the same.,Audrey Hepburn,birthday
The day which we fear as our last is but the birthday of eternity.,Lucius Annaeus Seneca,birthday
With my wife I don't get no respect. I made a toast on her birthday to 'the best woman a man ever had.' The waiter joined me.,Rodney Dangerfield,birthday
"It was my 16th birthday - my mom and dad gave me my Goya classical guitar that day. I sat down, wrote this song, and I just knew that that was the only thing I could ever really do - write songs and sing them to people.",Stevie Nicks,birthday
"Just hit my 75th birthday, I'm feeling great!",Colin Powell,birthday
"You know, maybe I was just born in the wrong time, but I love all things romantic. Puffy understands that. For my last birthday, he covered my hotel room floor with rose petals and had flowers and candles all over the room.",Jennifer Lopez,birthday
"Mum loves me being famous! She is so excited and proud, as she had me so young and couldn't support me, so I am living her dream, it's sweeter for both of us. It's her 40th birthday soon and I'm going to buy her 40 presents.",Adele,birthday
I'm most comfortable in my birthday suit.,Amanda Seyfried,birthday
"It's odd the things that people remember. Parents will arrange a birthday party, certain it will stick in your mind forever. You'll have a nice time, then two years later you'll be like, 'There was a pony there? Really? And a clown with one leg?'",David Sedaris,birthday
"Some people won't go the extra mile, and then on their birthday, when no one makes a fuss, they feel neglected and bitter.",Anne Lamott,birthday
"You always get a special kick on opening day, no matter how many you go through. You look forward to it like a birthday party when you're a kid. You think something wonderful is going to happen.",Joe DiMaggio,birthday
"I trained to be a priest - started to. I went to seminary school when I was 11. I wanted to be a priest, but when they told me I could never have sex, not even on my birthday, I changed my mind.",Johnny Vegas,birthday
"I gave a funny speech at my wife's birthday party, and I'm thinking, 'Hey, I've still got it.'",Larry David,birthday
"My ace in the hole as a human being used to be my capacity for remembering birthdays. I worked at it. Whenever I made a new friend, I made a point of finding out his or her birthday early on, and I would record it in my Filofax calendar.",Susan Orlean,birthday
"I want a chainsaw very badly, because I think cutting down a tree would be unbelievably satisfying. I have asked for a chainsaw for my birthday, but I think I'll probably be given jewelry instead.",Susan Orlean,birthday
"I just had my 30th birthday and we went turkey shooting. It's what I wanted to do, so we went.",Kelly Clarkson,birthday
"Every day, every birthday candle I blow out, every penny I throw over my shoulder in a wishing well, every time my daughter says, 'Let's make a wish on a star,' there's one thing I wish for: wisdom.",Rene Russo,birthday
I left school on my 15th birthday.,David Bailey,birthday
The worst part about celebrating another birthday is the shock that you're only as well as you are.,Anne Lamott,birthday
