"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Mark Twain,business
The hardest thing to understand in the world is the income tax.,Albert Einstein,business
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell,business
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all.,Dale Carnegie,business
"If there is anything that a man can do well, I say let him do it. Give him a chance.",Abraham Lincoln,business
"There is only one boss. The customer. And he can fire everybody in the company from the chairman on down, simply by spending his money somewhere else.",Sam Walton,business
The superior man understands what is right the inferior man understands what will sell.,Confucius,business
It usually takes me more than three weeks to prepare a good impromptu speech.,Mark Twain,business
"I am certainly not one of those who need to be prodded. In fact, if anything, I am the prod.",Winston Churchill,business
"Sometimes when you innovate, you make mistakes. It is best to admit them quickly, and get on with improving your other innovations.",Steve Jobs,business
"In this world nothing can be said to be certain, except death and taxes.",Benjamin Franklin,business
Effort only fully releases its reward after a person refuses to quit.,Napoleon Hill,business
"If you cannot work with love but only with distaste, it is better that you should leave your work.",Khalil Gibran,business
No enterprise is more likely to succeed than one concealed from the enemy until it is ripe for execution.,Niccolo Machiavelli,business
"Hell, there are no rules here - we're trying to accomplish something.",Thomas A. Edison,business
All lasting business is built on friendship.,Alfred A. Montapert,business
I want to put a ding in the universe.,Steve Jobs,business
"A budget tells us what we can't afford, but it doesn't keep us from buying it.",William Feather,business
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,Theodore Isaac Rubin,business
"Don't let your ego get too close to your position, so that if your position gets shot down, your ego doesn't go with it.",Colin Powell,business
Just because something doesn't do what you planned it to do doesn't mean it's useless.,Thomas A. Edison,business
"I think that there is nothing, not even crime, more opposed to poetry, to philosophy, ay, to life itself than this incessant business.",Henry David Thoreau,business
"If all the economists were laid end to end, they'd never reach a conclusion.",George Bernard Shaw,business
"Business is never so healthy as when, like a chicken, it must do a certain amount of scratching around for what it gets.",Henry Ford,business
Being good in business is the most fascinating kind of art. Making money is art and working is art and good business is the best art.,Andy Warhol,business
"If one does not know to which port one is sailing, no wind is favorable.",Lucius Annaeus Seneca,business
The majority of men meet with failure because of their lack of persistence in creating new plans to take the place of those which fail.,Napoleon Hill,business
"It is not from the benevolence of the butcher, the brewer, or the baker that we expect our dinner, but from their regard to their own interest.",Adam Smith,business
"A cardinal principle of Total Quality escapes too many managers: you cannot continuously improve interdependent systems and processes until you progressively perfect interdependent, interpersonal relationships.",Stephen Covey,business
"The man who will use his skill and constructive imagination to see how much he can give for a dollar, instead of how little he can give for a dollar, is bound to succeed.",Henry Ford,business
An economist's guess is liable to be as good as anybody else's.,Will Rogers,business
Corporation: An ingenious device for obtaining profit without individual responsibility.,Ambrose Bierce,business
Every young man would do well to remember that all successful business stands on the foundation of morality.,Henry Ward Beecher,business
"It's not what you pay a man, but what he costs you that counts.",Will Rogers,business
Disneyland is a work of love. We didn't go into Disneyland just with the idea of making money.,Walt Disney,business
"If you listen to your fears, you will die never knowing what a great person you might have been.",Robert H. Schuller,business
"Business, that's easily defined - it's other people's money.",Peter Drucker,business
Failure doesn't mean you are a failure it just means you haven't succeeded yet.,Robert H. Schuller,business
"If you can build a business up big enough, it's respectable.",Will Rogers,business
The secret of business is to know something that nobody else knows.,Aristotle Onassis,business
An economist is an expert who will know tomorrow why the things he predicted yesterday didn't happen today.,Laurence J. Peter,business
Most of what we call management consists of making it difficult for people to get their work done.,Peter Drucker,business
"Business, more than any other occupation, is a continual dealing with the future it is a continual calculation, an instinctive exercise in foresight.",Henry R. Luce,business
The invisible hand of the market always moves faster and better than the heavy hand of government.,Mitt Romney,business
