"If GM had kept up with technology like the computer industry has, we would all be driving $25 cars that got 1,000 MPG.",Bill Gates,car
"There was a time in my life when I thought I had everything - millions of dollars, mansions, cars, nice clothes, beautiful women, and every other materialistic thing you can imagine. Now I struggle for peace.",Richard Pryor,car
Car designers are just going to have to come up with an automobile that outlasts the payments.,Erma Bombeck,car
"I hooked up my accelerator pedal in my car to my brake lights. I hit the gas, people behind me stop, and I'm gone.",Steven Wright,car
"I replaced the headlights in my car with strobe lights, so it looks like I'm the only one moving.",Steven Wright,car
I had to stop driving my car for a while... the tires got dizzy.,Steven Wright,car
"I spent a lot of money on booze, birds and fast cars. The rest I just squandered.",George Best,car
Auto racing is boring except when a car is going at least 172 miles per hour upside down.,Dave Barry,car
"When you are fitted in a racing car and you race to win, second or third place is not enough.",Ayrton Senna,car
"In less enlightened times, the best way to impress women was to own a hot car. But women wised up and realized it was better to buy their own hot cars so they wouldn't have to ride around with jerks.",Scott Adams,car
The greatest pleasure when I started making money was not buying cars or yachts but finding myself able to have as many freshly typed drafts as possible.,Gore Vidal,car
The cars we drive say a lot about us.,Alexandra Paul,car
It's a never ending battle of making your cars better and also trying to be better yourself.,Dale Earnhardt,car
"We approach people the same way we approach our cars. We take the poor kid to a doctor and ask, What's wrong with him, how much will it cost, and when can I pick him up?",James Hillman,car
"It's like driving a car at night. You never see further than your headlights, but you can make the whole trip that way.",E. L. Doctorow,car
"If all the cars in the United States were placed end to end, it would probably be Labor Day Weekend.",Doug Larson,car
"I had more clothes than I had closets, more cars than garage space, but no money.","Sammy Davis, Jr.",car
Drive-in banks were established so most of the cars today could see their real owners.,E. Joseph Cossman,car
I would have probably stolen cars - it would have given me the same adrenaline rush as racing.,Valentino Rossi,car
I never rode in an automobile until I was 12.,Loretta Lynn,car
"My boyfriend keeps telling me I've got to own things. So, first I bought this car. And then he told me I oughta get a house. 'Why a house?' 'Well, you gotta have a place to park the car.'",Julia Roberts,car
Americans are the only people in the world known to me whose status anxiety prompts them to advertise their college and university affiliations in the rear window of their automobiles.,Paul Fussell,car
"When it comes to cars, only two varieties of people are possible - cowards and fools.",Russell Baker,car
"In Japan, they have TV sets in cars right now, where you can punch up traffic routes, weather, everything! You can get Internet access already in cars in Japan, so within the next 2 to 3 years it's gonna be so crazy!",Glenn Danzig,car
"Perhaps people, and kids especially, are spoiled today, because all the kids today have cars, it seems. When I was young you were lucky to have a bike.",James Cagney,car
But my passion is racing cars. It's what I like to do in my off time.,Mark-Paul Gosselaar,car
My mom said the only reason men are alive is for lawn care and vehicle maintenance.,Tim Allen,car
"But to personally satisfy my own adrenalin needs, I've been racing cars a little bit, which has been fun.",Picabo Street,car
"I have a need to make these sorts of connections literal sometimes, and a vehicle often helps to do that. I have a relationship to car culture. It isn't really about loving cars. It's sort of about needing them.",Matthew Barney,car
"There's three things men always talk about - women, sports, and cars.",Mario Lopez,car
"The automobile engine will come, and then I will consider my life's work complete.",Rudolf Diesel,car
I think we have to act like stars because it is expected of us. So we drive our big cars and live in our smart houses.,Maurice Gibb,car
"We need to become good citizens in the global village, instead of competing. What are we competing for - to drive more cars, eat more steaks? That will destroy the world.",Yuan T. Lee,car
I love fast cars... and to go too fast in them.,Lara Flynn Boyle,car
"We're just into toys, whether it's motorcycles or race cars or computers. I've got the Palm Pilot right here with me, I've got the world's smallest phone. Maybe it's just because I'm still a big little kid and I just love toys, you know?",Catherine Bell,car
