"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.",Calvin Coolidge,christmas
He who has not Christmas in his heart will never find it under a tree.,Roy L. Smith,christmas
The main reason Santa is so jolly is because he knows where all the bad girls live.,George Carlin,christmas
"Maybe Christmas, the Grinch thought, doesn't come from a store.",Dr. Seuss,christmas
A good conscience is a continual Christmas.,Benjamin Franklin,christmas
"Christmas, my child, is love in action. Every time we love, every time we give, it's Christmas.",Dale Evans,christmas
"Happy, happy Christmas, that can win us back to the delusions of our childhood days, recall to the old man the pleasures of his youth, and transport the traveler back to his own fireside and quiet home!",Charles Dickens,christmas
When we were children we were grateful to those who filled our stockings at Christmas time. Why are we not grateful to God for filling our stockings with legs?,Gilbert K. Chesterton,christmas
"We consider Christmas as the encounter, the great encounter, the historical encounter, the decisive encounter, between God and mankind. He who has faith knows this truly let him rejoice.",Pope Paul VI,christmas
"I once bought my kids a set of batteries for Christmas with a note on it saying, toys not included.",Bernard Manning,christmas
"The Supreme Court has ruled that they cannot have a nativity scene in Washington, D.C. This wasn't for any religious reasons. They couldn't find three wise men and a virgin.",Jay Leno,christmas
"Christmas... is not an external event at all, but a piece of one's home that one carries in one's heart.",Freya Stark,christmas
What I don't like about office Christmas parties is looking for a job the next day.,Phyllis Diller,christmas
"Christmas in Bethlehem. The ancient dream: a cold, clear night made brilliant by a glorious star, the smell of incense, shepherds and wise men falling to their knees in adoration of the sweet baby, the incarnation of perfect love.",Lucinda Franks,christmas
"Christmas is a season for kindling the fire for hospitality in the hall, the genial flame of charity in the heart.",Washington Irving,christmas
"Unless we make Christmas an occasion to share our blessings, all the snow in Alaska won't make it 'white'.",Bing Crosby,christmas
Christmas isn't a season. It's a feeling.,Edna Ferber,christmas
"A lovely thing about Christmas is that it's compulsory, like a thunderstorm, and we all go through it together.",Garrison Keillor,christmas
"If you haven't got any charity in your heart, you have the worst kind of heart trouble.",Bob Hope,christmas
"I don't think Christmas is necessarily about things. It's about being good to one another, it's about the Christian ethic, it's about kindness.",Carrie Fisher,christmas
"Once again, we come to the Holiday Season, a deeply religious time that each of us observes, in his own way, by going to the mall of his choice.",Dave Barry,christmas
Let's be naughty and save Santa the trip.,Gary Allan,christmas
"At Christmas play and make good cheer, for Christmas comes but once a year.",Thomas Tusser,christmas
"I once wanted to become an atheist, but I gave up - they have no holidays.",Henny Youngman,christmas
Christmas is the day that holds all time together.,Alexander Smith,christmas
"Nothing says holidays, like a cheese log.",Ellen DeGeneres,christmas
That's the true spirit of Christmas people being helped by people other than me.,Jerry Seinfeld,christmas
