"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.",Steve Jobs,courage
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'",Eleanor Roosevelt,courage
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",Nelson Mandela,courage
Courage is what it takes to stand up and speak courage is also what it takes to sit down and listen.,Winston Churchill,courage
There are no easy answers' but there are simple answers. We must have the courage to do what we know is morally right.,Ronald Reagan,courage
"Courage is the most important of all the virtues, because without courage you can't practice any other virtue consistently. You can practice any virtue erratically, but nothing consistently without courage.",Maya Angelou,courage
Courage is grace under pressure.,Ernest Hemingway,courage
We must build dikes of courage to hold back the flood of fear.,"Martin Luther King, Jr.",courage
"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain,courage
He who is not courageous enough to take risks will accomplish nothing in life.,Muhammad Ali,courage
"Courage is not simply one of the virtues, but the form of every virtue at the testing point.",C. S. Lewis,courage
Courage is being scared to death... and saddling up anyway.,John Wayne,courage
"Don't Make Assumptions. Find the courage to ask questions and to express what you really want. Communicate with others as clearly as you can to avoid misunderstandings, sadness and drama. With just this one agreement, you can completely transform your life.",Miguel Angel Ruiz,courage
You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,Aristotle,courage
Efforts and courage are not enough without purpose and direction.,John F. Kennedy,courage
One man with courage is a majority.,Thomas Jefferson,courage
Have the courage to say no. Have the courage to face the truth. Do the right thing because it is right. These are the magic keys to living your life with integrity.,W. Clement Stone,courage
"Faced with what is right, to leave it undone shows a lack of courage.",Confucius,courage
"How few there are who have courage enough to own their faults, or resolution enough to mend them.",Benjamin Franklin,courage
Who could refrain that had a heart to love and in that heart courage to make love known?,William Shakespeare,courage
"Inaction breeds doubt and fear. Action breeds confidence and courage. If you want to conquer fear, do not sit home and think about it. Go out and get busy.",Dale Carnegie,courage
