It is easier for a father to have children than for children to have a real father.,Pope John XXIII,dad
"When one has not had a good father, one must create one.",Friedrich Nietzsche,dad
My father? I never knew him. Never even seen a picture of him.,Eminem,dad
"I am not ashamed to say that no man I ever met was my father's equal, and I never loved any other man as much.",Hedy Lamarr,dad
Whoever does not have a good father should procure one.,Friedrich Nietzsche,dad
I made a decision when my father passed away that I was going to be who God made me to be and not try to preach like my father.,Joel Osteen,dad
I stopped loving my father a long time ago. What remained was the slavery to a pattern.,Anais Nin,dad
I just wish I could understand my father.,Michael Jackson,dad
"I know that I will never find my father in any other man who comes into my life, because it is a void in my life that can only be filled by him.",Halle Berry,dad
"Fathers are biological necessities, but social accidents.",Margaret Mead,dad
Sons have always a rebellious wish to be disillusioned by that which charmed their fathers.,Aldous Huxley,dad
"The place of the father in the modern suburban family is a very small one, particularly if he plays golf.",Bertrand Russell,dad
My father was my teacher. But most importantly he was a great dad.,Beau Bridges,dad
"The fundamental defect of fathers, in our competitive society, is that they want their children to be a credit to them.",Bertrand Russell,dad
I have never been a material girl. My father always told me never to love anything that cannot love you back.,Imelda Marcos,dad
"Every parent is at some time the father of the unreturned prodigal, with nothing to do but keep his house open to hope.",John Ciardi,dad
"Babies don't need fathers, but mothers do. Someone who is taking care of a baby needs to be taken care of.",Amy Heckerling,dad
A father is a man who expects his son to be as good a man as he meant to be.,Frank A. Clark,dad
All the learnin' my father paid for was a bit o' birch at one end and an alphabet at the other.,George Eliot,dad
Undeservedly you will atone for the sins of your fathers.,Horace,dad
I pressed my father's hand and told him I would protect his grave with my life. My father smiled and passed away to the spirit land.,Chief Joseph,dad
A father is always making his baby into a little woman. And when she is a woman he turns her back again.,Enid Bagnold,dad
It is much easier to become a father than to be one.,Kent Nerburn,dad
"There's sometimes a weird benefit to having an alcoholic, violent father. He really motivated me in that I never wanted to be anything like him.",Dean Koontz,dad
"My father was not a failure. After all, he was the father of a president of the United States.",Harry S. Truman,dad
I hope I am remembered by my children as a good father.,Orson Scott Card,dad
The child is father of the man.,William Wordsworth,dad
