Design is not just what it looks like and feels like. Design is how it works.,Steve Jobs,design
"You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.",Walt Disney,design
The artist in me cries out for design.,Robert Frost,design
"A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.",Antoine de Saint-Exupery,design
Sometimes I can't figure designers out. It's as if they flunked human anatomy.,Erma Bombeck,design
Many things difficult to design prove easy to performance.,Samuel Johnson,design
I would be most content if my children grew up to be the kind of people who think decorating consists mostly of building enough bookshelves.,Anna Quindlen,design
"Design is the method of putting form and content together. Design, just as art, has multiple definitions there is no single definition. Design can be art. Design can be aesthetics. Design is so simple, that's why it is so complicated.",Paul Rand,design
"I don't design clothes, I design dreams.",Ralph Lauren,design
"Designers are very fickle. I never wanted to be a victim of that. You're in one minute, out the next.",Tyra Banks,design
Good design is good business.,Thomas J. Watson,design
Design must reflect the practical and aesthetic in business but above all... good design must primarily serve people.,Thomas J. Watson,design
The urge for good design is the same as the urge to go on living.,Harry Bertoia,design
"It is only after years of preparation that the young artist should touch color - not color used descriptively, that is, but as a means of personal expression.",Henri Matisse,design
Everyone designs who devises courses of action aimed at changing existing situations into preferred ones.,Herbert Simon,design
"Some men give up their designs when they have almost reached the goal While others, on the contrary, obtain a victory by exerting, at the last moment, more vigorous efforts than ever before.",Herodotus,design
The details are the very source of expression in architecture. But we are caught in a vice between art and the bottom line.,Arthur Erickson,design
Sacred spaces can be created in any environment.,Christy Turlington,design
"Design works if it's authentic, inspired, and has a clear point of view. It can't be a collection of input.",Ron Johnson,design
"Perhaps believing in good design is like believing in God, it makes you an optimist.",Terence,design
Delay always breeds danger and to protract a great design is often to ruin it.,Miguel de Cervantes,design
Luck is the residue of design.,Branch Rickey,design
Color does not add a pleasant quality to design - it reinforces it.,Pierre Bonnard,design
"Good buildings come from good people, ad all problems are solved by good design.",Stephen Gardiner,design
I design for real people. I think of our customers all the time. There is no virtue whatsoever in creating clothing or accessories that are not practical.,Giorgio Armani,design
Recognizing the need is the primary condition for design.,Charles Eames,design
"Design is not making beauty, beauty emerges from selection, affinities, integration, love.",Louis Kahn,design
"Every contrivance of man, every tool, every instrument, every utensil, every article designed for use, of each and every kind, evolved from a very simple beginnings.",Robert Collier,design
Design is not for philosophy it's for life.,Issey Miyake,design
"About half my designs are controlled fantasy, 15 percent are total madness and the rest are bread-and-butter designs.",Manolo Blahnik,design
"To whom does design address itself: to the greatest number, to the specialist of an enlightened matter, to a privileged social class? Design addresses itself to the need.",Charles Eames,design
This is what I like about being a designer: You can't really get it until you see it.,Isaac Mizrahi,design
"To design the future effectively, you must first let go of your past.",Charles J. Givens,design
"When I design buildings, I think of the overall composition, much as the parts of a body would fit together. On top of that, I think about how people will approach the building and experience that space.",Tadao Ando,design
