I never worry about diets. The only carrots that interest me are the number you get in a diamond.,Mae West,diet
"Vegetables are a must on a diet. I suggest carrot cake, zucchini bread, and pumpkin pie.",Jim Davis,diet
My doctor told me to stop having intimate dinners for four. Unless there are three other people.,Orson Welles,diet
No disease that can be treated by diet should be treated with any other means.,Maimonides,diet
Adopting a new healthier lifestyle can involve changing diet to include more fresh fruit and vegetables as well as increasing levels of exercise.,Linford Christie,diet
And let's be clear: It's not enough just to limit ads for foods that aren't healthy. It's also going to be critical to increase marketing for foods that are healthy.,Michelle Obama,diet
"What some call health, if purchased by perpetual anxiety about diet, isn't much better than tedious disease.",Alexander Pope,diet
"The best way to lose weight is to close your mouth - something very difficult for a politician. Or watch your food - just watch it, don't eat it.",Edward Koch,diet
"Diets, like clothes, should be tailored to you.",Joan Rivers,diet
"I told my doctor I get very tired when I go on a diet, so he gave me pep pills. Know what happened? I ate faster.",Joe E. Lewis,diet
"There are six components of wellness: proper weight and diet, proper exercise, breaking the smoking habit, control of alcohol, stress management and periodic exams.",Kenneth H. Cooper,diet
Health food makes me sick.,Calvin Trillin,diet
French fries. I love them. Some people are chocolate and sweets people. I love French fries. That and caviar.,Cameron Diaz,diet
The second day of a diet is always easier than the first. By the second day you're off it.,Jackie Gleason,diet
"So, when it comes to eating healthy, it's just doing the right thing. And it's not something you have to do 365 days a year, but I think it's something you have to do 25 days a month. Let's put it that way.",Mike Ditka,diet
Do you know how many calories are in butter and cheese and ice cream? Would you get your dog up in the morning for a cup of coffee and a donut?,Jack LaLanne,diet
"If I like myself at this weight, then this is what I'm going to be. I don't have an eating disorder.",Courteney Cox,diet
"A systemic cleansing and detox is definitely the way to go after each holiday. It is the key to fighting high blood pressure, heart disease, cancer, and other health-related illnesses.",Lee Haney,diet
I don't eat junk foods and I don't think junk thoughts.,Peace Pilgrim,diet
"Cereal eating is almost a marker for a healthy lifestyle. It sets you up for the day, so you don't overeat.",Bruce Barton,diet
"In France, cooking is a serious art form and a national sport.",Julia Child,diet
Some people are willing to pay the price and it's the same with staying healthy or eating healthy. There's some discipline involved. There's some sacrifices.,Mike Ditka,diet
"You see people who have been very heavy in their life who have taken that body, trimmed it down, firmed it up through discipline, exercise and being able to say no. Eating properly, that all comes into it.",Mike Ditka,diet
"I thought, you know the food and the diet thing is one way to start yourself onto a healthy lifestyle, but if you don't move, if you don't start exercising you're gonna deteriorate.",Warren Cuccurullo,diet
"I followed the same diet for 20 years, eliminating starches, living on salads, lean meat, and small portions.",Gene Tierney,diet
I don't go long without eating. I never starve myself: I grab a healthy snack.,Vanessa Hudgens,diet
I refuse to spend my life worrying about what I eat. There is no pleasure worth forgoing just for an extra three years in the geriatric ward.,John Mortimer,diet
I don't believe in dieting.,Joan Collins,diet
"Our society's strong emphasis on dieting and self-image can sometimes lead to eating disorders. We know that more than 5 million Americans suffer from eating disorders, most of them young women.",Tipper Gore,diet
"As I mentioned previously, the tools that allow for optimum health are diet and exercise.",Bill Toomey,diet
High-quality food is better for your health.,Michael Pollan,diet
"If you've got a big gut and you start doing sit-ups, you are going to get bigger because you build up the muscle. You've got to get rid of that fat! How do you get rid of fat? By changing your diet.",Jack LaLanne,diet
The only way you get that fat off is to eat less and exercise more.,Jack LaLanne,diet
"I am not naturally that thin, so I had to go through everything from using drugs to diet pills to laxatives to fasting. Those were my main ways of controlling my weight.",Carre Otis,diet
I never diet. I smoke. I drink now and then. I never work out.,Naomi Campbell,diet
"I used to be hung up on my figure, but it's a waste of time. I don't believe in diets. Have four pints one night, be healthy the next.",Sophie Ellis Bextor,diet
"Each of us should take personal responsibility for our diet, and our children's diet, and the government's role should be to make certain it provides the best information possible to help people stay healthy.",Jim Talent,diet
The circuit training program along with a healthy clean diet is the way to excellent results.,Lee Haney,diet
"A safe and nutritionally adequate diet is a basic individual right and an essential condition for sustainable development, especially in developing countries.",Gro Harlem Brundtland,diet
"Such lifestyle factors such as cigarette smoking, excessive alcohol consumption, little physical activity and low dietary calcium intake are risk factors for osteoporosis as well as for many other non-communicable diseases.",Gro Harlem Brundtland,diet
"I'm lucky, I don't like sweets, not even chocolate.",Eva Herzigova,diet
People who shop in health food stores never look healthy.,Amy Sedaris,diet
"I started dieting. I dieted, dieted, dieted and tried all the diets and I would lose and then I would go back to normal eating and would put it on and then some.",Suzanne Somers,diet
"It seems every year, people make the resolution to exercise and lose weight and get in shape.",Ed Smith,diet
"I have been dairy free for several years, and I started because I felt it was going to reduce my allergies, which it did, and help me lose weight, which it did.",Fran Drescher,diet
We can all put weight on or lose weight.,Keith Emerson,diet
Feeding is a very important ritual for me. I don't trust people who don't like to eat.,Gina Gershon,diet
"My experience as a school nurse taught me that we need to make a concerted effort, all of us, to increase physical fitness activity among our children and to encourage all Americans to adopt a healthier diet that includes fruits and vegetables, but there is more.",Lois Capps,diet
"I'm very girly. I love to talk about diets, exercise, kids, make-up.",Rachel Hunter,diet
"As for those grapefruit and buttermilk diets, I'll take roast chicken and dumplings.",Hattie McDaniel,diet
I highly recommend worrying. It is much more effective than dieting.,William Powell,diet
It looks to me to be obvious that the whole world cannot eat an American diet.,Jerry Brown,diet
I don't believe in depriving myself of any food or being imprisoned by a diet.,Joely Fisher,diet
"A boxer's diet should be low in fat and high in proteins and sugar. Therefore you should eat plenty of lean meat, milk, leafy vegetables, and fresh fruit and ice cream for sugar.",Gene Tunney,diet
I've been on a diet for two weeks and all I've lost is two weeks.,Totie Fields,diet
"I am now in that happy comfortable state that I do not hesitate to indulge in any fancy in regard to diet, but watch the consequences, and do not continue any course which adds to weight or bulk and consequent discomfort.",William Banting,diet
