The environment is everything that isn't me.,Albert Einstein,environmental
"Never doubt that a small group of thoughtful, committed citizens can change the world indeed, it's the only thing that ever has.",Margaret Mead,environmental
"Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean.",John Muir,environmental
"Thank God men cannot fly, and lay waste the sky as well as the earth.",Henry David Thoreau,environmental
"God has cared for these trees, saved them from drought, disease, avalanches, and a thousand tempests and floods. But he cannot save them from fools.",John Muir,environmental
"When we try to pick out anything by itself, we find it hitched to everything else in the universe.",John Muir,environmental
It is horrifying that we have to fight our own government to save the environment.,Ansel Adams,environmental
We won't have a society if we destroy the environment.,Margaret Mead,environmental
"If people destroy something replaceable made by mankind, they are called vandals if they destroy something irreplaceable made by God, they are called developers.",Joseph Wood Krutch,environmental
I think the environment should be put in the category of our national security. Defense of our resources is just as important as defense abroad. Otherwise what is there to defend?,Robert Redford,environmental
"I did not become a vegetarian for my health, I did it for the health of the chickens.",Isaac Bashevis Singer,environmental
"Take a course in good water and air and in the eternal youth of Nature you may renew your own. Go quietly, alone no harm will befall you.",John Muir,environmental
"They claim this mother of ours, the Earth, for their own use, and fence their neighbors away from her, and deface her with their buildings and their refuse.",Sitting Bull,environmental
By polluting clear water with slime you will never find good drinking water.,Aeschylus,environmental
"Birds are indicators of the environment. If they are in trouble, we know we'll soon be in trouble.",Roger Tory Peterson,environmental
"If we do not permit the earth to produce beauty and joy, it will in the end not produce food, either.",Joseph Wood Krutch,environmental
Conservation is a state of harmony between men and land.,Aldo Leopold,environmental
"After all, sustainability means running the global environment - Earth Inc. - like a corporation: with depreciation, amortization and maintenance accounts. In other words, keeping the asset whole, rather than undermining your natural capital.",Maurice Strong,environmental
All is connected... no one thing can change by itself.,Paul Hawken,environmental
"You will die but the carbon will not its career does not end with you. It will return to the soil, and there a plant may take it up again in time, sending it once more on a cycle of plant and animal life.",Jacob Bronowski,environmental
"In a few decades, the relationship between the environment, resources and conflict may seem almost as obvious as the connection we see today between human rights, democracy and peace.",Wangari Maathai,environmental
If we gave up eating beef we would have roughly 20 to 30 times more land for food than we have now.,James Lovelock,environmental
"I see humanity now as one vast plant, needing for its highest fulfillment only love, the natural blessings of the great outdoors, and intelligent crossing and selection.",Luther Burbank,environmental
People blame their environment. There is only one person to blame - and only one - themselves.,Robert Collier,environmental
We must return to nature and nature's god.,Luther Burbank,environmental
"Why are ecologists and environmentalists so feared and hated? This is because in part what they have to say is new to the general public, and the new is always alarming.",Garrett Hardin,environmental
I don't think we're going to save anything if we go around talking about saving plants and animals only we've got to translate that into what's in it for us.,Jim Fowler,environmental
I think the cost of energy will come down when we make this transition to renewable energy.,Al Gore,environmental
When a man wantonly destroys one of the works of man we call him a vandal. When he destroys one of the works of god we call him a sportsman.,Joseph Wood Krutch,environmental
"Every time I have some moment on a seashore, or in the mountains, or sometimes in a quiet forest, I think this is why the environment has to be preserved.",Bill Bradley,environmental
