Everyone will be famous for 15 minutes.,Andy Warhol,famous
"I have no use for people who throw their weight around as celebrities, or for those who fawn over you just because you are famous.",Walt Disney,famous
What a heavy burden is a name that has become too famous.,Voltaire,famous
"We all want to be famous people, and the moment we want to be something we are no longer free.",Jiddu Krishnamurti,famous
"Famous, adj.: Conspicuously miserable.",Ambrose Bierce,famous
Martyrdom is the only way a man can become famous without ability.,Arthur Schopenhauer,famous
Andy Warhol made fame more famous.,Fran Lebowitz,famous
"I just want to make music, I don't want people to talk about me. All I've ever wanted to do was sing. I don't want to be a celebrity. I don't want to be in people's faces, you know, constantly on covers of magazine that I haven't even known I'm on.",Adele,famous
It's really easy to avoid the tabloids. You just live your life and don't hang out with famous people who are in the tabloids. Don't do anything controversial and be a normal person. Have friends. And get a job and keep working.,Amanda Seyfried,famous
"I wanted to be successful, not famous.",George Harrison,famous
I'm not comfortable being around too many people. I don't like being out in public too much. I don't like going to bars. I don't like doing celebrity stuff. So most of the characters I play are people who don't always feel comfortable beyond their small circle of friends.,Adam Sandler,famous
How many famous and high-spirited heroes have lived a day too long?,Jean-Jacques Rousseau,famous
I like being famous when it's convenient for me and completely anonymous when it's not.,Catherine Deneuve,famous
I never wanted to be famous. I only wanted to be great.,Ray Charles,famous
For famous men have the whole earth as their memorial.,Pericles,famous
"I know I'm not supposed to have any opinions about politics, because I'm famous.",Cher,famous
I'd rather be able to face myself in the bathroom mirror than be rich and famous.,Ani DiFranco,famous
You're not famous until my mother has heard of you.,Jay Leno,famous
It isn't necessary to be rich and famous to be happy. It's only necessary to be rich.,Alan Alda,famous
"I always want to say to people who want to be rich and famous: 'try being rich first'. See if that doesn't cover most of it. There's not much downside to being rich, other than paying taxes and having your relatives ask you for money. But when you become famous, you end up with a 24-hour job.",Bill Murray,famous
There's no difference between fame and infamy now. There's a new school of professional famous people that don't do anything. They don't create anything.,Ricky Gervais,famous
Nothing in life prepares you to be famous.,Jeff Foxworthy,famous
"I can do whatever I want - I'm rich, I'm famous, and I'm bigger than you.",Don Johnson,famous
It is a mark of many famous people that they cannot part with their brightest hour.,Lillian Hellman,famous
"Tom Cruise, he's a lot more famous than me.",David Beckham,famous
"People hate me because I am a multifaceted, talented, wealthy, internationally famous genius.",Jerry Lewis,famous
"I am beautiful, famous and gorgeous.",Anna Kournikova,famous
"A famous person to themselves, they don't get up in the morning and think, I'm famous. I'm not famous to me. Famous is a perception.",Van Morrison,famous
The hardest thing about being famous is that people are always nice to you. You're in a conversation and everybody's agreeing with what you're saying - even if you say something totally crazy. You need people who can tell you what you don't want to hear.,Al Pacino,famous
"For a time, at least, I was the most famous person in the entire world.",Jesse Owens,famous
Fate is being kind to me. Fate doesn't want me to be too famous too young.,Duke Ellington,famous
