A nation that is afraid to let its people judge the truth and falsehood in an open market is a nation that is afraid of its people.,John F. Kennedy,fear
"Pick the day. Enjoy it - to the hilt. The day as it comes. People as they come... The past, I think, has helped me appreciate the present - and I don't want to spoil any of it by fretting about the future.",Audrey Hepburn,fear
"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.",Thomas Paine,fear
"We fear violence less than our own feelings. Personal, private, solitary pain is more terrifying than what anyone else can inflict.",Jim Morrison,fear
"What is needed, rather than running away or controlling or suppressing or any other resistance, is understanding fear that means, watch it, learn about it, come directly into contact with it. We are to learn about fear, not how to escape from it.",Jiddu Krishnamurti,fear
"I have learned over the years that when one's mind is made up, this diminishes fear knowing what must be done does away with fear.",Rosa Parks,fear
"We should not fret for what is past, nor should we be anxious about the future men of discernment deal only with the present moment.",Chanakya,fear
"It is the strange fate of man, that even in the greatest of evils the fear of the worst continues to haunt him.",Johann Wolfgang von Goethe,fear
Love is what we were born with. Fear is what we learned here.,Marianne Williamson,fear
"The first duty of man is to conquer fear he must get rid of it, he cannot act till then.",Thomas Carlyle,fear
A person's fears are lighter when the danger is at hand.,Lucius Annaeus Seneca,fear
"Fear stifles our thinking and actions. It creates indecisiveness that results in stagnation. I have known talented people who procrastinate indefinitely rather than risk failure. Lost opportunities cause erosion of confidence, and the downward spiral begins.",Charles Stanley,fear
I have never known any distress that an hour's reading did not relieve.,Charles de Montesquieu,fear
True nobility is exempt from fear.,Marcus Tullius Cicero,fear
Fear makes us feel our humanity.,Benjamin Disraeli,fear
There are many victories worse than a defeat.,George Eliot,fear
Fear is static that prevents me from hearing myself.,Samuel Butler,fear
One had to take some action against fear when once it laid hold of one.,Rainer Maria Rilke,fear
Prosperity is not without many fears and distastes adversity not without many comforts and hopes.,Francis Bacon,fear
There is no passion so contagious as that of fear.,Michel de Montaigne,fear
He that hopes no good fears no ill.,Thomas Fuller,fear
That man is prudent who neither hopes nor fears anything from the uncertain events of the future.,Anatole France,fear
To him who is in fear everything rustles.,Sophocles,fear
There are very few monsters who warrant the fear we have of them.,Andre Gide,fear
"We often pretend to fear what we really despise, and more often despise what we really fear.",Charles Caleb Colton,fear
There are times when fear is good. It must keep its watchful place at the heart's controls.,Aeschylus,fear
"We have perhaps a natural fear of ends. We would rather be always on the way than arrive. Given the means, we hang on to them and often forget the ends.",Eric Hoffer,fear
"I fear the Greeks, even when they bring gifts.",Virgil,fear
"The thinner the ice, the more anxious is everyone to see whether it will bear.",Josh Billings,fear
The fear of becoming a 'has-been' keeps some people from becoming anything.,Eric Hoffer,fear
Everyone wishes that the man whom he fears would perish.,Ovid,fear
Minds that are ill at ease are agitated by both hope and fear.,Ovid,fear
I'd rather give my life than be afraid to give it.,Lyndon B. Johnson,fear
"As a child, I was more afraid of tetanus shots than, for example, Dracula.",Dave Barry,fear
To pity distress is but human to relieve it is Godlike.,Horace Mann,fear
"My 'fear' is my substance, and probably the best part of me.",Franz Kafka,fear
We fear things in proportion to our ignorance of them.,Christian Nestell Bovee,fear
"Every man, through fear, mugs his aspirations a dozen times a day.",Brendan Francis,fear
Some movie stars wear their sunglasses even in church. They're afraid God might recognize them and ask for autographs.,Fred Allen,fear
"He whom many fear, has himself many to fear.",Publilius Syrus,fear
Fear has many eyes and can see things underground.,Miguel de Cervantes,fear
"There is no hope unmingled with fear, and no fear unmingled with hope.",Baruch Spinoza,fear
There is nothing that fear and hope does not permit men to do.,Luc de Clapiers,fear
"You know, sometimes I feel well and vital in the world, and sometimes I just feel so distressed I want to pull my hair out by the roots.",Sharon Stone,fear
I have a fear of being boring.,Christian Bale,fear
"I'm not at the point where I'd feel safe in a house alone. I would be really scared. I'm the kind of person that when I get up to go use the bathroom I have this big long hallway, and I just know someone's going to jump out and get me.",Britney Spears,fear
"This is all you have. This is not a dry run. This is your life. If you want to fritter it away with your fears, then you will fritter it away, but you won't get it back later.",Laura Schlessinger,fear
Hate is the consequence of fear we fear something before we hate it a child who fears noises becomes a man who hates noise.,Cyril Connolly,fear
Do what you fear and fear disappears.,David Joseph Schwartz,fear
Slowness to change usually means fear of the new.,Phil Crosby,fear
