"It is well enough that people of the nation do not understand our banking and monetary system, for if they did, I believe there would be a revolution before tomorrow morning.",Henry Ford,finance
Your net worth to the world is usually determined by what remains after your bad habits are subtracted from your good ones.,Benjamin Franklin,finance
It is a kind of spiritual snobbery that makes people think they can be happy without money.,Albert Camus,finance
Part of your heritage in this society is the opportunity to become financially independent.,Jim Rohn,finance
"Don't gamble take all your savings and buy some good stock and hold it till it goes up, then sell it. If it don't go up, don't buy it.",Will Rogers,finance
"Wealth consists not in having great possessions, but in having few wants.",Epictetus,finance
A big part of financial freedom is having your heart and mind free from worry about the what-ifs of life.,Suze Orman,finance
"I am favor of cutting taxes under any circumstances and for any excuse, for any reason, whenever it's possible.",Milton Friedman,finance
"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.",Donald Trump,finance
Inflation is taxation without legislation.,Milton Friedman,finance
"Under capitalism, man exploits man. Under communism, it's just the opposite.",John Kenneth Galbraith,finance
I do not regard a broker as a member of the human race.,Honore de Balzac,finance
"Our incomes are like our shoes if too small, they gall and pinch us but if too large, they cause us to stumble and to trip.",John Locke,finance
"As sure as the spring will follow the winter, prosperity and economic growth will follow recession.",Bo Bennett,finance
The poor don't know that their function in life is to exercise our generosity.,Jean-Paul Sartre,finance
Owning a home is a keystone of wealth - both financial affluence and emotional security.,Suze Orman,finance
Surplus wealth is a sacred trust which its possessor is bound to administer in his lifetime for the good of the community.,Andrew Carnegie,finance
The way to make money is to buy when blood is running in the streets.,John D. Rockefeller,finance
"The propensity to truck, barter and exchange one thing for another is common to all men, and to be found in no other race of animals.",Adam Smith,finance
"Wealth, in even the most improbable cases, manages to convey the aspect of intelligence.",John Kenneth Galbraith,finance
Any informed borrower is simply less vulnerable to fraud and abuse.,Alan Greenspan,finance
"In the absence of the gold standard, there is no way to protect savings from confiscation through inflation. There is no safe store of value.",Alan Greenspan,finance
"It's not the having, it's the getting.",Charles Spurgeon,finance
"One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute.",William Feather,finance
"Wealth is not without its advantages and the case to the contrary, although it has often been made, has never proved widely persuasive.",John Kenneth Galbraith,finance
Do you know the only thing that gives me pleasure? It's to see my dividends coming in.,John D. Rockefeller,finance
Money is to my social existence what health is to my body.,Mason Cooley,finance
All money is a matter of belief.,Adam Smith,finance
A moderate addiction to money may not always be hurtful but when taken in excess it is nearly always bad for the health.,Clarence Day,finance
Money is like manure. You have to spread it around or it smells.,J. Paul Getty,finance
We at Chrysler borrow money the old-fashioned way. We pay it back.,Lee Iacocca,finance
"Many people are in the dark when it comes to money, and I'm going to turn on the lights.",Suze Orman,finance
The way to become rich is to put all your eggs in one basket and then watch that basket.,Andrew Carnegie,finance
"For the merchant, even honesty is a financial speculation.",Charles Baudelaire,finance
"We had a booming stock market in 1929 and then went into the world's greatest depression. We have a booming stock market in 1999. Will the bubble somehow burst, and then we enter depression? Well, some things are not different.",Jeffrey Sachs,finance
"Security depends not so much upon how much you have, as upon how much you can do without.",Joseph Wood Krutch,finance
"Today, if you look at financial systems around the globe, more than half the population of the world - out of six billion people, more than three billion - do not qualify to take out a loan from a bank. This is a shame.",Muhammad Yunus,finance
We cannot both preach and administer financial matters.,Saint Stephen,finance
The avoidance of taxes is the only intellectual pursuit that still carries any reward.,John Maynard Keynes,finance
"Starting out to make money is the greatest mistake in life. Do what you feel you have a flair for doing, and if you are good enough at it, the money will come.",Greer Garson,finance
I finally know what distinguishes man from the other beasts: financial worries.,Jules Renard,finance
The number-one job of the hedge-fund manager is not to make sure that you can retire with a smile on your face - it's for him to retire with a smile on his face.,Mark Cuban,finance
I don't think about financial success as the measurement of my success.,Christie Hefner,finance
"The problem of how we finance the welfare state should not obscure a separate issue: if each person thinks he has an inalienable right to welfare, no matter what happens to the world, that's not equity, it's just creating a society where you can't ask anything of people.",Jacques Delors,finance
I made my money by selling too soon.,Bernard Baruch,finance
Poverty is unnecessary.,Muhammad Yunus,finance
It is incumbent upon each of us to improve spending and savings practices to ensure our own individual financial security and preserve the collective economic well-being of our great society.,Ron Lewis,finance
"I'm involved in the stock market, which is fun and, sometimes, very painful.",Regis Philbin,finance
"The only way for a rich man to be healthy is by exercise and abstinence, to live as if he were poor.",William Temple,finance
"We've taken the view that if the rest of the world would democratize and create market economies, that would spread the benefits of prosperity around the world, and that it would enhance our own prosperity, and our own stability and security, as well.",Jeffrey Sachs,finance
The only way that we can reduce our financial dependence on the inflow of funds from the rest of the world is to reduce our trade deficit.,Martin Feldstein,finance
"Thirty to 40 years ago, most financial decisions were fairly simple.",Scott Cook,finance
"Gold and silver, like other commodities, have an intrinsic value, which is not arbitrary, but is dependent on their scarcity, the quantity of labour bestowed in procuring them, and the value of the capital employed in the mines which produce them.",David Ricardo,finance
There can be no rise in the value of labour without a fall of profits.,David Ricardo,finance
Infinite growth of material consumption in a finite world is an impossibility.,E. F. Schumacher,finance
Capital is that part of wealth which is devoted to obtaining further wealth.,Alfred Marshall,finance
The price of every thing rises and falls from time to time and place to place and with every such change the purchasing power of money changes so far as that thing goes.,Alfred Marshall,finance
The economy is a very sensitive organism.,Hjalmar Schacht,finance
Money is the best rule of commerce.,William Petty,finance
Thirteen thousand dollars a year is not enough to raise a family. That's not enough to pay your bills and save for their future. That's barely enough to provide for even the most basic needs.,Thomas Carper,finance
To beat the market you'll have to invest serious bucks to dig up information no one else has yet.,Merton Miller,finance
You only need to make one big score in finance to be a hero forever.,Merton Miller,finance
The rate of interest acts as a link between income-value and capital-value.,Irving Fisher,finance
It is bad policy to regulate everything... where things may better regulate themselves and can be better promoted by private exertions but it is no less bad policy to let those things alone which can only be promoted by interfering social power.,Friedrich List,finance
"I wasn't a financial pro, and I paid the price.",Ruth Handler,finance
"I've always supported myself. I like the sense of knowing exactly where I stand financially, but there is a side of me that longs for a knight in shining armor.",Barbara Feldon,finance
The job of the Central Bank is to worry.,Alice Rivlin,finance
Under capitalism each individual engages in economic planning.,George Reisman,finance
"As a novelist, I tell stories and people give me money. Then financial planners tell me stories and I give them money.",Martin Cruz Smith,finance
Rounding to the nearest cent is sufficiently accurate for practical purposes.,Alexander John Ellis,finance
"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.",Hillary Clinton,finance
"Every nation has to either be with us, or against us. Those who harbor terrorists, or who finance them, are going to pay a price.",Hillary Clinton,finance
"If it isn't the sheriff, it's the finance company I've got more attachments on me than a vacuum cleaner.",John Barrymore,finance
"I was a great student at a great school, Wharton School of Finance.",Donald Trump,finance
"Finance, like time, devours its own children.",Honore de Balzac,finance
"If you want to fight the evil you see in finance and industry, get to work reading the corporate filings, see if there has been fraud, and where you find it, report it to the SEC or write about it or blog about it.",Ben Stein,finance
"I'm looking for backing for an unauthorized auto-biography that I am writing. Hopefully, this will sell in such huge numbers that I will be able to sue myself for an extraordinary amount of money and finance the film version in which I will play everybody.",David Bowie,finance
"Where are the jobs going to come from?Small business, manufacturing and clean energy. Where's the money to finance them? The banks and the corporations in America today have lots of money that they can invest right now.",William J. Clinton,finance
Finance is a gun. Politics is knowing when to pull the trigger.,Mario Puzo,finance
"Canadians know that the promise of a recession didn't happen because of anything we did here. If you look at all the causes of the recession, problems in mortgage markets, the problems in the banking sector, the problems in government finance in countries like Greece, none of those problems were in present Canada.",Stephen Harper,finance
"At this point, I don't get hired a lot because people don't think I could finance a movie.",Martha Plimpton,finance
"The monarchy is foremost a business, and it's important to them that the British public continue to finance the excessive luxurious lifestyles of the now quite enormous, wasteful and useless 'royal' family. I find it very sad.",Steven Patrick Morrissey,finance
"There is a growing literature about the multitude of journalism's problems, but most of it is concerned with the editorial side of the business, possibly because most people competent to write about journalism are not comfortable writing about finance.",Russell Baker,finance
"We all know that Americans love their statistics - in sport, obviously. And in finance too.",Evan Davis,finance
"I have come close to producing films. But generally by the time they hit the screen, there's about 50 people with producer credits, so what's the point. I usually find scripts I like with no money attached and take them to producers that I know and try to raise finance.",Tim Roth,finance
"I worked with a group of people who argued day and night - professors, officials, the Minister of Finance - but there were decisions that I had to make.",Shimon Peres,finance
"My real adversary has no name, no face, no party. It will never be elected, yet it governs - the adversary is the world of finance.",Francois Hollande,finance
My adversary is the world of finance.,Francois Hollande,finance
I don't want euro bonds that serve to mutualize the entire debt of the countries in the euro zone. That can only work in the longer-term. I want euro bonds to be used to finance targeted investments in future-oriented growth projects. It isn't the same thing. Let's call them 'project bonds' instead of euro bonds.,Francois Hollande,finance
"One of the things that's great about New York is that it is not a one-industry town. It has education, academia, the service industry, arts, publishing, theater, politics, fashion, finance, as well as movie-making.",Sarah Jessica Parker,finance
"These heroes of finance are like beads on a string when one slips off, all the rest follow.",Henrik Ibsen,finance
"In 1973, women got 59 cents on the dollar now we are getting 74 cents on the dollar. In the area of finance and business, we are at 68 cents on the dollar.",Billie Jean King,finance
"Qaddafi is hated because he is the leader of a small country that is rich, but he uses his money to finance liberation struggles.",Louis Farrakhan,finance
