"Physical fitness is not only one of the most important keys to a healthy body, it is the basis of dynamic and creative intellectual activity.",John F. Kennedy,fitness
It is health that is real wealth and not pieces of gold and silver.,Mahatma Gandhi,fitness
Take care of your body. It's the only place you have to live.,Jim Rohn,fitness
"Leave all the afternoon for exercise and recreation, which are as necessary as reading. I will rather say more necessary because health is worth more than learning.",Thomas Jefferson,fitness
Walking is the best possible exercise. Habituate yourself to walk very fast.,Thomas Jefferson,fitness
"Our growing softness, our increasing lack of physical fitness, is a menace to our security.",John F. Kennedy,fitness
The first wealth is health.,Ralph Waldo Emerson,fitness
"He who has health, has hope and he who has hope, has everything.",Thomas Carlyle,fitness
"Exercise to stimulate, not to annihilate. The world wasn't formed in a day, and neither were we. Set small goals and build upon them.",Lee Haney,fitness
"Bodybuilding is much like any other sport. To be successful, you must dedicate yourself 100% to your training, diet and mental approach.",Arnold Schwarzenegger,fitness
Attention to health is life's greatest hindrance.,Plato,fitness
Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,Denis Waitley,fitness
"If we could give every individual the right amount of nourishment and exercise, not too little and not too much, we would have found the safest way to health.",Hippocrates,fitness
A vigorous five-mile walk will do more good for an unhappy but otherwise healthy adult than all the medicine and psychology in the world.,Paul Dudley White,fitness
Jogging is very beneficial. It's good for your legs and your feet. It's also very good for the ground. If makes it feel needed.,Charles M. Schulz,fitness
"If a man achieves victory over this body, who in the world can exercise power over him? He who rules himself rules over the whole world.",Vinoba Bhave,fitness
"Here's what I tell anybody and this is what I believe. The greatest gift we have is the gift of life. We understand that. That comes from our Creator. We're given a body. Now you may not like it, but you can maximize that body the best it can be maximized.",Mike Ditka,fitness
"The first time I see a jogger smiling, I'll consider it.",Joan Rivers,fitness
The human body is the best picture of the human soul.,Ludwig Wittgenstein,fitness
Exercise is labor without weariness.,Samuel Johnson,fitness
"Regularity in the hours of rising and retiring, perseverance in exercise, adaptation of dress to the variations of climate, simple and nutritious aliment, and temperance in all things are necessary branches of the regimen of health.",Lord Chesterfield,fitness
