Darkness cannot drive out darkness only light can do that. Hate cannot drive out hate only love can do that.,"Martin Luther King, Jr.",forgiveness
The weak can never forgive. Forgiveness is the attribute of the strong.,Mahatma Gandhi,forgiveness
"Forgive your enemies, but never forget their names.",John F. Kennedy,forgiveness
"Mistakes are always forgivable, if one has the courage to admit them.",Bruce Lee,forgiveness
Always forgive your enemies - nothing annoys them so much.,Oscar Wilde,forgiveness
Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.,Mark Twain,forgiveness
"Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.","H. Jackson Brown, Jr.",forgiveness
You will know that forgiveness has begun when you recall those who hurt you and feel the power to wish them well.,Lewis B. Smedes,forgiveness
"When you forgive, you in no way change the past - but you sure do change the future.",Bernard Meltzer,forgiveness
"I can forgive, but I cannot forget, is only another way of saying, I will not forgive. Forgiveness ought to be like a cancelled note - torn in two, and burned up, so that it never can be shown against one.",Henry Ward Beecher,forgiveness
Forgiveness is a virtue of the brave.,Indira Gandhi,forgiveness
He that cannot forgive others breaks the bridge over which he must pass himself for every man has need to be forgiven.,Thomas Fuller,forgiveness
People can be more forgiving than you can imagine. But you have to forgive yourself. Let go of what's bitter and move on.,Bill Cosby,forgiveness
Forgiveness is the final form of love.,Reinhold Niebuhr,forgiveness
"Forgiveness is the economy of the heart... forgiveness saves the expense of anger, the cost of hatred, the waste of spirits.",Hannah More,forgiveness
When I was a kid I used to pray every night for a new bicycle. Then I realised that the Lord doesn't work that way so I stole one and asked Him to forgive me.,Emo Philips,forgiveness
"How does one know if she has forgiven? You tend to feel sorrow over the circumstance instead of rage, you tend to feel sorry for the person rather than angry with him. You tend to have nothing left to say about it all.",Clarissa Pinkola Estes,forgiveness
"To err is human to forgive, divine.",Alexander Pope,forgiveness
To forgive is to set a prisoner free and discover that the prisoner was you.,Lewis B. Smedes,forgiveness
Forgotten is forgiven.,F. Scott Fitzgerald,forgiveness
"A mistake is always forgivable, rarely excusable and always unacceptable.",Robert Fripp,forgiveness
Forgiveness means letting go of the past.,Gerald Jampolsky,forgiveness
The public is wonderfully tolerant. It forgives everything except genius.,Oscar Wilde,forgiveness
"Forgiveness is the remission of sins. For it is by this that what has been lost, and was found, is saved from being lost again.",Saint Augustine,forgiveness
"There is no love without forgiveness, and there is no forgiveness without love.",Bryant H. McGill,forgiveness
"If there is something to pardon in everything, there is also something to condemn.",Friedrich Nietzsche,forgiveness
The practice of forgiveness is our most important contribution to the healing of the world.,Marianne Williamson,forgiveness
"Forgiveness is the answer to the child's dream of a miracle by which what is broken is made whole again, what is soiled is made clean again.",Dag Hammarskjold,forgiveness
Forgiveness is a funny thing. It warms the heart and cools the sting.,William Arthur Ward,forgiveness
One forgives to the degree that one loves.,Francois de La Rochefoucauld,forgiveness
To be social is to be forgiving.,Robert Frost,forgiveness
