Freedom prospers when religion is vibrant and the rule of law under God is acknowledged.,Ronald Reagan,freedom
"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",Nelson Mandela,freedom
"If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking... is freedom.",Dwight D. Eisenhower,freedom
"I am free because I know that I alone am morally responsible for everything I do. I am free, no matter what rules surround me. If I find them tolerable, I tolerate them if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.",Robert A. Heinlein,freedom
Freedom is not worth having if it does not connote freedom to err.,Mahatma Gandhi,freedom
The desire of gold is not for gold. It is for the means of freedom and benefit.,Ralph Waldo Emerson,freedom
Freedom is nothing but a chance to be better.,Albert Camus,freedom
People demand freedom of speech as a compensation for the freedom of thought which they seldom use.,Soren Kierkegaard,freedom
You have freedom when you're easy in your harness.,Robert Frost,freedom
Freedom is what you do with what's been done to you.,Jean-Paul Sartre,freedom
"The only sure bulwark of continuing liberty is a government strong enough to protect the interests of the people, and a people strong enough and well enough informed to maintain its sovereign control over the goverment.",Franklin D. Roosevelt,freedom
The truth is I love being alive. And I love feeling free. So if I can't have those things then I feel like a caged animal and I'd rather not be in a cage. I'd rather be dead. And it's real simple. And I think it's not that uncommon.,Angelina Jolie,freedom
We must be willing to pay a price for freedom.,H. L. Mencken,freedom
Liberty cannot be preserved without general knowledge among the people.,John Adams,freedom
Perfect freedom is as necessary to the health and vigor of commerce as it is to the health and vigor of citizenship.,Patrick Henry,freedom
Real freedom is having nothing. I was freer when I didn't have a cent.,Mike Tyson,freedom
Is freedom anything else than the right to live as we wish? Nothing else.,Epictetus,freedom
"For in the end, freedom is a personal and lonely battle and one faces down fears of today so that those of tomorrow might be engaged.",Alice Walker,freedom
"The only freedom which deserves the name is that of pursuing our own good, in our own way, so long as we do not attempt to deprive others of theirs, or impede their efforts to obtain it.",John Stuart Mill,freedom
"Freedom is a man's natural power of doing what he pleases, so far as he is not prevented by force or law.",Marcus Tullius Cicero,freedom
I hope for nothing. I fear nothing. I am free.,Nikos Kazantzakis,freedom
"As long as men are free to ask what they must, free to say what they think, free to think what they will, freedom can never be lost and science can never regress.",Marcel Proust,freedom
Freedom and justice cannot be parceled out in pieces to suit political convenience. I don't believe you can stand for freedom for one group of people and deny it to others.,Coretta Scott King,freedom
Freedom is the sure possession of those alone who have the courage to defend it.,Pericles,freedom
"There are two freedoms - the false, where a man is free to do what he likes the true, where he is free to do what he ought.",Charles Kingsley,freedom
Do not allow to slip away from you freedoms the people who came before you won with such hard knocks.,David Herbert Lawrence,freedom
"I'm a big advocate of freedom: freedom of speech, freedom of expression, freedom of thought.",Jimmy Wales,freedom
"We will not waver we will not tire we will not falter, and we will not fail. Peace and Freedom will prevail.",George W. Bush,freedom
None who have always been free can understand the terrible fascinating power of the hope of freedom to those who are not free.,Pearl S. Buck,freedom
All theory is against freedom of the will all experience for it.,Samuel Johnson,freedom
"What is freedom of expression? Without the freedom to offend, it ceases to exist.",Salman Rushdie,freedom
"May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right.",Peter Marshall,freedom
Freedom is the only law which genius knows.,James Russell Lowell,freedom
You can only protect your liberties in this world by protecting the other man's freedom.,Clarence Darrow,freedom
Freedom is from within.,Frank Lloyd Wright,freedom
"We are driven by five genetic needs: survival, love and belonging, power, freedom, and fun.",William Glasser,freedom
