A friend is one who knows you and loves you just the same.,Elbert Hubbard,friendship
Don't walk behind me I may not lead. Don't walk in front of me I may not follow. Just walk beside me and be my friend.,Albert Camus,friendship
"An insincere and evil friend is more to be feared than a wild beast a wild beast may wound your body, but an evil friend will wound your mind.",Buddha,friendship
"Friendship... is not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.",Muhammad Ali,friendship
"Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down.",Oprah Winfrey,friendship
"When we honestly ask ourselves which person in our lives means the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand.",Henri Nouwen,friendship
"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.",Albert Schweitzer,friendship
"A friend should be one in whose understanding and virtue we can equally confide, and whose opinion we can value at once for its justness and its sincerity.",Robert Hall,friendship
One of the most beautiful qualities of true friendship is to understand and to be understood.,Lucius Annaeus Seneca,friendship
A true friend never gets in your way unless you happen to be going down.,Arnold H. Glasow,friendship
"A single rose can be my garden... a single friend, my world.",Leo Buscaglia,friendship
"A friendship can weather most things and thrive in thin soil but it needs a little mulch of letters and phone calls and small, silly presents every so often - just to save it from drying out completely.",Pam Brown,friendship
"I value the friend who for me finds time on his calendar, but I cherish the friend who for me does not consult his calendar.",Robert Brault,friendship
"Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom.",Marcel Proust,friendship
"Be courteous to all, but intimate with few, and let those few be well tried before you give them your confidence.",George Washington,friendship
"Think where man's glory most begins and ends, and say my glory was I had such friends.",William Butler Yeats,friendship
"Friendship is unnecessary, like philosophy, like art... It has no survival value rather it is one of those things that give value to survival.",C. S. Lewis,friendship
"The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing... not healing, not curing... that is a friend who cares.",Henri Nouwen,friendship
True friends stab you in the front.,Oscar Wilde,friendship
It is one of the blessings of old friends that you can afford to be stupid with them.,Ralph Waldo Emerson,friendship
A friend is someone who gives you total freedom to be yourself.,Jim Morrison,friendship
"A true friend freely, advises justly, assists readily, adventures boldly, takes all patiently, defends courageously, and continues a friend unchangeably.",William Penn,friendship
A friend to all is a friend to none.,Aristotle,friendship
Friendship is a single soul dwelling in two bodies.,Aristotle,friendship
"But friendship is precious, not only in the shade, but in the sunshine of life, and thanks to a benevolent arrangement the greater part of life is sunshine.",Thomas Jefferson,friendship
Walking with a friend in the dark is better than walking alone in the light.,Helen Keller,friendship
Friends and good manners will carry you where money won't go.,Margaret Walker,friendship
"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.",Charles R. Swindoll,friendship
Am I not destroying my enemies when I make friends of them?,Abraham Lincoln,friendship
"In the sweetness of friendship let there be laughter, and sharing of pleasures. For in the dew of little things the heart finds its morning and is refreshed.",Khalil Gibran,friendship
"Friends show their love in times of trouble, not in happiness.",Euripides,friendship
Never explain - your friends do not need it and your enemies will not believe you anyway.,Elbert Hubbard,friendship
"It is only the great hearted who can be true friends. The mean and cowardly, Can never know what true friendship means.",Charles Kingsley,friendship
The friend in my adversity I shall always cherish most. I can better trust those who helped to relieve the gloom of my dark hours than those who are so ready to enjoy with me the sunshine of my prosperity.,Ulysses S. Grant,friendship
I don't need a friend who changes when I change and who nods when I nod my shadow does that much better.,Plutarch,friendship
A hug is like a boomerang - you get it back right away.,Bil Keane,friendship
"Each friend represents a world in us, a world not born until they arrive, and it is only by this meeting that a new world is born.",Anais Nin,friendship
My best friend is the man who in wishing me well wishes it for my sake.,Aristotle,friendship
A true friend is someone who is there for you when he'd rather be anywhere else.,Len Wein,friendship
"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.",Helen Keller,friendship
The only way to have a friend is to be one.,Ralph Waldo Emerson,friendship
"Be true to your work, your word, and your friend.",Henry David Thoreau,friendship
There is nothing on this earth more to be prized than true friendship.,Thomas Aquinas,friendship
"Rare as is true love, true friendship is rarer.",Jean de La Fontaine,friendship
"When you choose your friends, don't be short-changed by choosing personality over character.",W. Somerset Maugham,friendship
"The friend is the man who knows all about you, and still likes you.",Elbert Hubbard,friendship
A friendship founded on business is better than a business founded on friendship.,John D. Rockefeller,friendship
The language of friendship is not words but meanings.,Henry David Thoreau,friendship
An excellent man he has no enemies and none of his friends like him.,Oscar Wilde,friendship
"Be slow to fall into friendship but when thou art in, continue firm and constant.",Socrates,friendship
"Men kick friendship around like a football, but it doesn't seem to crack. Women treat it like glass and it goes to pieces.",Anne Morrow Lindbergh,friendship
"Wishing to be friends is quick work, but friendship is a slow ripening fruit.",Aristotle,friendship
It is more shameful to distrust our friends than to be deceived by them.,Confucius,friendship
It's the friends you can call up at 4 a.m. that matter.,Marlene Dietrich,friendship
The most I can do for my friend is simply be his friend.,Henry David Thoreau,friendship
Friends... they cherish one another's hopes. They are kind to one another's dreams.,Henry David Thoreau,friendship
I have friends in overalls whose friendship I would not swap for the favor of the kings of the world.,Thomas A. Edison,friendship
"Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one.",Oscar Wilde,friendship
You can always tell a real friend: when you've made a fool of yourself he doesn't feel you've done a permanent job.,Laurence J. Peter,friendship
"He has no enemies, but is intensely disliked by his friends.",Oscar Wilde,friendship
A man's growth is seen in the successive choirs of his friends.,Ralph Waldo Emerson,friendship
Love is blind friendship closes its eyes.,Friedrich Nietzsche,friendship
A friend may well be reckoned the masterpiece of nature.,Ralph Waldo Emerson,friendship
"If it's very painful for you to criticize your friends - you're safe in doing it. But if you take the slightest pleasure in it, that's the time to hold your tongue.",Alice Duer Miller,friendship
True friendship can afford true knowledge. It does not depend on darkness and ignorance.,Henry David Thoreau,friendship
Never make friends with people who are above or below you in status. Such friendships will never give you any happiness.,Chanakya,friendship
