"Sir, my concern is not whether God is on our side my greatest concern is to be on God's side, for God is always right.",Abraham Lincoln,god
"We need to find God, and he cannot be found in noise and restlessness. God is the friend of silence. See how nature - trees, flowers, grass- grows in silence see the stars, the moon and the sun, how they move in silence... We need silence to be able to touch souls.",Mother Teresa,god
"When the solution is simple, God is answering.",Albert Einstein,god
"While I know myself as a creation of God, I am also obligated to realize and remember that everyone else and everything else are also God's creation.",Maya Angelou,god
"Never trust anyone completely but God. Love people, but put your full trust only in God.",Lawrence Welk,god
"I believe God is managing affairs and that He doesn't need any advice from me. With God in charge, I believe everything will work out for the best in the end. So what is there to worry about.",Henry Ford,god
"God and Nature first made us what we are, and then out of our own created genius we make ourselves what we want to be. Follow always that great law. Let the sky and God be our limit and Eternity our measurement.",Marcus Garvey,god
"The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quiet, alone with the heavens, nature and God. Because only then does one feel that all is as it should be.",Anne Frank,god
"God, as Truth, has been for me a treasure beyond price. May He be so to every one of us.",Mahatma Gandhi,god
"The Christian life is not a constant high. I have my moments of deep discouragement. I have to go to God in prayer with tears in my eyes, and say, 'O God, forgive me,' or 'Help me.'",Billy Graham,god
"The moment I have realized God sitting in the temple of every human body, the moment I stand in reverence before every human being and see God in him - that moment I am free from bondage, everything that binds vanishes, and I am free.",Swami Vivekananda,god
Each one prays to God according to his own light.,Mahatma Gandhi,god
"God is, even though the whole world deny him. Truth stands, even if there be no public support. It is self-sustained.",Mahatma Gandhi,god
"God will not permit any troubles to come upon us, unless He has a specific plan by which great blessing can come out of the difficulty.",Peter Marshall,god
"God gave you a gift of 86,400 seconds today. Have you used one to say 'thank you?'",William Arthur Ward,god
"God has given us two hands, one to receive with and the other to give with.",Billy Graham,god
"God creates out of nothing. Wonderful you say. Yes, to be sure, but he does what is still more wonderful: he makes saints out of sinners.",Soren Kierkegaard,god
Do not let your hearts be troubled. Trust in God trust also in me.,Jesus Christ,god
"The Bible is one of the greatest blessings bestowed by God on the children of men. It has God for its author salvation for its end, and truth without any mixture for its matter. It is all pure.",John Locke,god
The blame is his who chooses: God is blameless.,Plato,god
My message is that God is a good God.,Joel Osteen,god
"God who is eternally complete, who directs the stars, who is the master of fates, who elevates man from his lowliness to Himself, who speaks from the cosmos to every single human soul, is the most brilliant manifestation of the goal of perfection.",Alfred Adler,god
"I cannot think that we are useless or God would not have created us. There is one God looking down on us all. We are all the children of one God. The sun, the darkness, the winds are all listening to what we have to say.",Geronimo,god
"There's only one effectively redemptive sacrifice, the sacrifice of self-will to make room for the knowledge of God.",Aldous Huxley,god
"If thou desire the love of God and man, be humble, for the proud heart, as it loves none but itself, is beloved of none but itself. Humility enforces where neither virtue, nor strength, nor reason can prevail.",Francis Quarles,god
"God is looking for people to use, and if you can get usable, he will wear you out. The most dangerous prayer you can pray is this: 'Use me.'",Rick Warren,god
