The only thing necessary for the triumph of evil is for good men to do nothing.,Edmund Burke,good
"It is very important to generate a good attitude, a good heart, as much as possible. From this, happiness in both the short term and the long term for both yourself and others will come.",Dalai Lama,good
"If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.",Albert Einstein,good
"Despite everything, I believe that people are really good at heart.",Anne Frank,good
"When I do good, I feel good. When I do bad, I feel bad. That's my religion.",Abraham Lincoln,good
"We will have to repent in this generation not merely for the vitriolic words and actions of the bad people, but for the appalling silence of the good people.","Martin Luther King, Jr.",good
We shall never know all the good that a simple smile can do.,Mother Teresa,good
"Good people do not need laws to tell them to act responsibly, while bad people will find a way around the laws.",Plato,good
There has to be evil so that good can prove its purity above it.,Buddha,good
"The good times of today, are the sad thoughts of tomorrow.",Bob Marley,good
It is better to be beautiful than to be good. But... it is better to be good than to be ugly.,Oscar Wilde,good
A true friend is someone who thinks that you are a good egg even though he knows that you are slightly cracked.,Bernard Meltzer,good
I can live for two months on a good compliment.,Mark Twain,good
There is nothing either good or bad but thinking makes it so.,William Shakespeare,good
A man who is good enough to shed his blood for the country is good enough to be given a square deal afterwards.,Theodore Roosevelt,good
"But I say to you, Love your enemies and pray for those who persecute you, so that you may be sons of your Father who is in heaven for he makes his sun rise on the evil and on the good, and sends rain on the just and on the unjust.",Jesus Christ,good
"The more we come out and do good to others, the more our hearts will be purified, and God will be in them.",Swami Vivekananda,good
"It takes many good deeds to build a good reputation, and only one bad one to lose it.",Benjamin Franklin,good
"When I'm good, I'm very good. But when I'm bad I'm better.",Mae West,good
Honest disagreement is often a good sign of progress.,Mahatma Gandhi,good
Don't be afraid to give up the good to go for the great.,John D. Rockefeller,good
"Good judgment comes from experience, and a lot of that comes from bad judgment.",Will Rogers,good
"If you can't make it good, at least make it look good.",Bill Gates,good
Every man is guilty of all the good he did not do.,Voltaire,good
"Associate yourself with people of good quality, for it is better to be alone than in bad company.",Booker T. Washington,good
"A man is called selfish not for pursuing his own good, but for neglecting his neighbor's.",Richard Whately,good
You're in pretty good shape for the shape you are in.,Dr. Seuss,good
Good things happen to those who hustle.,Anais Nin,good
"Not only must we be good, but we must also be good for something.",Henry David Thoreau,good
The true measure of a man is how he treats someone who can do him absolutely no good.,Samuel Johnson,good
"If you don't think every day is a good day, just try missing one.",Cavett Robert,good
It takes a great man to be a good listener.,Calvin Coolidge,good
"Learn to... be what you are, and learn to resign with a good grace all that you are not.",Henri Frederic Amiel,good
"An inexhaustible good nature is one of the most precious gifts of heaven, spreading itself like oil over the troubled sea of thought, and keeping the mind smooth and equable in the roughest weather.",Washington Irving,good
"On the whole, human beings want to be good, but not too good, and not quite all the time.",George Orwell,good
Good advice is something a man gives when he is too old to set a bad example.,Francois de La Rochefoucauld,good
It's good to shut up sometimes.,Marcel Marceau,good
It is not good to be too free. It is not good to have everything one wants.,Blaise Pascal,good
Less is only more where more is no good.,Frank Lloyd Wright,good
Acorns were good until bread was found.,Francis Bacon,good
The omission of good is no less reprehensible than the commission of evil.,Plutarch,good
What the people want is very simple - they want an America as good as its promise.,Barbara Jordan,good
Laughter is the sensation of feeling good all over and showing it principally in one place.,Josh Billings,good
"I believe that we parents must encourage our children to become educated, so they can get into a good college that we cannot afford.",Dave Barry,good
"Good leaders make people feel that they're at the very heart of things, not at the periphery.",Warren G. Bennis,good
Only the young die good.,Oliver Herford,good
I have made good judgments in the past. I have made good judgments in the future.,Dan Quayle,good
"That which is striking and beautiful is not always good, but that which is good is always beautiful.",Ninon de L'Enclos,good
"Good copy can't be written with tongue in cheek, written just for a living. You've got to believe in the product.",David Ogilvy,good
A good scare is worth more to a man than good advice.,E. W. Howe,good
"Be sweet, be good, and honest always.",Emma Bunton,good
"A man has to live with himself, and he should see to it that he always has good company.",Charles Evans Hughes,good
"He who bestows his goods upon the poor shall have as much again, and ten times more.",John Bunyan,good
They're only truly great who are truly good.,George Chapman,good
"We must develop and maintain the capacity to forgive. He who is devoid of the power to forgive is devoid of the power to love. There is some good in the worst of us and some evil in the best of us. When we discover this, we are less prone to hate our enemies.","Martin Luther King, Jr.",good
"For beautiful eyes, look for the good in others for beautiful lips, speak only words of kindness and for poise, walk with the knowledge that you are never alone.",Audrey Hepburn,good
"You have enemies? Good. That means you've stood up for something, sometime in your life.",Winston Churchill,good
"I feel sorry for people who don't drink. When they wake up in the morning, that's as good as they're going to feel all day.",Frank Sinatra,good
"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha,good
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,good
"History will have to record that the greatest tragedy of this period of social transition was not the strident clamor of the bad people, but the appalling silence of the good people.","Martin Luther King, Jr.",good
"A wise and frugal Government, which shall restrain men from injuring one another, which shall leave them otherwise free to regulate their own pursuits of industry and improvement, and shall not take from the mouth of labor the bread it has earned. This is the sum of good government, and this is necessary to close the circlue of our felicities.",Thomas Jefferson,good
"By all means, marry. If you get a good wife, you'll become happy if you get a bad one, you'll become a philosopher.",Socrates,good
"A man who was completely innocent, offered himself as a sacrifice for the good of others, including his enemies, and became the ransom of the world. It was a perfect act.",Mahatma Gandhi,good
A good head and a good heart are always a formidable combination.,Nelson Mandela,good
"However many holy words you read, however many you speak, what good will they do you if you do not act on upon them?",Buddha,good
Let him who would enjoy a good future waste none of his present.,Roger Babson,good
"A good wife is one who serves her husband in the morning like a mother does, loves him in the day like a sister does and pleases him like a prostitute in the night.",Chanakya,good
"For every good reason there is to lie, there is a better reason to tell the truth.",Bo Bennett,good
"The first question which the priest and the Levite asked was: 'If I stop to help this man, what will happen to me?' But... the good Samaritan reversed the question: 'If I do not stop to help this man, what will happen to him?'","Martin Luther King, Jr.",good
Friends and good manners will carry you where money won't go.,Margaret Walker,good
It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve and bad things are very easy to get.,Confucius,good
To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,Buddha,good
The very atmosphere of firearms anywhere and everywhere restrains evil interference - they deserve a place of honor with all that's good.,George Washington,good
The ultimate tragedy is not the oppression and cruelty by the bad people but the silence over that by the good people.,"Martin Luther King, Jr.",good
A good marriage would be between a blind wife and a deaf husband.,Michel de Montaigne,good
An empty stomach is not a good political adviser.,Albert Einstein,good
"No man succeeds without a good woman behind him. Wife or mother, if it is both, he is twice blessed indeed.",Godfrey Winn,good
"It is wonderful how much time good people spend fighting the devil. If they would only expend the same amount of energy loving their fellow men, the devil would die in his own tracks of ennui.",Helen Keller,good
Shallow understanding from people of good will is more frustrating than absolute misunderstanding from people of ill will.,"Martin Luther King, Jr.",good
"He who can no longer pause to wonder and stand rapt in awe, is as good as dead his eyes are closed.",Albert Einstein,good
"Just as treasures are uncovered from the earth, so virtue appears from good deeds, and wisdom appears from a pure and peaceful mind. To walk safely through the maze of human life, one needs the light of wisdom and the guidance of virtue.",Buddha,good
"Our greatest happiness does not depend on the condition of life in which chance has placed us, but is always the result of a good conscience, good health, occupation, and freedom in all just pursuits.",Thomas Jefferson,good
"Good friends, good books and a sleepy conscience: this is the ideal life.",Mark Twain,good
"I am not interested in power for power's sake, but I'm interested in power that is moral, that is right and that is good.","Martin Luther King, Jr.",good
"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.",Vince Lombardi,good
"You can't stop loving or wanting to love because when its right it's the best thing in the world. When you're in a relationship and its good, even if nothing else in your life is right, you feel like your whole world is complete.",Keith Sweat,good
"I once had a rose named after me and I was very flattered. But I was not pleased to read the description in the catalogue: no good in a bed, but fine up against a wall.",Eleanor Roosevelt,good
I do not believe in the God of theology who rewards good and punishes evil.,Albert Einstein,good
Whatever words we utter should be chosen with care for people will hear them and be influenced by them for good or ill.,Buddha,good
I do believe we're all connected. I do believe in positive energy. I do believe in the power of prayer. I do believe in putting good out into the world. And I believe in taking care of each other.,Harvey Fierstein,good
No man is good enough to govern another man without the other's consent.,Abraham Lincoln,good
"Love is friendship that has caught fire. It is quiet understanding, mutual confidence, sharing and forgiving. It is loyalty through good and bad times. It settles for less than perfection and makes allowances for human weaknesses.",Ann Landers,good
No man has a good enough memory to be a successful liar.,Abraham Lincoln,good
"When one has the feeling of dislike for evil, when one feels tranquil, one finds pleasure in listening to good teachings when one has these feelings and appreciates them, one is free of fear.",Buddha,good
"Whatever you are, be a good one.",Abraham Lincoln,good
Virtue is persecuted more by the wicked than it is loved by the good.,Buddha,good
"If I am walking with two other men, each of them will serve as my teacher. I will pick out the good points of the one and imitate them, and the bad points of the other and correct them in myself.",Confucius,good
"Our prayers should be for blessings in general, for God knows best what is good for us.",Socrates,good
"The virtues, like the Muses, are always seen in groups. A good principle was never found solitary in any breast.",Buddha,good
"I choose my friends for their good looks, my acquaintances for their good characters, and my enemies for their intellects. A man cannot be too careful in the choice of his enemies.",Oscar Wilde,good
"If you have a particular faith or religion, that is good. But you can survive without it.",Dalai Lama,good
An armed society is a polite society. Manners are good when one may have to back up his acts with his life.,Robert A. Heinlein,good
"I'm a true believer in karma. You get what you give, whether it's bad or good.",Sandra Bullock,good
Of all tyrannies a tyranny sincerely exercised for the good of its victims may be the most oppressive.,C. S. Lewis,good
"All I'm trying to do is survive and make good out of the dirty, nasty, unbelievable lifestyle that they gave me.",Tupac Shakur,good
"And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everything.",William Shakespeare,good
Discourage litigation. Persuade your neighbors to compromise whenever you can. As a peacemaker the lawyer has superior opportunity of being a good man. There will still be business enough.,Abraham Lincoln,good
He that is good for making excuses is seldom good for anything else.,Benjamin Franklin,good
"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.",Helen Keller,good
"Every good relationship, especially marriage, is based on respect. If it's not based on respect, nothing that appears to be good will last very long.",Amy Grant,good
Concentrated power is not rendered harmless by the good intentions of those who create it.,Milton Friedman,good
Associate with men of good quality if you esteem your own reputation for it is better to be alone than in bad company.,George Washington,good
"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.",John Wooden,good
Keep a good attitude and do the right thing even when it's hard. When you do that you are passing the test. And God promises you your marked moments are on their way.,Joel Osteen,good
"Any book that helps a child to form a habit of reading, to make reading one of his deep and continuing needs, is good for him.",Maya Angelou,good
Truthful words are not beautiful beautiful words are not truthful. Good words are not persuasive persuasive words are not good.,Lao Tzu,good
The evil that men do lives after them the good is oft interred with their bones.,William Shakespeare,good
Being entirely honest with oneself is a good exercise.,Sigmund Freud,good
"Treat those who are good with goodness, and also treat those who are not good with goodness. Thus goodness is attained. Be honest to those who are honest, and be also honest to those who are not honest. Thus honesty is attained.",Lao Tzu,good
It's good sportsmanship to not pick up lost golf balls while they are still rolling.,Mark Twain,good
Learn to say 'no' to the good so you can say 'yes' to the best.,John C. Maxwell,good
"True friendship multiplies the good in life and divides its evils. Strive to have friends, for life without friends is like life on a desert island... to find one real friend in a lifetime is good fortune to keep him is a blessing.",Baltasar Gracian,good
Golf is a good walk spoiled.,Mark Twain,good
"The care of human life and happiness, and not their destruction, is the first and only object of good government.",Thomas Jefferson,good
"My advice to you is get married: if you find a good wife you'll be happy if not, you'll become a philosopher.",Socrates,good
"If money help a man to do good to others, it is of some value but if not, it is simply a mass of evil, and the sooner it is got rid of, the better.",Swami Vivekananda,good
A good conscience is a continual Christmas.,Benjamin Franklin,good
"Even when a person has all of life's comforts - good food, good shelter, a companion - he or she can still become unhappy when encountering a tragic situation.",Dalai Lama,good
A good objective of leadership is to help those who are doing poorly to do well and to help those who are doing well to do even better.,Jim Rohn,good
"Thunder is good, thunder is impressive but it is lightning that does the work.",Mark Twain,good
A man is born alone and dies alone and he experiences the good and bad consequences of his karma alone and he goes alone to hell or the Supreme abode.,Chanakya,good
"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating there is really no such thing as bad weather, only different kinds of good weather.",John Ruskin,good
There is no such thing as a good tax.,Winston Churchill,good
"The more man meditates upon good thoughts, the better will be his world and the world at large.",Confucius,good
"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.",Martin Luther,good
Climb the mountains and get their good tidings.,John Muir,good
"The important thing is that men should have a purpose in life. It should be something useful, something good.",Dalai Lama,good
It is absurd to divide people into good and bad. People are either charming or tedious.,Oscar Wilde,good
"A good traveler has no fixed plans, and is not intent on arriving.",Lao Tzu,good
"Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.",Eileen Caddy,good
Good breeding consists in concealing how much we think of ourselves and how little we think of the other person.,Mark Twain,good
The man who does not read good books has no advantage over the man who cannot read them.,Mark Twain,good
"I object to violence because when it appears to do good, the good is only temporary the evil it does is permanent.",Mahatma Gandhi,good
An overflow of good converts to bad.,William Shakespeare,good
Few things are harder to put up with than the annoyance of a good example.,Mark Twain,good
"The good news is that, according to the Obama administration, the rich will pay for everything. The bad news is that, according to the Obama administration, you're rich.",P. J. O'Rourke,good
It usually takes me more than three weeks to prepare a good impromptu speech.,Mark Twain,good
A sense of humor... is needed armor. Joy in one's heart and some laughter on one's lips is a sign that the person down deep has a pretty good grasp of life.,Hugh Sidey,good
"There are several good protections against temptation, but the surest is cowardice.",Mark Twain,good
"Good night, good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",William Shakespeare,good
"I intend to live forever. So far, so good.",Steven Wright,good
To be good is noble but to show others how to be good is nobler and no trouble.,Mark Twain,good
"Prophesy is a good line of business, but it is full of risks.",Mark Twain,good
What a good thing Adam had. When he said a good thing he knew nobody had said it before.,Mark Twain,good
How far that little candle throws its beams! So shines a good deed in a naughty world.,William Shakespeare,good
"A conservative is a man with two perfectly good legs who, however, has never learned how to walk forward.",Franklin D. Roosevelt,good
Drugs are a waste of time. They destroy your memory and your self-respect and everything that goes along with with your self-esteem. They're no good at all.,Kurt Cobain,good
"I am convinced that material things can contribute a lot to making one's life pleasant, but, basically, if you do not have very good friends and relatives who matter to you, life will be really empty and sad and material things cease to be important.",David Rockefeller,good
It is a good thing for an uneducated man to read books of quotations.,Winston Churchill,good
Our doubts are traitors and make us lose the good we oft might win by fearing to attempt.,William Shakespeare,good
Great and good are seldom the same man.,Winston Churchill,good
"For good or for ill, air mastery is today the supreme expression of military power and fleets and armies, however vital and important, must accept a subordinate rank.",Winston Churchill,good
I believe that every human mind feels pleasure in doing good to another.,Thomas Jefferson,good
Those who can win a war well can rarely make a good peace and those who could make a good peace would never have won the war.,Winston Churchill,good
"Every day we should hear at least one little song, read one good poem, see one exquisite picture, and, if possible, speak a few sensible words.",Johann Wolfgang von Goethe,good
"Love sought is good, but given unsought, is better.",William Shakespeare,good
"Life is never fair, and perhaps it is a good thing for most of us that it is not.",Oscar Wilde,good
What do I think of Western civilization? I think it would be a very good idea.,Mahatma Gandhi,good
The good man is the friend of all living things.,Mahatma Gandhi,good
Life consists not in holding good cards but in playing those you hold well.,Josh Billings,good
It takes time to persuade men to do even what is for their own good.,Thomas Jefferson,good
I always pass on good advice. It is the only thing to do with it. It is never of any use to oneself.,Oscar Wilde,good
"In truth, politeness is artificial good humor, it covers the natural want of it, and ends by rendering habitual a substitute nearly equivalent to the real virtue.",Thomas Jefferson,good
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",Aristotle,good
