It might be said now that I have the best of both worlds. A Harvard education and a Yale degree.,John F. Kennedy,graduation
"God will not look you over for medals degrees or diplomas, but for scars.",Elbert Hubbard,graduation
A graduation ceremony is an event where the commencement speaker tells thousands of students dressed in identical caps and gowns that 'individuality' is the key to success.,Robert Orben,graduation
Never go to your high school reunion pregnant or they will think that is all you have done since you graduated.,Erma Bombeck,graduation
Knowledge is invariably a matter of degree: you cannot put your finger upon even the simplest datum and say this we know.,T. S. Eliot,graduation
You are educated. Your certification is in your degree. You may think of it as the ticket to the good life. Let me ask you to think of an alternative. Think of it as your ticket to change the world.,Tom Brokaw,graduation
"I learned law so well, the day I graduated I sued the college, won the case, and got my tuition back.",Fred Allen,graduation
"It makes little difference how many university courses or degrees a person may own. If he cannot use words to move an idea from one point to another, his education is incomplete.",Norman Cousins,graduation
"For a man to attain to an eminent degree in learning costs him time, watching, hunger, nakedness, dizziness in the head, weakness in the stomach, and other inconveniences.",Miguel de Cervantes,graduation
"Life is the most exciting opportunity we have. But we have one shot. You graduate from college once, and that's it. You're going out of that nest. And you have to find that courage that's deep, deep, deep in there. Every step of the way.",Andrew Shue,graduation
I always wanted to have my own album released before I graduated from high school.,Christina Aguilera,graduation
This man used to go to school with his dog. Then they were separated. His dog graduated!,Henny Youngman,graduation
"I was never a Certified Public Accountant. I just had a degree in accounting. It would require passing a test, which I would not have been able to do.",Bob Newhart,graduation
"In this outward and physical ceremony we attest once again to the inner and spiritual strength of our Nation. As my high school teacher, Miss Julia Coleman, used to say: 'We must adjust to changing times and still hold to unchanging principles.'",Jimmy Carter,graduation
Being considerate of others will take your children further in life than any college degree.,Marian Wright Edelman,graduation
"Even though I disagree with many of the changes, when I see the privates graduate at the end of the day, when they walk off that drill field at the end of the ceremony, they are still fine privates outstanding, well motivated privates.",R. Lee Ermey,graduation
"Earlier today, Arnold Schwarzenegger criticized the California school system, calling it disastrous. Arnold says California's schools are so bad that its graduates are willing to vote for me.",Conan O'Brien,graduation
"When I was going for my graduate degree, I decided I was going to make a feature film as my thesis. That's what I was famous for-that I had my thesis film be a feature film, which was 'You're a Big Boy Now.'",Francis Ford Coppola,graduation
Catholic school graduates exhibit a wide variety of qualities that will not only help them in their careers but also in their family and community lives.,Joe Baca,graduation
"It is soooooo necessary to get the basic skills, because by the time you graduate, undergraduate or graduate, that field would have totally changed from your first day of school.",Leigh Steinberg,graduation
We had times in '66 and '67 when we would pick up a platoon of privates out of the receiving barracks the week before we even graduated the platoon that we were on!,R. Lee Ermey,graduation
We don't stop going to school when we graduate.,Carol Burnett,graduation
I'm not impressed by someone's degree... I'm impressed by them making movies.,Richard King,graduation
It is virtually impossible to compete in today's global economy without a college degree.,Bobby Scott,graduation
I first became interested in women and religion when I was one of the few women doing graduate work in Religious Studies at Yale University in the late 1960's.,Carol P. Christ,graduation
"Everyone has a right to a university degree in America, even if it's in Hamburger Technology.",Clive James,graduation
"I got all my work done to graduate in two months and then they were like, I'm sorry, you have to take driver's ed. I just kind of went, Oh, forget it.",Fiona Apple,graduation
I graduated a the top of my class in the '84 Olympic Games I won a gold medal.,Scott Hamilton,graduation
I have actually five honorary degrees.,Katherine Dunham,graduation
"I don't look to find an educated person in the ranks of university graduates, necessarily. Some of the most educated people I know have never been near a university.",John Keegan,graduation
"I think young writers should get other degrees first, social sciences, arts degrees or even business degrees. What you learn is research skills, a necessity because a lot of writing is about trying to find information.",Irvine Welsh,graduation
"For students today, only 10 percent of children from working-class families graduate from college by the age of 24 as compared to 58 percent of upper-middle-class and wealthy families.",Patrick J. Kennedy,graduation
"At the School of Visual Arts in New York, you can get your degree in Net art, which is really a fantastic way of thinking of theater in new ways.",Laurie Anderson,graduation
I did get a degree in special education.,Clay Aiken,graduation
"When I graduated from Santa Monica High in 1927, I was voted the girl most likely to succeed. I didn't realize it would take so long.",Gloria Stuart,graduation
"My father, who was from a wealthy family and highly educated, a lawyer, Yale and Columbia, walked out with the benefit of a healthy push from my mother, a seventh grade graduate, who took a typing course and got a secretarial job as fast as she could.",George Weinberg,graduation
College atheletes used to get a degree in bringing your pencil.,Ruby Wax,graduation
"I went to college at the University of Kansas, where I got a degree in political science.",Sara Paretsky,graduation
"I didn't get my degree at NYU I got it later, they gave me an honourary one.",Jim Jarmusch,graduation
"Some go on to trade schools or get further training for jobs they are interested in. Some go into the arts, some are craftsmen, some take a little time out to travel, and some start their own businesses. But our graduates find and work at what they want to do.",Daniel Greenberg,graduation
The knowledge of languages was very useful. I have a university degree in foreign languages and literature.,Emma Bonino,graduation
"My main objective is to prepare candidates for professional baseball however, the majority of our graduates will go home as much better qualified amateurs.",Jim Evans,graduation
"You must realize that honorary degrees are given generally to people whose SAT scores were too low to get them into schools the regular way. As a matter of fact, it was my SAT scores that led me into my present vocation in life, comedy.",Neil Simon,graduation
"I took three years off. I differentiated myself from the industry. Found my identity - sort of... I haven't graduated yet. I'm not legitimately educated yet, but maybe one day.",Claire Danes,graduation
"In 1858 I received the degree of D. S. from the Lawrence Scientific School, and thereafter remained on the rolls of the university as a resident graduate.",Simon Newcomb,graduation
"I could be happy doing something like architecture. It would involve another couple of years of graduate school, but that's what I studied in college. That's what I always wanted to do.",Parker Stevenson,graduation
I was the first boy in the Kennedy family to graduate from college.,Mark Kennedy,graduation
"Everybody wants you to do good things, but in a small town you pretty much graduate and get married. Mostly you marry, have children and go to their football games.",Faith Hill,graduation
The college graduate is presented with a sheepskin to cover his intellectual nakedness.,Robert M. Hutchins,graduation
"When nearly a third of our high school students do not graduate on time with their peers, we have work to do. We must design our middle and high schools so that no student gets lost in the crowd and disconnected from his or her own potential.",Christine Gregoire,graduation
"Yeah, I spent about 20 years in a dorm room. It took me a while to graduate.",Douglas Wilson,graduation
