Great minds discuss ideas average minds discuss events small minds discuss people.,Eleanor Roosevelt,great
Great spirits have always encountered violent opposition from mediocre minds.,Albert Einstein,great
"Some are born great, some achieve greatness, and some have greatness thrust upon them.",William Shakespeare,great
One sees great things from the valley only small things from the peak.,Gilbert K. Chesterton,great
"All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.",Winston Churchill,great
"I am the greatest, I said that even before I knew I was.",Muhammad Ali,great
"I firmly believe that any man's finest hour, the greatest fulfillment of all that he holds dear, is that moment when he has worked his heart out in a good cause and lies exhausted on the field of battle - victorious.",Vince Lombardi,great
"The great question that has never been answered, and which I have not yet been able to answer, despite my thirty years of research into the feminine soul, is 'What does a woman want?'",Sigmund Freud,great
There is no greater agony than bearing an untold story inside you.,Maya Angelou,great
"I may climb perhaps to no great heights, but I will climb alone.",Cyrano de Bergerac,great
"Our greatest glory is not in never failing, but in rising up every time we fail.",Ralph Waldo Emerson,great
One of the greatest diseases is to be nobody to anybody.,Mother Teresa,great
"I long to accomplish a great and noble task, but it is my chief duty to accomplish small tasks as if they were great and noble.",Helen Keller,great
Laws control the lesser man... Right conduct controls the greater one.,Mark Twain,great
"A man is great by deeds, not by birth.",Chanakya,great
Only those who dare to fail greatly can ever achieve greatly.,Robert Kennedy,great
All truly great thoughts are conceived by walking.,Friedrich Nietzsche,great
"After climbing a great hill, one only finds that there are many more hills to climb.",Nelson Mandela,great
Those who dare to fail miserably can achieve greatly.,John F. Kennedy,great
The greatest discovery of all time is that a person can change his future by merely changing his attitude.,Oprah Winfrey,great
The greatest way to live with honor in this world is to be what we pretend to be.,Socrates,great
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,William Arthur Ward,great
"Heights by great men reached and kept were not obtained by sudden flight but, while their companions slept, they were toiling upward in the night.",Henry Wadsworth Longfellow,great
Could a greater miracle take place than for us to look through each other's eyes for an instant?,Henry David Thoreau,great
"Because of a great love, one is courageous.",Lao Tzu,great
"The principles of living greatly include the capacity to face trouble with courage, disappointment with cheerfulness, and trial with humility.",Thomas S. Monson,great
"Great thoughts speak only to the thoughtful mind, but great actions speak to all mankind.",Theodore Roosevelt,great
The greatest good you can do for another is not just to share your riches but to reveal to him his own.,Benjamin Disraeli,great
Never was anything great achieved without danger.,Niccolo Machiavelli,great
"A retentive memory may be a good thing, but the ability to forget is the true token of greatness.",Elbert Hubbard,great
Most great people have attained their greatest success just one step beyond their greatest failure.,Napoleon Hill,great
The greatest wealth is to live content with little.,Plato,great
"And the American people are the greatest people in the world. What makes America the greatest nation in the world is the heart of the American people: hardworking, innovative, risk-taking, God- loving, family-oriented American people.",Mitt Romney,great
"As a child of God, I am greater than anything that can happen to me.",Abdul Kalam,great
A man's worth is no greater than his ambitions.,Marcus Aurelius,great
"Do you wish to be great? Then begin by being. Do you desire to construct a vast and lofty fabric? Think first about the foundations of humility. The higher your structure is to be, the deeper must be its foundation.",Saint Augustine,great
"Great people talk about ideas, average people talk about things, and small people talk about wine.",Fran Lebowitz,great
"Greatness lies, not in being strong, but in the right using of strength and strength is not used rightly when it serves only to carry a man above his fellows for his own solitary glory. He is the greatest whose strength carries up the most hearts by the attraction of his own.",Henry Ward Beecher,great
Great things are done by a series of small things brought together.,Vincent Van Gogh,great
Behind every great fortune lies a great crime.,Honore de Balzac,great
Great talents are the most lovely and often the most dangerous fruits on the tree of humanity. They hang upon the most slender twigs that are easily snapped off.,Carl Jung,great
"Harmony makes small things grow, lack of it makes great things decay.",Sallust,great
Don't be humble... you're not that great.,Golda Meir,great
The greatest happiness is to know the source of unhappiness.,Fyodor Dostoevsky,great
"The greater the obstacle, the more glory in overcoming it.",Moliere,great
"Heaven and hell suppose two distinct species of men, the good and the bad. But the greatest part of mankind float betwixt vice and virtue.",David Hume,great
The greatest mistake we make is living in constant fear that we will make one.,John C. Maxwell,great
Believe deep down in your heart that you're destined to do great things.,Joe Paterno,great
"A mistake made by many people with great convictions is that they will let nothing stand in the way of their views, not even kindness.",Bryant H. McGill,great
"I think what motivates people is not great hate, but great love for other people.",Huey Newton,great
Little minds are tamed and subdued by misfortune but great minds rise above them.,Washington Irving,great
"And what he greatly thought, he nobly dared.",Homer,great
Nothing great in the world has ever been accomplished without passion.,Georg Wilhelm Friedrich Hegel,great
Small opportunities are often the beginning of great enterprises.,Demosthenes,great
A great pleasure in life is doing what people say you cannot do.,Walter Bagehot,great
I have decided to stick with love. Hate is too great a burden to bear.,"Martin Luther King, Jr.",great
Behind every great man is a woman rolling her eyes.,Jim Carrey,great
"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.",Harriet Tubman,great
People who think they know everything are a great annoyance to those of us who do.,Isaac Asimov,great
My great hope is to laugh as much as I cry to get my work done and try to love somebody and have the courage to accept the love in return.,Maya Angelou,great
"I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts.",Abraham Lincoln,great
"Absence diminishes mediocre passions and increases great ones, as the wind extinguishes candles and fans fires.",Francois de La Rochefoucauld,great
The hottest place in Hell is reserved for those who remain neutral in times of great moral conflict.,"Martin Luther King, Jr.",great
All great change in America begins at the dinner table.,Ronald Reagan,great
Most people say that it is the intellect which makes a great scientist. They are wrong: it is character.,Albert Einstein,great
I love being married. It's so great to find that one special person you want to annoy for the rest of your life.,Rita Rudner,great
One of the greatest casualties of the war in Vietnam is the Great Society... shot down on the battlefield of Vietnam.,"Martin Luther King, Jr.",great
It gives me great pleasure indeed to see the stubbornness of an incorrigible nonconformist warmly acclaimed.,Albert Einstein,great
You ask me if I keep a notebook to record my great ideas. I've only ever had one.,Albert Einstein,great
"If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it. And, like any great relationship, it just gets better and better as the years roll on.",Steve Jobs,great
"As your faith is strengthened you will find that there is no longer the need to have a sense of control, that things will flow as they will, and that you will flow with them, to your great delight and benefit.",Emmanuel Teney,great
"It is only the great hearted who can be true friends. The mean and cowardly, Can never know what true friendship means.",Charles Kingsley,great
"My great concern is not whether you have failed, but whether you are content with your failure.",Abraham Lincoln,great
A little thought and a little kindness are often worth more than a great deal of money.,John Ruskin,great
"My mother had a great deal of trouble with me, but I think she enjoyed it.",Mark Twain,great
"God and Nature first made us what we are, and then out of our own created genius we make ourselves what we want to be. Follow always that great law. Let the sky and God be our limit and Eternity our measurement.",Marcus Garvey,great
"That some achieve great success, is proof to all that others can achieve it as well.",Abraham Lincoln,great
"As usual, there is a great woman behind every idiot.",John Lennon,great
Silence is a source of great strength.,Lao Tzu,great
"Every man is said to have his peculiar ambition. Whether it be true or not, I can say for one that I have no other so great as that of being truly esteemed of my fellow men, by rendering myself worthy of their esteem.",Abraham Lincoln,great
Character is higher than intellect. A great soul will be strong to live as well as think.,Ralph Waldo Emerson,great
All great achievements require time.,Maya Angelou,great
"My life has been one great big joke, a dance that's walked a song that's spoke, I laugh so hard I almost choke when I think about myself.",Maya Angelou,great
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",Steve Jobs,great
"The assertion that 'all men are created equal' was of no practical use in effecting our separation from Great Britain and it was placed in the Declaration not for that, but for future use.",Abraham Lincoln,great
"In great contests each party claims to act in accordance with the will of God. Both may be, and one must be wrong.",Abraham Lincoln,great
"God, our Creator, has stored within our minds and personalities, great potential strength and ability. Prayer helps us tap and develop these powers.",Abdul Kalam,great
"It is rather for us here dedicated to the great task remaining before us, that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion.",Abraham Lincoln,great
"Great achievement is usually born of great sacrifice, and is never the result of selfishness.",Napoleon Hill,great
I am prepared to meet my Maker. Whether my Maker is prepared for the great ordeal of meeting me is another matter.,Winston Churchill,great
"He who learns but does not think, is lost! He who thinks but does not learn is in great danger.",Confucius,great
"I am an old man and have known a great many troubles, but most of them never happened.",Mark Twain,great
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu,great
"Suffering becomes beautiful when anyone bears great calamities with cheerfulness, not through insensibility but through greatness of mind.",Aristotle,great
My books are like water those of the great geniuses are wine. (Fortunately) everybody drinks water.,Mark Twain,great
"No great artist ever sees things as they really are. If he did, he would cease to be an artist.",Oscar Wilde,great
"Action is a great restorer and builder of confidence. Inaction is not only the result, but the cause, of fear. Perhaps the action you take will be successful perhaps different action or adjustments will have to follow. But any action is better than no action at all.",Norman Vincent Peale,great
"Until the great mass of the people shall be filled with the sense of responsibility for each other's welfare, social justice can never be attained.",Helen Keller,great
"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive.",Lee Iacocca,great
"A little sincerity is a dangerous thing, and a great deal of it is absolutely fatal.",Oscar Wilde,great
These are not dark days: these are great days - the greatest days our country has ever lived.,Winston Churchill,great
No crime is so great as daring to excel.,Winston Churchill,great
"It is for us to pray not for tasks equal to our powers, but for powers equal to our tasks, to go forward with a great desire forever beating at the door of our hearts as we travel toward our distant goal.",Helen Keller,great
Great and good are seldom the same man.,Winston Churchill,great
The great defense against the air menace is to attack the enemy's aircraft as near as possible to their point of departure.,Winston Churchill,great
Man becomes great exactly in the degree in which he works for the welfare of his fellow-men.,Mahatma Gandhi,great
Life is either a great adventure or nothing.,Helen Keller,great
"Anyone who knows anything of history knows that great social changes are impossible without feminine upheaval. Social progress can be measured exactly by the social position of the fair sex, the ugly ones included.",Karl Marx,great
I have come to believe that a great teacher is a great artist and that there are as few as there are any other great artists. Teaching might even be the greatest of the arts since the medium is the human mind and spirit.,John Steinbeck,great
"The essence of all beautiful art, all great art, is gratitude.",Friedrich Nietzsche,great
I always seem to get inspiration and renewed vitality by contact with this great novel land of yours which sticks up out of the Atlantic.,Winston Churchill,great
"Instead of comparing our lot with that of those who are more fortunate than we are, we should compare it with the lot of the great majority of our fellow men. It then appears that we are among the privileged.",Helen Keller,great
"To accomplish great things, we must not only act, but also dream not only plan, but also believe.",Anatole France,great
"I look forward to a great future for America - a future in which our country will match its military strength with our moral restraint, its wealth with our wisdom, its power with our purpose.",John F. Kennedy,great
"Fishes live in the sea, as men do a-land the great ones eat up the little ones.",William Shakespeare,great
How incessant and great are the ills with which a prolonged old age is replete.,C. S. Lewis,great
"The great enemy of the truth is very often not the lie, deliberate, contrived and dishonest, but the myth, persistent, persuasive and unrealistic.",John F. Kennedy,great
"The Creator has not thought proper to mark those in the forehead who are of stuff to make good generals. We are first, therefore, to seek them blindfold, and then let them learn the trade at the expense of great losses.",Thomas Jefferson,great
When we are born we cry that we are come to this great stage of fools.,William Shakespeare,great
A great man is always willing to be little.,Ralph Waldo Emerson,great
Don't be afraid to give up the good to go for the great.,John D. Rockefeller,great
Trust men and they will be true to you treat them greatly and they will show themselves great.,Ralph Waldo Emerson,great
Half a truth is often a great lie.,Benjamin Franklin,great
"Faith, there hath been many great men that have flattered the people who ne'er loved them.",William Shakespeare,great
To do a great right do a little wrong.,William Shakespeare,great
The world is the great gymnasium where we come to make ourselves strong.,Swami Vivekananda,great
"I am concerned for the security of our great Nation not so much because of any threat from without, but because of the insidious forces working from within.",Douglas MacArthur,great
"The great danger for family life, in the midst of any society whose idols are pleasure, comfort and independence, lies in the fact that people close their hearts and become selfish.",Pope John Paul II,great
"Too often the great decisions are originated and given form in bodies made up wholly of men, or so completely dominated by them that whatever of special value women have to offer is shunted aside without expression.",Eleanor Roosevelt,great
Great ambition is the passion of a great character. Those endowed with it may perform very good or very bad acts. All depends on the principles which direct them.,Napoleon Bonaparte,great
"Just as a man would not cherish living in a body other than his own, so do nations not like to live under other nations, however noble and great the latter may be.",Mahatma Gandhi,great
I like to listen. I have learned a great deal from listening carefully. Most people never listen.,Ernest Hemingway,great
There have been many great men that have flattered the people who ne'er loved them.,William Shakespeare,great
I believe in the fundamental truth of all great religions of the world.,Mahatma Gandhi,great
"It's hard to be humble, when you're as great as I am.",Muhammad Ali,great
"Presents don't really mean much to me. I don't want to sound mawkish, but - it was the realization that I have a great many people in my life who really love me, and who I really love.",Gabriel Byrne,great
Only he can take great resolves who has indomitable faith in God and has fear of God.,Mahatma Gandhi,great
I'd rather attempt to do something great and fail than to attempt to do nothing and succeed.,Robert H. Schuller,great
Take time for all things: great haste makes great waste.,Benjamin Franklin,great
"Material possessions, winning scores, and great reputations are meaningless in the eyes of the Lord, because He knows what we really are and that is all that matters.",John Wooden,great
"The moment you think you understand a great work of art, it's dead for you.",Oscar Wilde,great
"Now that the House of Commons is trying to become useful, it does a great deal of harm.",Oscar Wilde,great
"There are no great limits to growth because there are no limits of human intelligence, imagination, and wonder.",Ronald Reagan,great
The salesman knows nothing of what he is selling save that he is charging a great deal too much for it.,Oscar Wilde,great
A great part of courage is the courage of having done the thing before.,Ralph Waldo Emerson,great
"Death comes to all, but great achievements build a monument which shall endure until the sun grows cold.",Ralph Waldo Emerson,great
"Enthusiasm is the mother of effort, and without it nothing great was ever achieved.",Ralph Waldo Emerson,great
Great men are they who see that spiritual is stronger than any material force - that thoughts rule the world.,Ralph Waldo Emerson,great
"A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.",Albert Camus,great
"I call upon the scientific community in our country, those who gave us nuclear weapons, to turn their great talents now to the cause of mankind and world peace: to give us the means of rendering these nuclear weapons impotent and obsolete.",Ronald Reagan,great
Beware of little expenses. A small leak will sink a great ship.,Benjamin Franklin,great
I conceive that the great part of the miseries of mankind are brought upon them by false estimates they have made of the value of things.,Benjamin Franklin,great
"A great empire, like a great cake, is most easily diminished at the edges.",Benjamin Franklin,great
"I'm a great believer that any tool that enhances communication has profound effects in terms of how people can learn from each other, and how they can achieve the kind of freedoms that they're interested in.",Bill Gates,great
"The wise man does not expose himself needlessly to danger, since there are few things for which he cares sufficiently but he is willing, in great crises, to give even his life - knowing that under certain conditions it is not worthwhile to live.",Aristotle,great
There never was a truly great man that was not at the same time truly virtuous.,Benjamin Franklin,great
To be great is to be misunderstood.,Ralph Waldo Emerson,great
I have great faith in fools self-confidence my friends call it.,Edgar Allan Poe,great
It is a grand mistake to think of being great without goodness and I pronounce it as certain that there was never a truly great man that was not at the same time truly virtuous.,Benjamin Franklin,great
Human felicity is produced not as much by great pieces of good fortune that seldom happen as by little advantages that occur every day.,Benjamin Franklin,great
"On the recollection of so many and great favours and blessings, I now, with a high sense of gratitude, presume to offer up my sincere thanks to the Almighty, the Creator and Preserver.",William Bartram,great
Unconditional war can no longer lead to unconditional victory. It can no longer serve to settle disputes... can no longer be of concern to great powers alone.,John F. Kennedy,great
Governing a great nation is like cooking a small fish - too much handling will spoil it.,Lao Tzu,great
"We consider Christmas as the encounter, the great encounter, the historical encounter, the decisive encounter, between God and mankind. He who has faith knows this truly let him rejoice.",Pope Paul VI,great
Nothing great was ever achieved without enthusiasm.,Ralph Waldo Emerson,great
There are many people in the world who really don't understand-or say they don't-what is the great issue between the free world and the Communist world. Let them come to Berlin!,John F. Kennedy,great
"Have courage for the great sorrows of life and patience for the small ones and when you have laboriously accomplished your daily task, go to sleep in peace.",Victor Hugo,great
"Pain and foolishness lead to great bliss and complete knowledge, for Eternal Wisdom created nothing under the sun in vain.",Khalil Gibran,great
There is no great genius without a mixture of madness.,Aristotle,great
Before we acquire great power we must acquire wisdom to use it well.,Ralph Waldo Emerson,great
"All difficult things have their origin in that which is easy, and great things in that which is small.",Lao Tzu,great
"God will not permit any troubles to come upon us, unless He has a specific plan by which great blessing can come out of the difficulty.",Peter Marshall,great
"People with great gifts are easy to find, but symmetrical and balanced ones never.",Ralph Waldo Emerson,great
Surrealism had a great effect on me because then I realised that the imagery in my mind wasn't insanity. Surrealism to me is reality.,John Lennon,great
Rice is great if you're really hungry and want to eat two thousand of something.,Mitch Hedberg,great
Great hearts steadily send forth the secret forces that incessantly draw great events.,Ralph Waldo Emerson,great
"A lot of companies have chosen to downsize, and maybe that was the right thing for them. We chose a different path. Our belief was that if we kept putting great products in front of customers, they would continue to open their wallets.",Steve Jobs,great
A great city is not to be confounded with a populous one.,Aristotle,great
Great acts are made up of small deeds.,Lao Tzu,great
"Marriage is a great institution, but I'm not ready for an institution.",Mae West,great
A subject for a great poet would be God's boredom after the seventh day of creation.,Friedrich Nietzsche,great
No great man ever complains of want of opportunity.,Ralph Waldo Emerson,great
Great geniuses have the shortest biographies.,Ralph Waldo Emerson,great
"The search after the great men is the dream of youth, and the most serious occupation of manhood.",Ralph Waldo Emerson,great
"Great men or men of great gifts you shall easily find, but symmetrical men never.",Ralph Waldo Emerson,great
"The wicked leader is he who the people despise. The good leader is he who the people revere. The great leader is he who the people say, 'We did it ourselves.'",Lao Tzu,great
A healthful hunger for a great idea is the beauty and blessedness of life.,Jean Ingelow,great
A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.,Wayne Gretzky,great
Govern a great nation as you would cook a small fish. Do not overdo it.,Lao Tzu,great
"The first test of a truly great man is his humility. By humility I don't mean doubt of his powers or hesitation in speaking his opinion, but merely an understanding of the relationship of what he can say and what he can do.",John Ruskin,great
"We are persuaded that good Christians will always be good citizens, and that where righteousness prevails among individuals the Nation will be great and happy. Thus while just government protects all in their religious rights, true religion affords to government it's surest support.",George Washington,great
If the Great Way perishes there will morality and duty. When cleverness and knowledge arise great lies will flourish. When relatives fall out with one another there will be filial duty and love. When states are in confusion there will be faithful servants.,Lao Tzu,great
"Two great European narcotics, alcohol and Christianity.",Friedrich Nietzsche,great
"For a competitive junkie like me, golf is a great solution because it smacks you in the face every time you think you have accomplished something. That to me has taken over a lot of the energy and competitiveness for basketball.",Michael Jordan,great
"Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven.",Lao Tzu,great
A great value of antiquity lies in the fact that its writings are the only ones that modern men still read with exactness.,Friedrich Nietzsche,great
"I dream of the realization of the unity of Africa, whereby its leaders combine in their efforts to solve the problems of this continent. I dream of our vast deserts, of our forests, of all our great wildernesses.",Nelson Mandela,great
