"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius,history
"The dogmas of the quiet past are inadequate to the stormy present. The occasion is piled high with difficulty, and we must rise with the occasion. As our case is new, so we must think anew and act anew.",Abraham Lincoln,history
A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.,Mahatma Gandhi,history
The test of our progress is not whether we add more to the abundance of those who have much it is whether we provide enough for those who have little.,Franklin D. Roosevelt,history
I like the dreams of the future better than the history of the past.,Thomas Jefferson,history
The very ink with which history is written is merely fluid prejudice.,Mark Twain,history
History will be kind to me for I intend to write it.,Winston Churchill,history
"Study history, study history. In history lies all the secrets of statecraft.",Winston Churchill,history
"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality.",Desmond Tutu,history
"To wear your heart on your sleeve isn't a very good plan you should wear it inside, where it functions best.",Margaret Thatcher,history
"History is a relentless master. It has no present, only the past rushing into the future. To try to hold fast is to be swept aside.",John F. Kennedy,history
"If we cannot now end our differences, at least we can help make the world safe for diversity.",John F. Kennedy,history
"We would like to live as we once lived, but history will not permit it.",John F. Kennedy,history
Democratic nations must try to find ways to starve the terrorist and the hijacker of the oxygen of publicity on which they depend.,Margaret Thatcher,history
Observe good faith and justice toward all nations. Cultivate peace and harmony with all.,George Washington,history
Those who do not remember the past are condemned to repeat it.,George Santayana,history
"France, and the whole of Europe have a great culture and an amazing history. Most important thing though is that people there know how to live! In America they've forgotten all about it. I'm afraid that the American culture is a disaster.",Johnny Depp,history
"This is one small step for a man, one giant leap for mankind.",Neil Armstrong,history
"The world we see that seems so insane is the result of a belief system that is not working. To perceive the world differently, we must be willing to change our belief system, let the past slip away, expand our sense of now, and dissolve the fear in our minds.",William James,history
"I came, I saw, I conquered.",Julius Caesar,history
A world without nuclear weapons would be less stable and more dangerous for all of us.,Margaret Thatcher,history
Those who don't know history are destined to repeat it.,Edmund Burke,history
"When you do the common things in life in an uncommon way, you will command the attention of the world.",George Washington Carver,history
"A pint of sweat, saves a gallon of blood.",George S. Patton,history
Americans love to fight. All real Americans love the sting of battle.,George S. Patton,history
History is more or less bunk.,Henry Ford,history
That men do not learn very much from the lessons of history is the most important of all the lessons of history.,Aldous Huxley,history
The whole course of human history may depend on a change of heart in one solitary and even humble individual - for it is in the solitary mind and soul of the individual that the battle between good and evil is waged and ultimately won or lost.,M. Scott Peck,history
"History is an account, mostly false, of events, mostly unimportant, which are brought about by rulers, mostly knaves, and soldiers, mostly fools.",Ambrose Bierce,history
Posterity: you will never know how much it has cost my generation to preserve your freedom. I hope you will make good use of it.,John Quincy Adams,history
History is the version of past events that people have decided to agree upon.,Napoleon Bonaparte,history
Historian: an unsuccessful novelist.,H. L. Mencken,history
"If one morning I walked on top of the water across the Potomac River, the headline that afternoon would read: 'President Can't Swim.'",Lyndon B. Johnson,history
Legend: A lie that has attained the dignity of age.,H. L. Mencken,history
History is a gallery of pictures in which there are few originals and many copies.,Alexis de Tocqueville,history
What is history but a fable agreed upon?,Napoleon Bonaparte,history
"Glory is fleeting, but obscurity is forever.",Napoleon Bonaparte,history
The Marine Corps is the Navy's police force and as long as I am President that is what it will remain. They have a propaganda machine that is almost equal to Stalin's.,Harry S. Truman,history
Hubert Humphrey talks so fast that listening to him is like trying to read Playboy magazine with your wife turning the pages.,Barry Goldwater,history
"The chief condition on which, life, health and vigor depend on, is action. It is by action that an organism develops its faculties, increases its energy, and attains the fulfillment of its destiny.",Colin Powell,history
Beware of endeavoring to become a great man in a hurry. One such attempt in ten thousand may succeed. These are fearful odds.,Benjamin Disraeli,history
Being president is like being a jackass in a hailstorm. There's nothing to do but to stand there and take it.,Lyndon B. Johnson,history
"We used to root for the Indians against the cavalry, because we didn't think it was fair in the history books that when the cavalry won it was a great victory, and when the Indians won it was a massacre.",Dick Gregory,history
The most terrible job in warfare is to be a second lieutenant leading a platoon when you are on the battlefield.,Dwight D. Eisenhower,history
We cannot defend freedom abroad by deserting it at home.,Edward R. Murrow,history
90 percent of my time is spent on 10 percent of the world.,Colin Powell,history
I have noticed that nothing I never said ever did me any harm.,Calvin Coolidge,history
"God cannot alter the past, though historians can.",Samuel Butler,history
Why should we honour those that die upon the field of battle? A man may show as reckless a courage in entering into the abyss of himself.,William Butler Yeats,history
"They died hard, those savage men - like wounded wolves at bay. They were filthy, and they were lousy, and they stunk. And I loved them.",Douglas MacArthur,history
People are trapped in history and history is trapped in them.,James A. Baldwin,history
History is a pack of lies about events that never happened told by people who weren't there.,George Santayana,history
"The greater the difficulty, the more the glory in surmounting it.",Epicurus,history
In the long term we can hope that religion will change the nature of man and reduce conflict. But history is not encouraging in this respect. The bloodiest wars in history have been religious wars.,Richard M. Nixon,history
"Pearl Harbor caused our Nation to wholeheartedly commit to winning World War II, changing the course of our Nation's history and the world's future.",Joe Baca,history
History never looks like history when you are living through it.,John W. Gardner,history
Human history becomes more and more a race between education and catastrophe.,H. G. Wells,history
It was a Greek tragedy. Nixon was fulfilling his own nature. Once it started it could not end otherwise.,Henry A. Kissinger,history
The deliberate and deadly attacks which were carried out yesterday against our country were more than acts of terror. They were acts of war.,George W. Bush,history
"It is necessary for me to establish a winner image. Therefore, I have to beat somebody.",Richard M. Nixon,history
I can see clearly now... that I was wrong in not acting more decisively and more forthrightly in dealing with Watergate.,Richard M. Nixon,history
People that are really very weird can get into sensitive positions and have a tremendous impact on history.,Dan Quayle,history
"Could I have but a line a century hence crediting a contribution to the advance of peace, I would yield every honor which has been accorded by war.",Douglas MacArthur,history
History is a cyclic poem written by time upon the memories of man.,Percy Bysshe Shelley,history
What is sad for women of my generation is that they weren't supposed to work if they had families. What were they going to do when the children are grown - watch the raindrops coming down the window pane?,Jackie Kennedy,history
"Following the light of the sun, we left the Old World.",Christopher Columbus,history
Be as a tower firmly set Shakes not its top for any blast that blows.,Dante Alighieri,history
It is impossible to predict the time and progress of revolution. It is governed by its own more or less mysterious laws.,Vladimir Lenin,history
The man who is swimming against the stream knows the strength of it.,Woodrow Wilson,history
History is a vast early warning system.,Norman Cousins,history
"You must pursue this investigation of Watergate even if it leads to the president. I'm innocent. You've got to believe I'm innocent. If you don't, take my job.",Richard M. Nixon,history
The Russians feared Ike. They didn't fear me.,Lyndon B. Johnson,history
Seek freedom and become captive of your desires. Seek discipline and find your liberty.,Frank Herbert,history
"Civilization is a movement and not a condition, a voyage and not a harbor.",Arnold J. Toynbee,history
It takes an endless amount of history to make even a little tradition.,Henry James,history
Difficulty is the excuse history never accepts.,Edward R. Murrow,history
Fear of serious injury alone cannot justify oppression of free speech and assembly. Men feared witches and burnt women. It is the function of speech to free men from the bondage of irrational fears.,Louis D. Brandeis,history
"Chaos often breeds life, when order breeds habit.",Henry Adams,history
A truly American sentiment recognizes the dignity of labor and the fact that honor lies in honest toil.,Grover Cleveland,history
