A joke is a very serious thing.,Winston Churchill,humor
Humor is mankind's greatest blessing.,Mark Twain,humor
"Common sense and a sense of humor are the same thing, moving at different speeds. A sense of humor is just common sense, dancing.",William James,humor
"If I had no sense of humor, I would long ago have committed suicide.",Mahatma Gandhi,humor
A person without a sense of humor is like a wagon without springs. It's jolted by every pebble on the road.,Henry Ward Beecher,humor
Everything human is pathetic. The secret source of humor itself is not joy but sorrow. There is no humor in heaven.,Mark Twain,humor
A sense of humor... is needed armor. Joy in one's heart and some laughter on one's lips is a sign that the person down deep has a pretty good grasp of life.,Hugh Sidey,humor
The secret source of humor is not joy but sorrow there is no humor in Heaven.,Mark Twain,humor
"You can turn painful situations around through laughter. If you can find humor in anything, even poverty, you can survive it.",Bill Cosby,humor
Imagination was given to man to compensate him for what he is not a sense of humor to console him for what he is.,Francis Bacon,humor
Everywhere is within walking distance if you have the time.,Steven Wright,humor
Start every day off with a smile and get it over with.,W. C. Fields,humor
The secret to humor is surprise.,Aristotle,humor
There is hope for the future because God has a sense of humor and we are funny to God.,Bill Cosby,humor
"When humor goes, there goes civilization.",Erma Bombeck,humor
Alimony is like buying hay for a dead horse.,Groucho Marx,humor
A well-developed sense of humor is the pole that adds balance to your steps as you walk the tightrope of life.,William Arthur Ward,humor
"My computer beat me at checkers, but I sure beat it at kickboxing.",Emo Philips,humor
A sense of humor is a major defense against minor troubles.,Mignon McLaughlin,humor
Humor is reason gone mad.,Groucho Marx,humor
"Like a welcome summer rain, humor may suddenly cleanse and cool the earth, the air and you.",Langston Hughes,humor
"Humor is perhaps a sense of intellectual perspective: an awareness that some things are really important, others not and that the two kinds are most oddly jumbled in everyday affairs.",Christopher Morley,humor
Comedy is simply a funny way of being serious.,Peter Ustinov,humor
"A taste for irony has kept more hearts from breaking than a sense of humor, for it takes irony to appreciate the joke which is on oneself.",Jessamyn West,humor
Humor is laughing at what you haven't got when you ought to have it.,Langston Hughes,humor
Humor is emotional chaos remembered in tranquility.,James Thurber,humor
Wit - the salt with which the American humorist spoils his intellectual cookery by leaving it out.,Ambrose Bierce,humor
Analyzing humor is like dissecting a frog. Few people are interested and the frog dies of it.,E. B. White,humor
Humor brings insight and tolerance. Irony brings a deeper and less friendly understanding.,Agnes Repplier,humor
Humor is just another defense against the universe.,Mel Brooks,humor
Wit is the lowest form of humor.,Alexander Pope,humor
"Humor is richly rewarding to the person who employs it. It has some value in gaining and holding attention, but it has no persuasive value at all.",John Kenneth Galbraith,humor
Humor is one of the best ingredients of survival.,Aung San Suu Kyi,humor
"A humorist is a person who feels bad, but who feels good about it.",Don Herold,humor
A sense of humor is the ability to understand a joke - and that the joke is oneself.,Clifton Paul Fadiman,humor
"A pun is the lowest form of humor, unless you thought of it yourself.",Doug Larson,humor
"Humor is something that thrives between man's aspirations and his limitations. There is more logic in humor than in anything else. Because, you see, humor is truth.",Victor Borge,humor
"If you could choose one characteristic that would get you through life, choose a sense of humor.",Jennifer Jones,humor
"A laugh is a surprise. And all humor is physical. I was always athletic, so that came naturally to me.",Chevy Chase,humor
Humour is the weapon of unarmed people: it helps people who are oppressed to smile at the situation that pains them.,Simon Wiesenthal,humor
"Humor is a serious thing. I like to think of it as one of our greatest earliest natural resources, which must be preserved at all cost.",James Thurber,humor
