"Life is one big road with lots of signs. So when you riding through the ruts, don't complicate your mind. Flee from hate, mischief and jealousy. Don't bury your thoughts, put your vision to reality. Wake Up and Live!",Bob Marley,jealousy
A competent and self-confident person is incapable of jealousy in anything. Jealousy is invariably a symptom of neurotic insecurity.,Robert A. Heinlein,jealousy
"I think it's important to get your surroundings as well as yourself into a positive state - meaning surround yourself with positive people, not the kind who are negative and jealous of everything you do.",Heidi Klum,jealousy
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",Aristotle,jealousy
"Those who enjoy their own emotionally bad health and who habitually fill their own minds with the rank poisons of suspicion, jealousy and hatred, as a rule take umbrage at those who refuse to do likewise, and they find a perverted relief in trying to denigrate them.",Johannes Brahms,jealousy
It will be found an unjust and unwise jealousy to deprive a man of his natural liberty upon the supposition he may abuse it.,George Washington,jealousy
"A negative judgment gives you more satisfaction than praise, provided it smacks of jealousy.",Jean Baudrillard,jealousy
"The jealous are troublesome to others, but a torment to themselves.",William Penn,jealousy
"Don't waste time on jealousy. Sometimes you're ahead, sometimes you're behind.",Mary Schmich,jealousy
"Guard with jealous attention the public liberty. Suspect everyone who approaches that jewel. Unfortunately, nothing will preserve it but downright force. Whenever you give up that force, you are inevitably ruined.",Patrick Henry,jealousy
"People are taken aback by a confident, pretty girl who knows what she wants in life and isn't going to let anyone get in her way. And you know what it's all about? Jealousy.",Summer Altice,jealousy
Jealousy contains more of self-love than of love.,Francois de La Rochefoucauld,jealousy
"To jealousy, nothing is more frightful than laughter.",Francoise Sagan,jealousy
Never underestimate the power of jealousy and the power of envy to destroy. Never underestimate that.,Oliver Stone,jealousy
"Jealousy is, I think, the worst of all faults because it makes a victim of both parties.",Gene Tierney,jealousy
My wife's jealousy is getting ridiculous. The other day she looked at my calendar and wanted to know who May was.,Rodney Dangerfield,jealousy
Jealousy... is a mental cancer.,B. C. Forbes,jealousy
He that is jealous is not in love.,Saint Augustine,jealousy
"It is not love that is blind, but jealousy.",Lawrence Durrell,jealousy
Jealousy is all the fun you think they had.,Erica Jong,jealousy
Jealousy is the tribute mediocrity pays to genius.,Fulton J. Sheen,jealousy
Jealousy is no more than feeling alone against smiling enemies.,Elizabeth Bowen,jealousy
"That's the way I got along in life. I don't ever remember being particularly jealous of anybody, because I figured if I can't do it myself, I don't deserve to get it.",Clyde Tombaugh,jealousy
"Jealous, adj. Unduly concerned about the preservation of that which can be lost only if not worth keeping.",Ambrose Bierce,jealousy
Jealousy is a dog's bark which attracts thieves.,Karl Kraus,jealousy
You can be the moon and still be jealous of the stars.,Gary Allan,jealousy
Jealousy is never satisfied with anything short of an omniscience that would detect the subtlest fold of the heart.,George Eliot,jealousy
The jealous are possessed by a mad devil and a dull spirit at the same time.,Johann Kaspar Lavater,jealousy
