"If you think you can do a thing or think you can't do a thing, you're right.",Henry Ford,leadership
A genuine leader is not a searcher for consensus but a molder of consensus.,"Martin Luther King, Jr.",leadership
"It is better to lead from behind and to put others in front, especially when you celebrate victory when nice things occur. You take the front line when there is danger. Then people will appreciate your leadership.",Nelson Mandela,leadership
"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.",Lao Tzu,leadership
Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,Colin Powell,leadership
Effective leadership is not about making speeches or being liked leadership is defined by results not attributes.,Peter Drucker,leadership
I suppose leadership at one time meant muscles but today it means getting along with people.,Mahatma Gandhi,leadership
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.,Steve Jobs,leadership
Be careful the environment you choose for it will shape you be careful the friends you choose for you will become like them.,W. Clement Stone,leadership
"Don't find fault, find a remedy.",Henry Ford,leadership
Innovation distinguishes between a leader and a follower.,Steve Jobs,leadership
"When the best leader's work is done the people say, 'We did it ourselves.'",Lao Tzu,leadership
Management is doing things right leadership is doing the right things.,Peter Drucker,leadership
Don't be afraid to give up the good to go for the great.,John D. Rockefeller,leadership
A man who wants to lead the orchestra must turn his back on the crowd.,Max Lucado,leadership
Leadership is the art of getting someone else to do something you want done because he wants to do it.,Dwight D. Eisenhower,leadership
"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.",John Quincy Adams,leadership
Hold yourself responsible for a higher standard than anybody expects of you. Never excuse yourself.,Henry Ward Beecher,leadership
Affirmation without discipline is the beginning of delusion.,Jim Rohn,leadership
"Leadership - leadership is about taking responsibility, not making excuses.",Mitt Romney,leadership
A man always has two reasons for doing anything: a good reason and the real reason.,J. P. Morgan,leadership
The cautious seldom err.,Confucius,leadership
"Effective leadership is putting first things first. Effective management is discipline, carrying it out.",Stephen Covey,leadership
"A leader is one who knows the way, goes the way, and shows the way.",John C. Maxwell,leadership
"People ask the difference between a leader and a boss. The leader leads, and the boss drives.",Theodore Roosevelt,leadership
Give whatever you are doing and whoever you are with the gift of your attention.,Jim Rohn,leadership
A leader is a dealer in hope.,Napoleon Bonaparte,leadership
People who enjoy meetings should not be in charge of anything.,Thomas Sowell,leadership
Good leadership consists of showing average people how to do the work of superior people.,John D. Rockefeller,leadership
"He who is prudent and lies in wait for an enemy who is not, will be victorious.",Sun Tzu,leadership
Leadership cannot really be taught. It can only be learned.,Harold S. Geneen,leadership
"If you want a quality, act as if you already had it.",William James,leadership
"Enlightened leadership is spiritual if we understand spirituality not as some kind of religious dogma or ideology but as the domain of awareness where we experience values like truth, goodness, beauty, love and compassion, and also intuition, creativity, insight and focused attention.",Deepak Chopra,leadership
"A good leader takes a little more than his share of the blame, a little less than his share of the credit.",Arnold H. Glasow,leadership
"Leaders must be close enough to relate to others, but far enough ahead to motivate them.",John C. Maxwell,leadership
No man will make a great leader who wants to do it all himself or get all the credit for doing it.,Andrew Carnegie,leadership
Leadership is practiced not so much in words as in attitude and in actions.,Harold S. Geneen,leadership
Good management is the art of making problems so interesting and their solutions so constructive that everyone wants to get to work and deal with them.,Paul Hawken,leadership
To succeed in business it is necessary to make others see things as you see them.,Aristotle Onassis,leadership
"You have to think anyway, so why not think big?",Donald Trump,leadership
"Outstanding leaders go out of their way to boost the self-esteem of their personnel. If people believe in themselves, it's amazing what they can accomplish.",Sam Walton,leadership
Example is leadership.,Albert Schweitzer,leadership
The task of the leader is to get his people from where they are to where they have not been.,Henry A. Kissinger,leadership
People who don't take risks generally make about two big mistakes a year. People who do take risks generally make about two big mistakes a year.,Peter Drucker,leadership
"If you care enough for a result, you will most certainly attain it.",William James,leadership
"If you command wisely, you'll be obeyed cheerfully.",Thomas Fuller,leadership
High expectations are the key to everything.,Sam Walton,leadership
"If a window of opportunity appears, don't pull down the shade.",Tom Peters,leadership
Leadership is unlocking people's potential to become better.,Bill Bradley,leadership
"Every act of conscious learning requires the willingness to suffer an injury to one's self-esteem. That is why young children, before they are aware of their own self-importance, learn so easily.",Thomas Szasz,leadership
Leadership is influence.,John C. Maxwell,leadership
"Leadership is diving for a loose ball, getting the crowd involved, getting other players involved. It's being able to take it as well as dish it out. That's the only way you're going to get respect from the players.",Larry Bird,leadership
No matter how carefully you plan your goals they will never be more than pipe dreams unless you pursue them with gusto.,W. Clement Stone,leadership
How we think shows through in how we act. Attitudes are mirrors of the mind. They reflect thinking.,David Joseph Schwartz,leadership
"Go as far as you can see when you get there, you'll be able to see farther.",J. P. Morgan,leadership
A leader does not deserve the name unless he is willing occasionally to stand alone.,Henry A. Kissinger,leadership
Leadership is the capacity to translate vision into reality.,Warren G. Bennis,leadership
"The art of leadership is saying no, not saying yes. It is very easy to say yes.",Tony Blair,leadership
Making good decisions is a crucial skill at every level.,Peter Drucker,leadership
People buy into the leader before they buy into the vision.,John C. Maxwell,leadership
The real leader has no need to lead - he is content to point the way.,Henry Miller,leadership
"Without initiative, leaders are simply workers in leadership positions.",Bo Bennett,leadership
There are three secrets to managing. The first secret is have patience. The second is be patient. And the third most important secret is patience.,Chuck Tanner,leadership
No person will make a great business who wants to do it all himself or get all the credit.,Andrew Carnegie,leadership
"Luck is a dividend of sweat. The more you sweat, the luckier you get.",Ray Kroc,leadership
