"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou,learning
Education is what remains after one has forgotten what one has learned in school.,Albert Einstein,learning
We must learn to live together as brothers or perish together as fools.,"Martin Luther King, Jr.",learning
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,learning
"Learn to enjoy every minute of your life. Be happy now. Don't wait for something outside of yourself to make you happy in the future. Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.",Earl Nightingale,learning
"If we knew what it was we were doing, it would not be called research, would it?",Albert Einstein,learning
A wise man can learn more from a foolish question than a fool can learn from a wise answer.,Bruce Lee,learning
I've learned that you shouldn't go through life with a catcher's mitt on both hands you need to be able to throw something back.,Maya Angelou,learning
Tell me and I forget. Teach me and I remember. Involve me and I learn.,Benjamin Franklin,learning
"I learned long ago, never to wrestle with a pig. You get dirty, and besides, the pig likes it.",George Bernard Shaw,learning
"The secret of success is learning how to use pain and pleasure instead of having pain and pleasure use you. If you do that, you're in control of your life. If you don't, life controls you.",Tony Robbins,learning
Every immigrant who comes here should be required within five years to learn English or leave the country.,Theodore Roosevelt,learning
"He who learns but does not think, is lost! He who thinks but does not learn is in great danger.",Confucius,learning
I am always ready to learn although I do not always like being taught.,Winston Churchill,learning
"There is no end to education. It is not that you read a book, pass an examination, and finish with education. The whole of life, from the moment you are born to the moment you die, is a process of learning.",Jiddu Krishnamurti,learning
He who would learn to fly one day must first learn to stand and walk and run and climb and dance one cannot fly into flying.,Friedrich Nietzsche,learning
"Without pain, there would be no suffering, without suffering we would never learn from our mistakes. To make it right, pain and suffering is the key to all windows, without it, there is no way of life.",Angelina Jolie,learning
Leadership and learning are indispensable to each other.,John F. Kennedy,learning
"Life is a series of experiences, each one of which makes us bigger, even though sometimes it is hard to realize this. For the world was built to develop character, and we must learn that the setbacks and grieves which we endure help us in our marching onward.",Henry Ford,learning
One of the things I learned the hard way was that it doesn't pay to get discouraged. Keeping busy and making optimism a way of life can restore your faith in yourself.,Lucille Ball,learning
"Being ignorant is not so much a shame, as being unwilling to learn.",Benjamin Franklin,learning
"Learn to get in touch with the silence within yourself, and know that everything in life has purpose. There are no mistakes, no coincidences, all events are blessings given to us to learn from.",Elisabeth Kubler-Ross,learning
"If history repeats itself, and the unexpected always happens, how incapable must Man be of learning from experience.",George Bernard Shaw,learning
To know oneself is to study oneself in action with another person.,Bruce Lee,learning
Try to learn something about everything and everything about something.,Thomas Huxley,learning
I like to listen. I have learned a great deal from listening carefully. Most people never listen.,Ernest Hemingway,learning
Flying is learning how to throw yourself at the ground and miss.,Douglas Adams,learning
"The person you consider ignorant and insignificant is the one who came from God, that he might learn bliss from grief and knowledge from gloom.",Khalil Gibran,learning
