"I busted a mirror and got seven years bad luck, but my lawyer thinks he can get me five.",Steven Wright,legal
Collecting more taxes than is absolutely necessary is legalized robbery.,Calvin Coolidge,legal
A successful lawsuit is the one worn by a policeman.,Robert Frost,legal
Make crime pay. Become a lawyer.,Will Rogers,legal
Justice in the life and conduct of the State is possible only as first it resides in the hearts and souls of the citizens.,Plato,legal
"People are getting smarter nowadays they are letting lawyers, instead of their conscience, be their guide.",Will Rogers,legal
Compromise is the best and cheapest lawyer.,Robert Louis Stevenson,legal
"The more laws, the less justice.",Marcus Tullius Cicero,legal
Laws are spider webs through which the big flies pass and the little ones get caught.,Honore de Balzac,legal
Lawsuit: A machine which you go into as a pig and come out of as a sausage.,Ambrose Bierce,legal
"In law, nothing is certain but the expense.",Samuel Butler,legal
Advertising is legalized lying.,H. G. Wells,legal
Obedience to lawful authority is the foundation of manly character.,Robert E. Lee,legal
A lean compromise is better than a fat lawsuit.,George Herbert,legal
"Avoid lawsuits beyond all things they pervert your conscience, impair your health, and dissipate your property.",Jean de la Bruyere,legal
The trouble with law is lawyers.,Clarence Darrow,legal
Justice delayed is justice denied.,William E. Gladstone,legal
"Lawyers, I suppose, were children once.",Charles Lamb,legal
He is no lawyer who cannot take two sides.,Charles Lamb,legal
All ambitions are lawful except those which climb upward on the miseries or credulities of mankind.,Joseph Conrad,legal
It is legal because I wish it.,Louis XIV,legal
"Deceive not thy physician, confessor, nor lawyer.",George Herbert,legal
You can't learn everything you need to know legally.,John Irving,legal
Lawyers are the only persons in whom ignorance of the law is not punished.,Jeremy Bentham,legal
"Judges are the weakest link in our system of justice, and they are also the most protected.",Alan Dershowitz,legal
I'm trusting in the Lord and a good lawyer.,Oliver North,legal
Where there is a will there is a lawsuit.,Addison Mizner,legal
Lawyers spend a great deal of their time shoveling smoke.,"Oliver Wendell Holmes, Jr.",legal
I have a different approach. I don't file lawsuits because I really don't care.,Nicole Kidman,legal
Misery is the company of lawsuits.,Francois Rabelais,legal
People do not win people fights. Lawyers do.,Norman Ralph Augustine,legal
"Frivolous lawsuits are booming in this county. The U.S. has more costs of litigation per person than any other industrialized nation in the world, and it is crippling our economy.",Jack Kingston,legal
The events of the day inspired me to become a lawyer.,Christopher Darden,legal
"If somebody invented cigarettes today, the government would not legalize them.",Loni Anderson,legal
A good lawyer is a bad Christian.,John Lothrop Motley,legal
Ignorance of the law excuses no man from practicing it.,Addison Mizner,legal
"I would say that IQ is the strongest predictor of which field you can get into and hold a job in, whether you can be an accountant, lawyer or nurse, for example.",Daniel Goleman,legal
The law has no compassion. And justice is administered without compassion.,Christopher Darden,legal
We are led by lawyers who do not understand either technology or balance sheets.,Thomas Friedman,legal
Lawyers are the first refuge of the incompetent.,Aaron Allston,legal
"I used to want to be a lawyer, but I didn't want to have half my brain sucked out.",Max Walker,legal
"It costs a lot to sue a magazine, and it's too bad that we don't have a system where the losing team has to pay the winning team's lawyers.",Carol Burnett,legal
Cagey trial lawyers have figured out there's a pretty good likelihood their case - no matter what its merit - will literally get its day in court because of favorable judges.,Dennis Hastert,legal
The only people who benefit from lawsuits are lawyers. I think we made a couple of them rich.,Gavin Rossdale,legal
"I have been surrounded by some of the smartest, brightest, most caring lawyers, by agents who are willing to risk their lives for others, by support staff that are willing to work as hard as they can.",Janet Reno,legal
The good lawyer is the great salesman.,Janet Reno,legal
I come from a profession which has suffered greatly because of the lack of civility. Lawyers treat each other poorly and it has come home to haunt them. The public will not tolerate a lack of civility.,James E. Rogers,legal
I'm not sure I can say there is a clean line between me as an individual and me as a lawyer.,Anita Hill,legal
One of the things I was taught in law school is that I'd never be able to think the same again - that being a lawyer is something that's part of who I am as an individual now.,Anita Hill,legal
Lawsuits should not be used to destroy a viable and independent distribution system. The solution lies in the marketplace and not the courtroom.,Don Henley,legal
"Unfortunately, what many people forget is that judges are just lawyers in robes.",Tammy Bruce,legal
"To some lawyers, all facts are created equal.",Felix Frankfurter,legal
"As a private lawyer, I could bill $750 an hour, but I don't.",Jay Alan Sekulow,legal
I wouldn't pretend to tell you we don't pay our lawyers well.,Jay Alan Sekulow,legal
"I'm afraid I talk a lot, too much, perhaps. I should have been a lawyer or a college professor or a windy politician, though I'm glad I am not any of these.",Tom Glazer,legal
A married woman has the same right to control her own body as does an unmarried woman.,Sol Wachtler,legal
To force a lawyer on a defendant can only lead him to believe that the law contrives against him.,Potter Stewart,legal
As a rule lawyers tend to want to do whatever they can to win.,Bill Williams,legal
"Lawsuit abuse is a major contributor to the increased costs of healthcare, goods and services to consumers.",Charles W. Pickering,legal
I decided I wanted to be a lawyer when I was 11 years of age.,Johnnie Cochran,legal
"All the libel lawyers will tell you there's no libel any more, that everyone's given up.",Ian Hislop,legal
"As for lawyers, it's more fun to play one than to be one.",Sam Waterston,legal
It is impossible to tell where the law stops and justice begins.,Arthur Baer,legal
I have been committed to carrying out my duties... in accordance with both the letter and spirit of all applicable rules of ethics and canons of conduct.,Samuel Alito,legal
A lawyer who does not know men is handicapped.,William Dunbar,legal
"They don't need a lawyer, they need a toastmaster.",Edward Bennett Williams,legal
I never saw a lawyer yet who would admit he was making money.,Mary Roberts Rinehart,legal
"If the laws could speak for themselves, they would complain of the lawyers in the first place.",Lord Halifax,legal
"From your confessor, lawyer and physician, hide not your case on no condition.",John Harington,legal
Never forget that everything Hitler did in Germany was legal.,"Martin Luther King, Jr.",legal
