"A successful marriage requires falling in love many times, always with the same person.",Mignon McLaughlin,marriage
"By all means, marry. If you get a good wife, you'll become happy if you get a bad one, you'll become a philosopher.",Socrates,marriage
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,marriage
How can a woman be expected to be happy with a man who insists on treating her as if she were a perfectly normal human being.,Oscar Wilde,marriage
Don't marry the person you think you can live with marry only the individual you think you can't live without.,James C. Dobson,marriage
A good marriage would be between a blind wife and a deaf husband.,Michel de Montaigne,marriage
"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.",Martin Luther,marriage
My most brilliant achievement was my ability to be able to persuade my wife to marry me.,Winston Churchill,marriage
"Before marriage, a girl has to make love to a man to hold him. After marriage, she has to hold him to make love to him.",Marilyn Monroe,marriage
I love being married. It's so great to find that one special person you want to annoy for the rest of your life.,Rita Rudner,marriage
"Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife.",Franz Schubert,marriage
"Marriage is neither heaven nor hell, it is simply purgatory.",Abraham Lincoln,marriage
One should always be in love. That is the reason one should never marry.,Oscar Wilde,marriage
"Every good relationship, especially marriage, is based on respect. If it's not based on respect, nothing that appears to be good will last very long.",Amy Grant,marriage
"I have learned that only two things are necessary to keep one's wife happy. First, let her think she's having her own way. And second, let her have it.",Lyndon B. Johnson,marriage
More marriages might survive if the partners realized that sometimes the better comes after the worse.,Doug Larson,marriage
"When marrying, ask yourself this question: Do you believe that you will be able to converse well with this person into your old age? Everything else in marriage is transitory.",Friedrich Nietzsche,marriage
There is nothing in the world like the devotion of a married woman. It is a thing no married man knows anything about.,Oscar Wilde,marriage
"One advantage of marriage is that, when you fall out of love with him or he falls out of love with you, it keeps you together until you fall in again.",Judith Viorst,marriage
Sometimes I wonder if men and women really suit each other. Perhaps they should live next door and just visit now and then.,Katharine Hepburn,marriage
"If I get married, I want to be very married.",Audrey Hepburn,marriage
"Do you know what it means to come home at night to a woman who'll give you a little love, a little affection, a little tenderness? It means you're in the wrong house, that's what it means.",Henny Youngman,marriage
The secret of a happy marriage remains a secret.,Henny Youngman,marriage
A dress that zips up the back will bring a husband and wife together.,James H. Boren,marriage
"Keep your eyes wide open before marriage, half shut afterwards.",Benjamin Franklin,marriage
"Where there's marriage without love, there will be love without marriage.",Benjamin Franklin,marriage
"Marriage is a wonderful institution, but who wants to live in an institution?",Groucho Marx,marriage
"I'd marry again if I found a man who had fifteen million dollars, would sign over half to me, and guarantee that he'd be dead within a year.",Bette Davis,marriage
A good husband is never the first to go to sleep at night or the last to awake in the morning.,Honore de Balzac,marriage
Let us now set forth one of the fundamental truths about marriage: the wife is in charge.,Bill Cosby,marriage
"If you want to sacrifice the admiration of many men for the criticism of one, go ahead, get married.",Katharine Hepburn,marriage
"Being divorced is like being hit by a Mack truck. If you live through it, you start looking very carefully to the right and to the left.",Jean Kerr,marriage
"When you make the sacrifice in marriage, you're sacrificing not to each other but to unity in a relationship.",Joseph Campbell,marriage
"Marriage is a great institution, but I'm not ready for an institution.",Mae West,marriage
Bachelors know more about women than married men if they didn't they'd be married too.,H. L. Mencken,marriage
No man should marry until he has studied anatomy and dissected at least one woman.,Honore de Balzac,marriage
"All men make mistakes, but married men find out about them sooner.",Red Skelton,marriage
A journey is like marriage. The certain way to be wrong is to think you control it.,John Steinbeck,marriage
