It is easier to build strong children than to repair broken men.,Frederick Douglass,men
"I, with a deeper instinct, choose a man who compels my strength, who makes enormous demands on me, who does not doubt my courage or my toughness, who does not believe me naive or innocent, who has the courage to treat me like a woman.",Anais Nin,men
Men always want to be a woman's first love - women like to be a man's last romance.,Oscar Wilde,men
"Without feelings of respect, what is there to distinguish men from beasts?",Confucius,men
Man becomes great exactly in the degree in which he works for the welfare of his fellow-men.,Mahatma Gandhi,men
"I look only to the good qualities of men. Not being faultless myself, I won't presume to probe into the faults of others.",Mahatma Gandhi,men
"Women love us for our defects. If we have enough of them, they will forgive us everything, even our gigantic intellects.",Oscar Wilde,men
A man's kiss is his signature.,Mae West,men
The superior man is distressed by the limitations of his ability he is not distressed by the fact that men do not recognize the ability that he has.,Confucius,men
"If you have men who will exclude any of God's creatures from the shelter of compassion and pity, you will have men who will deal likewise with their fellow men.",Francis of Assisi,men
The mass of men lead lives of quiet desperation. What is called resignation is confirmed desperation.,Henry David Thoreau,men
"When a hundred men stand together, each of them loses his mind and gets another one.",Friedrich Nietzsche,men
"Men are born to succeed, not to fail.",Henry David Thoreau,men
Liberty means responsibility. That is why most men dread it.,George Bernard Shaw,men
One man that has a mind and knows it can always beat ten men who haven't and don't.,George Bernard Shaw,men
A gentleman is simply a patient wolf.,Lana Turner,men
The greatest deception men suffer is from their own opinions.,Leonardo da Vinci,men
I only have 'yes' men around me. Who needs 'no' men?,Mae West,men
"Men rise from one ambition to another: first, they seek to secure themselves against attack, and then they attack others.",Niccolo Machiavelli,men
A bachelor is a guy who never made the same mistake once.,Phyllis Diller,men
"I usually make up my mind about a man in ten seconds, and I very rarely change it.",Margaret Thatcher,men
"I only like two kinds of men, domestic and imported.",Mae West,men
"Man as an individual is a genius. But men in the mass form the headless monster, a great, brutish idiot that goes where prodded.",Charlie Chaplin,men
Honor is simply the morality of superior men.,H. L. Mencken,men
Men must know their limitations.,Clint Eastwood,men
"Boys will be boys, and so will a lot of middle-aged men.",Kin Hubbard,men
"Passion makes idiots of the cleverest men, and makes the biggest idiots clever.",Francois de La Rochefoucauld,men
The truth is found when men are free to pursue it.,Franklin D. Roosevelt,men
Men are more easily governed through their vices than through their virtues.,Napoleon Bonaparte,men
Men shrink less from offending one who inspires love than one who inspires fear.,Niccolo Machiavelli,men
"If so many men, so many minds, certainly so many hearts, so many kinds of love.",Leo Tolstoy,men
"Men are like steel. When they lose their temper, they lose their worth.",Chuck Norris,men
Men can only be happy when they do not assume that the object of life is happiness.,George Orwell,men
There are only two forces that unite men - fear and interest.,Napoleon Bonaparte,men
"For many men, the acquisition of wealth does not end their troubles, it only changes them.",Lucius Annaeus Seneca,men
I have always thought the actions of men the best interpreters of their thoughts.,John Locke,men
"'Tis easy enough to be pleasant, When life flows along like a song But the man worth while is the one who will smile when everything goes dead wrong.",Ella Wheeler Wilcox,men
Men are only as good as their technical development allows them to be.,George Orwell,men
Men of lofty genius when they are doing the least work are most active.,Leonardo da Vinci,men
Treat all men alike. Give them the same law. Give them an even chance to live and grow.,Chief Joseph,men
"Women prefer to talk in twos, while men prefer to talk in threes.",Gilbert K. Chesterton,men
"Men become much more attractive when they start looking older. But it doesn't do much for women, though we do have an advantage: make-up.",Bette Davis,men
