"My mother was the most beautiful woman I ever saw. All I am I owe to my mother. I attribute all my success in life to the moral, intellectual and physical education I received from her.",George Washington,mom
"The natural state of motherhood is unselfishness. When you become a mother, you are no longer the center of your own universe. You relinquish that position to your children.",Jessica Lange,mom
"My mother had a great deal of trouble with me, but I think she enjoyed it.",Mark Twain,mom
Men are what their mothers made them.,Ralph Waldo Emerson,mom
"My mother said to me, 'If you are a soldier, you will become a general. If you are a monk, you will become the Pope.' Instead, I was a painter, and became Picasso.",Pablo Picasso,mom
Mothers are fonder than fathers of their children because they are more certain they are their own.,Aristotle,mom
"The mother-child relationship is paradoxical and, in a sense, tragic. It requires the most intense love on the mother's side, yet this very love must help the child grow away from the mother, and to become fully independent.",Erich Fromm,mom
Only God Himself fully appreciates the influence of a Christian mother in the molding of character in her children.,Billy Graham,mom
"That strong mother doesn't tell her cub, Son, stay weak so the wolves can get you. She says, Toughen up, this is reality we are living in.",Lauryn Hill,mom
It is not until you become a mother that your judgment slowly turns to compassion and understanding.,Erma Bombeck,mom
"I ask people why they have deer heads on their walls. They always say because it's such a beautiful animal. There you go. I think my mother is attractive, but I have photographs of her.",Ellen DeGeneres,mom
"I am sure that if the mothers of various nations could meet, there would be no more wars.",E. M. Forster,mom
"When you are a mother, you are never really alone in your thoughts. A mother always has to think twice, once for herself and once for her child.",Sophia Loren,mom
"Yes, Mother. I can see you are flawed. You have not hidden it. That is your greatest gift to me.",Alice Walker,mom
"Sweater, n.: garment worn by child when its mother is feeling chilly.",Ambrose Bierce,mom
Who in their infinite wisdom decreed that Little League uniforms be white? Certainly not a mother.,Erma Bombeck,mom
The mother's heart is the child's schoolroom.,Henry Ward Beecher,mom
"My mother taught me about the power of inspiration and courage, and she did it with a strength and a passion that I wish could be bottled.",Carly Fiorina,mom
My mother taught me to treat a lady respectfully.,Chris Brown,mom
"I've been through it all, baby, I'm mother courage.",Elizabeth Taylor,mom
Being a mother is hard and it wasn't a subject I ever studied.,Ruby Wax,mom
It is only in the act of nursing that a woman realizes her motherhood in visible and tangible fashion it is a joy of every moment.,Honore de Balzac,mom
I'm a Mommy's Girl - the strongest influence in my young life was my mom.,Susie Bright,mom
"When you have a good mother and no father, God kind of sits in. It's not enough, but it helps.",Dick Gregory,mom
"Mothers always find ways to fit in the work - but then when you're working, you feel that you should be spending time with your children and then when you're with your children, you're thinking about working.",Alice Hoffman,mom
"How simple a thing it seems to me that to know ourselves as we are, we must know our mothers names.",Alice Walker,mom
"Every man must define his identity against his mother. If he does not, he just falls back into her and is swallowed up.",Camille Paglia,mom
"My mother used to tell me man gives the award, God gives the reward. I don't need another plaque.",Denzel Washington,mom
"Motherhood is priced Of God, at price no man may dare To lessen or misunderstand.",Helen Hunt Jackson,mom
The fastest way to break the cycle of perfectionism and become a fearless mother is to give up the idea of doing it perfectly - indeed to embrace uncertainty and imperfection.,Arianna Huffington,mom
"Throughout my life, my mom has been the person that I've always looked up to.",Mike Krzyzewski,mom
"When motherhood becomes the fruit of a deep yearning, not the result of ignorance or accident, its children will become the foundation of a new race.",Margaret Sanger,mom
"Completeness? Happiness? These words don't come close to describing my emotions. There truly is nothing I can say to capture what motherhood means to me, particularly given my medical history.",Anita Baker,mom
Motherhood has a very humanizing effect. Everything gets reduced to essentials.,Meryl Streep,mom
What do girls do who haven't any mothers to help them through their troubles?,Louisa May Alcott,mom
Only mothers can think of the future - because they give birth to it in their children.,Maxim Gorky,mom
"Take motherhood: nobody ever thought of putting it on a moral pedestal until some brash feminists pointed out, about a century ago, that the pay is lousy and the career ladder nonexistent.",Barbara Ehrenreich,mom
