"All that I am, or hope to be, I owe to my angel mother.",Abraham Lincoln,mothersday
I remember my mother's prayers and they have always followed me. They have clung to me all my life.,Abraham Lincoln,mothersday
The most important thing a father can do for his children is to love their mother.,Theodore Hesburgh,mothersday
Mother is the name for God in the lips and hearts of little children.,William Makepeace Thackeray,mothersday
A mother's arms are made of tenderness and children sleep soundly in them.,Victor Hugo,mothersday
"God could not be everywhere, and therefore he made mothers.",Rudyard Kipling,mothersday
"Mother's love is peace. It need not be acquired, it need not be deserved.",Erich Fromm,mothersday
I got to grow up with a mother who taught me to believe in me.,Antonio Villaraigosa,mothersday
Children are the anchors of a mother's life.,Sophocles,mothersday
"A mother's happiness is like a beacon, lighting up the future but reflected also on the past in the guise of fond memories.",Honore de Balzac,mothersday
Life began with waking up and loving my mother's face.,George Eliot,mothersday
"The babe at first feeds upon the mother's bosom, but it is always on her heart.",Henry Ward Beecher,mothersday
"Mama was my greatest teacher, a teacher of compassion, love and fearlessness. If love is sweet as a flower, then my mother is that sweet flower of love.",Stevie Wonder,mothersday
When my mother had to get dinner for 8 she'd just make enough for 16 and only serve half.,Gracie Allen,mothersday
The love of a mother is the veil of a softer light between the heart and the heavenly Father.,Samuel Taylor Coleridge,mothersday
There is nothing in the world of art like the songs mother used to sing.,Billy Sunday,mothersday
Motherhood: All love begins and ends there.,Robert Browning,mothersday
Sometimes the strength of motherhood is greater than natural laws.,Barbara Kingsolver,mothersday
With what price we pay for the glory of motherhood.,Isadora Duncan,mothersday
Motherhood is... difficult and... rewarding.,Gloria Estefan,mothersday
I was always at peace because of the way my mom treated me.,Martina Hingis,mothersday
My mother is a walking miracle.,Leonardo DiCaprio,mothersday
My mom is definitely my rock.,Alicia Keys,mothersday
Who's a boy gonna talk to if not his mother?,Donald E. Westlake,mothersday
