Film spectators are quiet vampires.,Jim Morrison,movies
Am I a romantic? I've seen 'Wuthering Heights' ten times. I'm a romantic.,Johnny Depp,movies
"You know what your problem is, it's that you haven't seen enough movies - all of life's riddles are answered in the movies.",Steve Martin,movies
This film cost $31 million. With that kind of money I could have invaded some country.,Clint Eastwood,movies
Movies can and do have tremendous influence in shaping young lives in the realm of entertainment towards the ideals and objectives of normal adulthood.,Walt Disney,movies
"There's only one thing that can kill the movies, and that's education.",Will Rogers,movies
The movies are the only business where you can go out front and applaud yourself.,Will Rogers,movies
The length of a film should be directly related to the endurance of the human bladder.,Alfred Hitchcock,movies
"A film is - or should be - more like music than like fiction. It should be a progression of moods and feelings. The theme, what's behind the emotion, the meaning, all that comes later.",Stanley Kubrick,movies
A film is never really good unless the camera is an eye in the head of a poet.,Orson Welles,movies
"If my films don't show a profit, I know I'm doing something right.",Woody Allen,movies
I never enjoyed working in a film.,Marlene Dietrich,movies
Everything makes me nervous - except making films.,Elizabeth Taylor,movies
"It's the movies that have really been running things in America ever since they were invented. They show you what to do, how to do it, when to do it, how to feel about it, and how to look how you feel about it.",Andy Warhol,movies
A wide screen just makes a bad film twice as bad.,Samuel Goldwyn,movies
"A good film is when the price of the dinner, the theatre admission and the babysitter were worth it.",Alfred Hitchcock,movies
"So, where's the Cannes Film Festival being held this year?",Christina Aguilera,movies
Cinema is the most beautiful fraud in the world.,Jean-Luc Godard,movies
"A lot of movies are about life, mine are like a slice of cake.",Alfred Hitchcock,movies
"A story should have a beginning, a middle and an end, but not necessarily in that order.",Jean-Luc Godard,movies
Movies are like an expensive form of therapy for me.,Tim Burton,movies
Shoot a few scenes out of focus. I want to win the foreign film award.,Billy Wilder,movies
A film is a petrified fountain of thought.,Jean Cocteau,movies
"I don't take the movies seriously, and anyone who does is in for a headache.",Bette Davis,movies
Why should people go out and pay money to see bad films when they can stay at home and see bad television for nothing?,Samuel Goldwyn,movies
Every great film should seem new every time you see it.,Roger Ebert,movies
Cinema is a matter of what's in the frame and what's out.,Martin Scorsese,movies
"Even if I set out to make a film about a fillet of sole, it would be about me.",Federico Fellini,movies
"I think cinema, movies, and magic have always been closely associated. The very earliest people who made film were magicians.",Francis Ford Coppola,movies
The secret to film is that it's an illusion.,George Lucas,movies
"Give me a couple of years, and I'll make that actress an overnight success.",Samuel Goldwyn,movies
The movies we love and admire are to some extent a function of who we are when we see them.,Mary Schmich,movies
Adding sound to movies would be like putting lipstick on the Venus de Milo.,Mary Pickford,movies
Everyone told me to pass on Speed because it was a 'bus movie.',Sandra Bullock,movies
"You can map your life through your favorite movies, and no two people's maps will be the same.",Mary Schmich,movies
Film lovers are sick people.,Francois Truffaut,movies
Most of us do not consciously look at movies.,Roger Ebert,movies
"You read a script and its based on 'Reservoir Dogs' and 'Pulp Fiction', and it goes right in the bin.",Tim Roth,movies
Everybody's a filmmaker today.,John Milius,movies
I'm married to the theater but my mistress is the films.,Oskar Werner,movies
"I don't think you should feel about a film. You should feel about a woman, not a movie. You can't kiss a movie.",Jean-Luc Godard,movies
"If you don't like my movies, don't watch them.",Dario Argento,movies
There's an electrical thing about movies.,Oliver Stone,movies
I make movies I want to see.,Neil LaBute,movies
Citizen Kane is perhaps the one American talking picture that seems as fresh now as the day it opened. It may seem even fresher.,Pauline Kael,movies
Movies are something people see all over the world because there is a certain need for it.,Wim Wenders,movies
Movies are an art form that is very available to the masses.,Richard King,movies
"Movies are a complicated collision of literature, theatre, music and all the visual arts.",Yahoo Serious,movies
"Every single art form is involved in film, in a way.",Sydney Pollack,movies
When you make a film you usually make a film about an idea.,Sydney Pollack,movies
"I was obsessed with romance. When I was in high school, I saw 'Doctor Zhivago' every day from the day it opened until the day it left the theater.",John Hughes,movies
And in movies you must be a gambler. To produce films is to gamble.,Douglas Sirk,movies
"Movies are not scripts - movies are films they're not books, they're not the theatre.",Nicolas Roeg,movies
I just like movies that somehow expose the world in a way that's different than you imagine it.,Alex Winter,movies
"I've always been an animal lover. I've grown up with dogs my whole life. I think that is what helped me get the role on 'Lassie', I was comfortable around the dog, where many of the kids were afraid or intimidated by Lassie.",Will Estes,movies
"Sometimes in movies, I still have to be the hero, but it's not all that important to me anymore.",Dennis Quaid,movies
Nobody makes movies bad on purpose.,Roland Emmerich,movies
"'Home Alone' was a movie, not an alibi.",Jerry Orbach,movies
"It couldn't sound like a dog, because K9 isn't a dog, but I made it sound as mechanical as possible.",John Leeson,movies
We are the movies and the movies are us.,David Ansen,movies
Everything I learned I learned from the movies.,Audrey Hepburn,movies
"Some of my foster families used to send me to the movies to get me out of the house and there I'd sit all day and way into the night. Up in front, there with the screen so big, a little kid all alone, and I loved it. I loved anything that moved up there and I didn't miss anything that happened and there was no popcorn either.",Marilyn Monroe,movies
"My skin is hard when it comes to my music. But with my movies, I'm still a virgin in a lot of ways. I'm not used to being shot down for no reason.",Will Smith,movies
I think with movies I am really connecting to the Joseph Campbell idea of the collective unconscious.,Will Smith,movies
Over the years all these vampire movies have come out and nobody looks like a vampire anymore.,Johnny Depp,movies
"There's a lot of great movies that have won the Academy Award, and a lot of great movies that haven't. You just do the best you can.",Clint Eastwood,movies
Movies are a fad. Audiences really want to see live actors on a stage.,Charlie Chaplin,movies
"Advertising is a racket, like the movies and the brokerage business. You cannot be honest without admitting that its constructive contribution to humanity is exactly minus zero.",F. Scott Fitzgerald,movies
One of my movies was called 'True Lies.' It's what the Democrats should have called their convention.,Arnold Schwarzenegger,movies
"Minimalism seems closest to the sophisticated storytelling of movies. Movies have really educated contemporary audiences to be the most intelligent, sophisticated audiences in history. We don't any longer need to have the relationship between one scene and the next explained. We will figure it out ourselves.",Chuck Palahniuk,movies
"And I believe that you never be limited in what you do, so I like to do movies, I like to do television.",Harvey Fierstein,movies
"Movies are all about plot. Theater, even if it's story heavy, it's about ideas.",Harvey Fierstein,movies
Theater has to resonate in your heart in a way that movies don't.,Harvey Fierstein,movies
"I was striving to be the most muscular man, and it got me into the movies. It got me everything that I have.",Arnold Schwarzenegger,movies
"I love the movies, and when I go to see a movie that's been made from one of my books, I know that it isn't going to be exactly like my novel because a lot of other people have interpreted it. But I also know it has an idea that I'll like because that idea occurred to me, and I spent a year, or a year and a half of my life working on it.",Stephen King,movies
"Somebody asked me about the current choice we're being given in the presidential election. I said, Well, it's like two of the scariest movies I can imagine.",Dean Koontz,movies
"To me, movies and music go hand in hand. When I'm writing a script, one of the first things I do is find the music I'm going to play for the opening sequence.",Quentin Tarantino,movies
The only reason anyone goes to Broadway is because they can't get work in the movies.,Bette Davis,movies
"By going to the movies, and because of other things, too, going to college, making a wide variety of friends, moving around traveling, I became a lot more open-minded than the heritage I was born into might have suggested.",Roger Ebert,movies
I wanted to do another movie that could make us laugh and cry and feel good about the world. I wanted to do something else that could make us smile. This is a time when we need to smile more and Hollywood movies are supposed to do that for people in difficult times.,Steven Spielberg,movies
"When I was a boy, I always saw myself as a hero in comic books and in movies. I grew up believing this dream.",Elvis Presley,movies
"So, one way or another, I found myself in a few movies. I take it seriously when I'm on the set, but I don't take myself seriously as an actor.",Henry Rollins,movies
"Movies always are open to being remade because times change so much, and the tempo of movies changes. I think of it like a James Bond. They can have different actors play the same role... I've had people come up to me and say, 'We want to remake 'The Jerk' with so and so.' And I say, 'Fine.' It just doesn't bother me. It's an honor actually.",Steve Martin,movies
"I realized this is what God has dealt me, and I should be thankful considering all that's happened to me in my life, but MS caused the movies to stop - stop dead - and I miss it.",Richard Pryor,movies
My mom took me to see Carnal Knowledge and The Wild Bunch and all these kind of movies when I was a kid.,Quentin Tarantino,movies
"Movies are not about the weekend that they're released, and in the grand scheme of things, that's probably the most unimportant time of a film's life.",Quentin Tarantino,movies
"I'm not a Hollywood basher because enough good movies come out of the Hollywood system every year to justify its existence, without any apologies.",Quentin Tarantino,movies
"Movies are my religion and God is my patron. I'm lucky enough to be in the position where I don't make movies to pay for my pool. When I make a movie, I want it to be everything to me like I would die for it.",Quentin Tarantino,movies
"If you just love movies enough, you can make a good one.",Quentin Tarantino,movies
All my movies are achingly personal.,Quentin Tarantino,movies
I have loved movies as the number one thing in my life so long that I can't ever remember a time when I didn't.,Quentin Tarantino,movies
"I just grew up watching a lot of movies. I'm attracted to this genre and that genre, this type of story, and that type of story. As I watch movies I make some version of it in my head that isn't quite what I'm seeing - taking the things I like and mixing them with stuff I've never seen before.",Quentin Tarantino,movies
"Some mornings you wake up and think, gee I look handsome today. Other days I think, what am I doing in the movies? I wanna go back to Ireland and drive a forklift.",Liam Neeson,movies
I don't really have a schedule of when I want to show my children my movies.,Steven Spielberg,movies
"I was making a lot of 8mm home movies, since I was twelve, making little dramas and comedies with the neighborhood kids.",Steven Spielberg,movies
"Sexiness, particularly in movies, is the chess game in the 'Thomas Crown Affair'. It's, it's, I don't know, but Faye Dunaway comes up a lot in that thinking. It's the subtlety of sexiness. The moment you try to be sexy, then it's not.",Daniel Craig,movies
"I didn't grow up thinking of movies as film, or art, but as movies, something to do on a Saturday afternoon.",Sydney Pollack,movies
I have been pregnant in so many movies it's ridiculous.,Jennifer Aniston,movies
There are a lot of movies that are unbelievable successes that I would be mortified to be a part of.,Jennifer Aniston,movies
"My nominee for Best Picture of the year - maybe the best picture ever, because it's essentially made up of and is an ecstatic love letter to all other movies - is Christian Marclay's endlessly enticing must-see masterpiece 'The Clock.'",Jerry Saltz,movies
I am in so many movies that are on TV at 2:00 a.m. that people think I am dead.,Michael Caine,movies
I've been really enjoying writing articles and writing music and music for movies.,Alanis Morissette,movies
I worked very hard on those movies but there was some creative connection that wasn't being made.,Michael J. Fox,movies
I can be in 20 movies. But I'll never be an actor.,Jon Stewart,movies
"My dream role would probably be a psycho killer, because the whole thing I love about movies is that you get to do things you could never do in real life, and that would be my way of vicariously experiencing being a psycho killer. Also, it's incredibly romantic.",Christina Ricci,movies
"In life and in movies, it's a similar challenge, where you have expectations, and you end up in situations that are not meeting your expectations.",Jeff Bridges,movies
"Sex is a doorway to something so powerful and mystical, but movies usually depict it in a completely flat way.",David Lynch,movies
"Right now, my job is that I'm like an ambulance chaser. I've got to look for movies with white guys falling out of them.",Chris Rock,movies
Movies have takes. But plays are like life - you don't really get takes.,Chris Rock,movies
"Dude, I didn't say Jude Law can't act. I didn't say Jude Law was in bad movies. I just said he's in every movie.",Chris Rock,movies
"My movies are okay, but they're not my specials.",Chris Rock,movies
I'm not bragging but my movies have grossed well over a billion dollars.,Steve Guttenberg,movies
I'm obsessed with zombies. I like watching zombie movies and I read zombie books.,Kevin Bacon,movies
"Not only do I have to live, right, I have to get some cash for my troubles - it's a scary thing, and people need to start to think about the messages that they send in the movies.",Morgan Freeman,movies
Movies are like magic tricks.,Jeff Bridges,movies
I'd maybe done about 12 movies when I decided that this was what I was going to do.,Jeff Bridges,movies
I'm used to watching old movies of myself.,Jeff Bridges,movies
Movies are very subjective.,Jeff Bridges,movies
"Normally, I love to go to the movies and when I see a character portrayed by different actors at different ages, it kind of pops a little bit for me. It brings me out of the movie experience. Now we have the technology to cure that.",Jeff Bridges,movies
I'm very much into the costuming of any character that I portray and it's one of the great things about making movies is it's a collaborative art form so you get all these artists who are looking specifically about for this instance your character's costume and what that might tell about your character.,Jeff Bridges,movies
I think there's a real joy in going to see movies when you discover them yourself.,Jeff Bridges,movies
"Nowadays it seems more and more like the 'business' in 'show business' is underlined, and there are campaigns, and it's all part of getting people in to see the movies.",Jeff Bridges,movies
"Even in India the Hindi film industry might be the best known but there are movies made in other regional languages in India, be it Tamil or Bengali. Those experiences too are different from the ones in Bombay.",Aishwarya Rai,movies
