"Bad things do happen how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself.",Walter Anderson,movingon
"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.",Johnny Cash,movingon
"Love one another and help others to rise to the higher levels, simply by pouring out love. Love is infectious and the greatest healing energy.",Sai Baba,movingon
"Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer.",Denis Waitley,movingon
"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.",Lewis B. Smedes,movingon
Blessed are the hearts that can bend they shall never be broken.,Albert Camus,movingon
The greatest healing therapy is friendship and love.,Hubert H. Humphrey,movingon
"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things.",Theodore Roosevelt,movingon
I think it's important to have closure in any relationship that ends - from a romantic relationship to a friendship. You should always have a sense of clarity at the end and know why it began and why it ended. You need that in your life to move cleanly into your next phase.,Jennifer Aniston,movingon
"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on.",Dave Pelzer,movingon
Forget the past.,Nelson Mandela,movingon
"Moving on, is a simple thing, what it leaves behind is hard.",Dave Mustaine,movingon
"Expect trouble as an inevitable part of life and repeat to yourself, the most comforting words of all this, too, shall pass.",Ann Landers,movingon
"Being divorced is like being hit by a Mack truck. If you live through it, you start looking very carefully to the right and to the left.",Jean Kerr,movingon
"I tell you the past is a bucket of ashes, so live not in your yesterdays, no just for tomorrow, but in the here and now. Keep moving and forget the post mortems and remember, no one can get the jump on the future.",Carl Sandburg,movingon
"The art of war is simple enough. Find out where your enemy is. Get at him as soon as you can. Strike him as hard as you can, and keep moving on.",Ulysses S. Grant,movingon
I think a spiritual journey is not so much a journey of discovery. It's a journey of recovery. It's a journey of uncovering your own inner nature. It's already there.,Billy Corgan,movingon
"Take those chances and you can achieve greatness, whereas if you go conservative, you'll never know. I truly believe what doesn't kill you makes you stronger. Even if you fail, learning and moving on is sometimes the best thing.",Danica Patrick,movingon
"The goal of spiritual practice is full recovery, and the only thing you need to recover from is a fractured sense of self.",Marianne Williamson,movingon
"Man maintains his balance, poise, and sense of security only as he is moving forward.",Maxwell Maltz,movingon
"I love to shop after a bad relationship. I don't know. I buy a new outfit and it makes me feel better. It just does. Sometimes I see a really great outfit, I'll break up with someone on purpose.",Rita Rudner,movingon
"The heart will break, but broken live on.",Lord Byron,movingon
"I've been heartbroken. I've broken hearts. That's part of life, and its part of figuring out who you are so you can find the right partner.",Heidi Klum,movingon
Healing yourself is connected with healing others.,Yoko Ono,movingon
Recovery is something that you have to work on every single day and it's something that it doesn't get a day off.,Demi Lovato,movingon
I don't live in the past at all I'm always wanting to do something new. I make a point of constantly trying to forget and get things out of my mind.,Brian Eno,movingon
"The moving finger writes, and having written moves on. Nor all thy piety nor all thy wit, can cancel half a line of it.",Omar Khayyam,movingon
One makes mistakes that is life. But it is never a mistake to have loved.,Romain Rolland,movingon
I'm pretty horrible at relationships and haven't been in many long-term ones. Leaving and moving on - returning to a familiar sense of self-reliance and autonomy - is what I know that feeling is as comfortable and comforting as it might be for a different kind of person to stay.,Carrie Brownstein,movingon
"You may have a fresh start any moment you choose, for this thing that we call 'failure' is not the falling down, but the staying down.",Mary Pickford,movingon
What surrounds us we endure better for giving it a name - and moving on.,Emile M. Cioran,movingon
I must be careful not to get trapped in the past. That's why I tend to forget my songs.,Mick Jagger,movingon
"O! many a shaft, at random sent, Finds mark the archer little meant! And many a word, at random spoken, May soothe or wound a heart that's broken!",Walter Scott,movingon
"Any time you end a relationship, and everyone has ended plenty in their life, it's always a tough thing and hard to get over.",Adam Brody,movingon
Forget the past - the future will give you plenty to worry about.,"George Allen, Sr.",movingon
Some women feel the best cure for a broken heart is a new beau.,Gene Tierney,movingon
"What's that line from TS Eliot? To arrive at the place where you started, but to know it for the first time. I'm able to write about a breakup from a different place. Same brokenness. Same rock-bottom. But a little more informed, now I'm older. Thank God for growing up.",Alanis Morissette,movingon
"If you've got to my age, you've probably had your heart broken many times. So it's not that difficult to unpack a bit of grief from some little corner of your heart and cry over it.",Emma Thompson,movingon
"I can relate to having those people in your life that you feel are moving on to this great, big, normal life and you're like, 'What's wrong with me?'",Kristen Wiig,movingon
The words of kindness are more healing to a drooping heart than balm or honey.,Sarah Fielding,movingon
Who can't relate to the idea of leaving one chapter behind and moving on to the next?,Mike Shinoda,movingon
"I can still love an ex as a person, regardless if the breakup was bad. I would never wish anything negative on them. It takes more energy to hate them than to wish them well.",Ashley Greene,movingon
"By forgetting the past and by throwing myself into other interests, I forget to worry.",Jack Dempsey,movingon
"When you start using senses you've neglected, your reward is to see the world with completely fresh eyes.",Barbara Sher,movingon
"I've always believed that if you don't stay moving, they will throw dirt on you.",Paul Anka,movingon
"Getting over someone is a grieving process. You mourn the loss of the relationship, and that's only expedited by 'Out of sight, out of mind.' But when you walk outside and see them on a billboard or on TV or on the cover of a magazine, it reopens the wound. It's a high-class problem, but it's real.",Hank Azaria,movingon
I know people who grow old and bitter. I want to keep making a fresh start. I don't want them to defeat me. That would be suicidal.,Robert Wyatt,movingon
I will be really happy once I have done my jail time. I can start fresh.,Nicole Richie,movingon
I actually think sadness and darkness can be very beautiful and healing.,Duncan Sheik,movingon
"I mean, don't forget the earth's about five thousand million years old, at least. Who can afford to live in the past?",Harold Pinter,movingon
The Marines was a fresh start - that is why they shave your head. I wish they would let you change your name.,Drew Carey,movingon
The all-seeing eye of God beheld our deplorable state infinite pity touched the heart of the Father of mercies and infinite wisdom laid the plan of our recovery.,David Brainerd,movingon
"Like anyone who goes to college, you're leaving a familiar surrounding and a comfortable environment and your friends and everything, and you're starting fresh. It can be pretty daunting.",Jason Biggs,movingon
There's always something to suggest that you'll never be who you wanted to be. Your choice is to take it or keep on moving.,Phylicia Rashad,movingon
I kind of came to the conclusion after I did finally get married that love and relationships are just a series of horrific losses with hopefully one win.,Justin Halpern,movingon
"Suffering isn't ennobling, recovery is.",Christiaan Barnard,movingon
Part of growing up is just taking what you learn from that and moving on and not taking it to heart.,Beverley Mitchell,movingon
"I can tell you one thing, Iran is closer to developing nuclear weapons today than it was a week ago, or a month ago or a year ago. It's just moving on with its efforts.",Benjamin Netanyahu,movingon
"As far as friendships go, things change even without the fame. People start moving on. I have a few friends that are married and are starting to have kids and I'm like, 'Oh my goodness gracious - that's so insane.' I also have friends who are just doing their own thing, which is cool.",Jordin Sparks,movingon
"But you know, if you live an affluent lifestyle, there are all types of trappings that are there that you have to be cognizant of, and you've got to try and communicate freely and gain understanding about and then keep moving on, because you know, sometimes lifestyles are chosen for us as opposed to us choosing them.",Julius Erving,movingon
