"Green is the prime color of the world, and that from which its loveliness arises.",Pedro Calderon de la Barca,nature
And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom.,Anais Nin,nature
"Look deep into nature, and then you will understand everything better.",Albert Einstein,nature
"I thank you God for this most amazing day, for the leaping greenly spirits of trees, and for the blue dream of sky and for everything which is natural, which is infinite, which is yes.",e. e. cummings,nature
All my life I have tried to pluck a thistle and plant a flower wherever the flower would grow in thought and mind.,Abraham Lincoln,nature
"And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everything.",William Shakespeare,nature
One of the most tragic things I know about human nature is that all of us tend to put off living. We are all dreaming of some magical rose garden over the horizon instead of enjoying the roses that are blooming outside our windows today.,Dale Carnegie,nature
In the depth of winter I finally learned that there was in me an invincible summer.,Albert Camus,nature
Keep your face to the sunshine and you cannot see a shadow.,Helen Keller,nature
"He is richest who is content with the least, for content is the wealth of nature.",Socrates,nature
The trees that are slow to grow bear the best fruit.,Moliere,nature
"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating there is really no such thing as bad weather, only different kinds of good weather.",John Ruskin,nature
There are always flowers for those who want to see them.,Henri Matisse,nature
"Solitary trees, if they grow at all, grow strong.",Winston Churchill,nature
Forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,Khalil Gibran,nature
"Come forth into the light of things, let nature be your teacher.",William Wordsworth,nature
The good man is the friend of all living things.,Mahatma Gandhi,nature
"Fishes live in the sea, as men do a-land the great ones eat up the little ones.",William Shakespeare,nature
To me a lush carpet of pine needles or spongy grass is more welcome than the most luxurious Persian rug.,Helen Keller,nature
Earth laughs in flowers.,Ralph Waldo Emerson,nature
One touch of nature makes the whole world kin.,William Shakespeare,nature
Autumn is a second spring when every leaf is a flower.,Albert Camus,nature
In all things of nature there is something of the marvelous.,Aristotle,nature
"When nature has work to be done, she creates a genius to do it.",Ralph Waldo Emerson,nature
Nature always wears the colors of the spirit.,Ralph Waldo Emerson,nature
The best thing one can do when it's raining is to let it rain.,Henry Wadsworth Longfellow,nature
"If one way be better than another, that you may be sure is nature's way.",Aristotle,nature
"If you wish to make an apple pie from scratch, you must first invent the universe.",Carl Sagan,nature
"A bird doesn't sing because it has an answer, it sings because it has a song.",Lou Holtz,nature
"Nature will bear the closest inspection. She invites us to lay our eye level with her smallest leaf, and take an insect view of its plain.",Henry David Thoreau,nature
I still get wildly enthusiastic about little things... I play with leaves. I skip down the street and run against the wind.,Leo Buscaglia,nature
"Spring is nature's way of saying, 'Let's party!'",Robin Williams,nature
"Wherever you go, no matter what the weather, always bring your own sunshine.",Anthony J. D'Angelo,nature
The bluebird carries the sky on his back.,Henry David Thoreau,nature
What the caterpillar calls the end of the world the master calls a butterfly.,Richard Bach,nature
"Except during the nine months before he draws his first breath, no man manages his affairs as well as a tree does.",George Bernard Shaw,nature
"By reading the scriptures I am so renewed that all nature seems renewed around me and with me. The sky seems to be a pure, a cooler blue, the trees a deeper green. The whole world is charged with the glory of God and I feel fire and music under my feet.",Thomas Merton,nature
A lot of people like snow. I find it to be an unnecessary freezing of water.,Carl Reiner,nature
"For in the true nature of things, if we rightly consider, every green tree is far more glorious than if it were made of gold and silver.",Martin Luther,nature
"I go to nature to be soothed and healed, and to have my senses put in order.",John Burroughs,nature
The mountains are calling and I must go.,John Muir,nature
"The butterfly counts not months but moments, and has time enough.",Rabindranath Tagore,nature
"I love to think of nature as an unlimited broadcasting station, through which God speaks to us every hour, if we will only tune in.",George Washington Carver,nature
Let the rain kiss you. Let the rain beat upon your head with silver liquid drops. Let the rain sing you a lullaby.,Langston Hughes,nature
"May your trails be crooked, winding, lonesome, dangerous, leading to the most amazing view. May your mountains rise into and above the clouds.",Edward Abbey,nature
"It is not light that we need, but fire it is not the gentle shower, but thunder. We need the storm, the whirlwind, and the earthquake.",Frederick Douglass,nature
"Rest is not idleness, and to lie sometimes on the grass under trees on a summer's day, listening to the murmur of the water, or watching the clouds float across the sky, is by no means a waste of time.",John Lubbock,nature
Birds sing after a storm why shouldn't people feel as free to delight in whatever remains to them?,Rose Kennedy,nature
When I have a terrible need of - shall I say the word - religion. Then I go out and paint the stars.,Vincent Van Gogh,nature
"Delicious autumn! My very soul is wedded to it, and if I were a bird I would fly about the earth seeking the successive autumns.",George Eliot,nature
"Nature knows no pause in progress and development, and attaches her curse on all inaction.",Johann Wolfgang von Goethe,nature
One must ask children and birds how cherries and strawberries taste.,Johann Wolfgang von Goethe,nature
That which is not good for the bee-hive cannot be good for the bees.,Marcus Aurelius,nature
"It is not so much for its beauty that the forest makes a claim upon men's hearts, as for that subtle something, that quality of air that emanation from old trees, that so wonderfully changes and renews a weary spirit.",Robert Louis Stevenson,nature
Flowers are the sweetest things God ever made and forgot to put a soul into.,Henry Ward Beecher,nature
"Reading about nature is fine, but if a person walks in the woods and listens carefully, he can learn more than what is in books, for they speak with the voice of God.",George Washington Carver,nature
"The sun, with all those planets revolving around it and dependent on it, can still ripen a bunch of grapes as if it had nothing else in the universe to do.",Galileo Galilei,nature
"Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach some of us more than we can ever learn from books.",John Lubbock,nature
Don't knock the weather nine-tenths of the people couldn't start a conversation if it didn't change once in a while.,Kin Hubbard,nature
I believe a leaf of grass is no less than the journey-work of the stars.,Walt Whitman,nature
The world is mud-luscious and puddle-wonderful.,e. e. cummings,nature
"What is the good of your stars and trees, your sunrise and the wind, if they do not enter into our daily lives?",E. M. Forster,nature
A morning-glory at my window satisfies me more than the metaphysics of books.,Walt Whitman,nature
"I believe in God, only I spell it Nature.",Frank Lloyd Wright,nature
I think it pisses God off if you walk by the color purple in a field somewhere and don't notice it.,Alice Walker,nature
A hen is only an egg's way of making another egg.,Samuel Butler,nature
"I've made an odd discovery. Every time I talk to a savant I feel quite sure that happiness is no longer a possibility. Yet when I talk with my gardener, I'm convinced of the opposite.",Bertrand Russell,nature
Give me odorous at sunrise a garden of beautiful flowers where I can walk undisturbed.,Walt Whitman,nature
"Some people walk in the rain, others just get wet.",Roger Miller,nature
Trees are the earth's endless effort to speak to the listening heaven.,Rabindranath Tagore,nature
The clearest way into the Universe is through a forest wilderness.,John Muir,nature
"Everything is blooming most recklessly if it were voices instead of colors, there would be an unbelievable shrieking into the heart of the night.",Rainer Maria Rilke,nature
What would be ugly in a garden constitutes beauty in a mountain.,Victor Hugo,nature
"As the poet said, 'Only God can make a tree,' probably because it's so hard to figure out how to get the bark on.",Woody Allen,nature
"Adapt or perish, now as ever, is nature's inexorable imperative.",H. G. Wells,nature
"Forests, lakes, and rivers, clouds and winds, stars and flowers, stupendous glaciers and crystal snowflakes - every form of animate or inanimate existence, leaves its impress upon the soul of man.",Orison Swett Marden,nature
Ocean: A body of water occupying about two-thirds of a world made for man - who has no gills.,Ambrose Bierce,nature
There is nothing in a caterpillar that tells you it's going to be a butterfly.,R. Buckminster Fuller,nature
The Universe is one great kindergarten for man. Everything that exists has brought with it its own peculiar lesson.,Orison Swett Marden,nature
All water has a perfect memory and is forever trying to get back to where it was.,Toni Morrison,nature
I am two with nature.,Woody Allen,nature
The violets in the mountains have broken the rocks.,Tennessee Williams,nature
Man has lost the capacity to foresee and to forestall. He will end by destroying the earth.,Albert Schweitzer,nature
Don't pray when it rains if you don't pray when the sun shines.,Satchel Paige,nature
To sit in the shade on a fine day and look upon verdure is the most perfect refreshment.,Jane Austen,nature
"Let us learn to appreciate there will be times when the trees will be bare, and look forward to the time when we may pick the fruit.",Anton Chekhov,nature
"We do not see nature with our eyes, but with our understandings and our hearts.",William Hazlitt,nature
"Winter is nature's way of saying, 'Up yours.'",Robert Byrne,nature
