"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better take things as they come along with patience and equanimity.",Carl Jung,patience
Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.,Robert H. Schuller,patience
"Patience, persistence and perspiration make an unbeatable combination for success.",Napoleon Hill,patience
"We could never learn to be brave and patient, if there were only joy in the world.",Helen Keller,patience
How poor are they that have not patience! What wound did ever heal but by degrees?,William Shakespeare,patience
"Our real blessings often appear to us in the shape of pains, losses and disappointments but let us have patience and we soon shall see them in their proper figures.",Joseph Addison,patience
"Patience is bitter, but its fruit is sweet.",Jean-Jacques Rousseau,patience
"For anything worth having one must pay the price and the price is always work, patience, love, self-sacrifice - no paper currency, no promises to pay, but the gold of real service.",John Burroughs,patience
Abused patience turns to fury.,Thomas Fuller,patience
"How many a man has thrown up his hands at a time when a little more effort, a little more patience would have achieved success.",Elbert Hubbard,patience
Be patient and understanding. Life is too short to be vengeful or malicious.,Phillips Brooks,patience
"Have patience with all things, But, first of all with yourself.",Saint Francis de Sales,patience
A man who is a master of patience is master of everything else.,George Savile,patience
The test of good manners is to be patient with the bad ones.,Solomon Ibn Gabirol,patience
I am patient with stupidity but not with those who are proud of it.,Edith Sitwell,patience
"It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.",Julius Caesar,patience
Have patience. All things are difficult before they become easy.,Saadi,patience
Our patience will achieve more than our force.,Edmund Burke,patience
Genius is eternal patience.,Michelangelo,patience
"Good character is not formed in a week or a month. It is created little by little, day by day. Protracted and patient effort is needed to develop good character.",Heraclitus,patience
I'm extraordinarily patient provided I get my own way in the end.,Margaret Thatcher,patience
Endurance is patience concentrated.,Thomas Carlyle,patience
"Patience is necessary, and one cannot reap immediately where one has sown.",Soren Kierkegaard,patience
"The key to everything is patience. You get the chicken by hatching the egg, not by smashing it.",Arnold H. Glasow,patience
"Patience, n. A minor form of dispair, disguised as a virtue.",Ambrose Bierce,patience
"I am not a perfect servant. I am a public servant doing my best against the odds. As I develop and serve, be patient. God is not finished with me yet.",Jesse Jackson,patience
"Endurance is nobler than strength, and patience than beauty.",John Ruskin,patience
"Patience has its limits. Take it too far, and it's cowardice.",George Jackson,patience
Humility is attentive patience.,Simone Weil,patience
Who ever is out of patience is out of possession of their soul.,Francis Bacon,patience
Heaven grant us patience with a man in love.,Rudyard Kipling,patience
"As for goals, I don't set myself those anymore. I'm not one of these 'I must have achieved this and that by next year' kind of writers. I take things as they come and find that patience and persistence tend to win out in the end.",Paul Kane,patience
"All commend patience, but none can endure to suffer.",Thomas Fuller,patience
"Patience and Diligence, like faith, remove mountains.",William Penn,patience
Patience is the art of hoping.,Luc de Clapiers,patience
There is something good in all seeming failures. You are not to see that now. Time will reveal it. Be patient.,Sivananda,patience
"The practice of patience toward one another, the overlooking of one another's defects, and the bearing of one another's burdens is the most elementary condition of all human and social activity in the family, in the professions, and in society.",Lawrence G. Lovasik,patience
Lack of pep is often mistaken for patience.,Kin Hubbard,patience
Patience is the support of weakness impatience the ruin of strength.,Charles Caleb Colton,patience
Patience is the best remedy for every trouble.,Plautus,patience
"If I have done the public any service, it is due to my patient thought.",Isaac Newton,patience
"All men commend patience, although few are willing to practice it.",Thomas a Kempis,patience
"If you would know strength and patience, welcome the company of trees.",Hal Borland,patience
"Fortune knocks but once, but misfortune has much more patience.",Laurence J. Peter,patience
Bear patiently with a rival.,Ovid,patience
Beware the fury of a patient man.,John Dryden,patience
"Let him that hath no power of patience retire within himself, though even there he will have to put up with himself.",Baltasar Gracian,patience
"Patience is the most necessary quality for business, many a man would rather you heard his story than grant his request.",Lord Chesterfield,patience
God gives me the children's ministry heart and patience. This is what He wants. It's awesome. I don't know where He's gonna take it - but God is building this thing.,Willie Aames,patience
Hope is patience with the lamp lit.,Tertullian,patience
There is no road too long to the man who advances deliberately and without undue haste there are no honors too distant to the man who prepares himself for them with patience.,Jean de la Bruyere,patience
A healthy male adult bore consumes each year one and a half times his own weight in other people's patience.,John Updike,patience
He who rides the sea of the Nile must have sails woven of patience.,William Golding,patience
"Patience, that blending of moral courage with physical timidity.",Thomas Hardy,patience
Good ideas are not adopted automatically. They must be driven into practice with courageous patience.,Hyman Rickover,patience
Everyone ought to bear patiently the results of his own conduct.,Phaedrus,patience
You must first have a lot of patience to learn to have patience.,Stanislaw Lec,patience
