When the power of love overcomes the love of power the world will know peace.,Jimi Hendrix,peace
An eye for an eye only ends up making the whole world blind.,Mahatma Gandhi,peace
"If we have no peace, it is because we have forgotten that we belong to each other.",Mother Teresa,peace
I refuse to accept the view that mankind is so tragically bound to the starless midnight of racism and war that the bright daybreak of peace and brotherhood can never become a reality... I believe that unarmed truth and unconditional love will have the final word.,"Martin Luther King, Jr.",peace
"Imagine all the people living life in peace. You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us, and the world will be as one.",John Lennon,peace
Peace begins with a smile.,Mother Teresa,peace
Those who make peaceful revolution impossible will make violent revolution inevitable.,John F. Kennedy,peace
"Peace cannot be achieved through violence, it can only be attained through understanding.",Ralph Waldo Emerson,peace
The most valuable possession you can own is an open heart. The most powerful weapon you can be is an instrument of peace.,Carlos Santana,peace
It isn't enough to talk about peace. One must believe in it. And it isn't enough to believe in it. One must work at it.,Eleanor Roosevelt,peace
Nobody can bring you peace but yourself.,Ralph Waldo Emerson,peace
I believe in the religion of Islam. I believe in Allah and peace.,Muhammad Ali,peace
"A peace is of the nature of a conquest for then both parties nobly are subdued, and neither party loser.",William Shakespeare,peace
"If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner.",Nelson Mandela,peace
"Peace and friendship with all mankind is our wisest policy, and I wish we may be permitted to pursue it.",Thomas Jefferson,peace
He that would live in peace and at ease must not speak all he knows or all he sees.,Benjamin Franklin,peace
A people free to choose will always choose peace.,Ronald Reagan,peace
Peace is a journey of a thousand miles and it must be taken one step at a time.,Lyndon B. Johnson,peace
Even peace may be purchased at too high a price.,Benjamin Franklin,peace
Nonviolence is the first article of my faith. It is also the last article of my creed.,Mahatma Gandhi,peace
Peace is its own reward.,Mahatma Gandhi,peace
It is an unfortunate fact that we can secure peace only by preparing for war.,John F. Kennedy,peace
I think that people want peace so much that one of these days government had better get out of their way and let them have it.,Dwight D. Eisenhower,peace
"The real and lasting victories are those of peace, and not of war.",Ralph Waldo Emerson,peace
"I'm concentrating on staying healthy, having peace, being happy, remembering what is important, taking in nature and animals, spending time reading, trying to understand the universe, where science and the spiritual meet.",Joan Jett,peace
"Let there be work, bread, water and salt for all.",Nelson Mandela,peace
We make war that we may live in peace.,Aristotle,peace
"Dear God, Please send to me the spirit of Your peace. Then send, dear Lord, the spirit of peace from me to all the world. Amen.",Marianne Williamson,peace
I dream of an Africa which is in peace with itself.,Nelson Mandela,peace
Those who are at war with others are not at peace with themselves.,William Hazlitt,peace
"I can promise you that women working together - linked, informed and educated - can bring peace and prosperity to this forsaken planet.",Isabel Allende,peace
"Every goal, every action, every thought, every feeling one experiences, whether it be consciously or unconsciously known, is an attempt to increase one's level of peace of mind.",Sydney Madwed,peace
"Peace is not only better than war, but infinitely more arduous.",George Bernard Shaw,peace
You cannot find peace by avoiding life.,Virginia Woolf,peace
"You will find peace not by trying to escape your problems, but by confronting them courageously. You will find peace not in denial, but in victory.",J. Donald Walters,peace
"One does not need buildings, money, power, or status to practice the Art of Peace. Heaven is right where you are standing, and that is the place to train.",Morihei Ueshiba,peace
War will never cease until babies begin to come into the world with larger cerebrums and smaller adrenal glands.,H. L. Mencken,peace
"If they want peace, nations should avoid the pin-pricks that precede cannon shots.",Napoleon Bonaparte,peace
"Peace is not an absence of war, it is a virtue, a state of mind, a disposition for benevolence, confidence, justice.",Baruch Spinoza,peace
It is madness for sheep to talk peace with a wolf.,Thomas Fuller,peace
I think it's naive to pray for world peace if we're not going to change the form in which we live.,Godfrey Reggio,peace
Peace and justice are two sides of the same coin.,Dwight D. Eisenhower,peace
"It is easier to lead men to combat, stirring up their passion, than to restrain them and direct them toward the patient labors of peace.",Andre Gide,peace
Peace is liberty in tranquillity.,Marcus Tullius Cicero,peace
"The pursuit of peace and progress cannot end in a few years in either victory or defeat. The pursuit of peace and progress, with its trials and its errors, its successes and its setbacks, can never be relaxed and never abandoned.",Dag Hammarskjold,peace
The simplification of life is one of the steps to inner peace. A persistent simplification will create an inner and outer well-being that places harmony in one's life.,Peace Pilgrim,peace
Complete peace equally reigns between two mental waves.,Swami Sivananda,peace
"For behind all imperialism is ultimately the imperialistic individual, just as behind all peace is ultimately the peaceful individual.",Irving Babbitt,peace
"To attain inner peace you must actually give your life, not just your possessions. When you at last give your life - bringing into alignment your beliefs and the way you live then, and only then, can you begin to find inner peace.",Peace Pilgrim,peace
Peace is rarely denied to the peaceful.,Friedrich Schiller,peace
People always make war when they say they love peace.,David Herbert Lawrence,peace
"The forces that are driving mankind toward unity and peace are deep-seated and powerful. They are material and natural, as well as moral and intellectual.",Arthur Henderson,peace
"I don't know whether war is an interlude during peace, or peace an interlude during war.",Georges Clemenceau,peace
It has become impossible to give up the enterprise of disarmament without abandoning the whole great adventure of building up a collective peace system.,Arthur Henderson,peace
"Peace hath higher tests of manhood, than battle ever knew.",John Greenleaf Whittier,peace
"Yes, we love peace, but we are not willing to take wounds for it, as we are for war.",John Andrew Holmes,peace
"The quest for peace begins in the home, in the school and in the workplace.",Silvia Cartwright,peace
I happen to dig being able to use whatever mystique I have to further the idea of peace.,Garrett Morris,peace
The only important thing I have to say is that my father never fought against his country.,Zinedine Zidane,peace
I declare that I will establish peace in this world.,Prem Rawat,peace
"Of one thing I am certain, the body is not the measure of healing, peace is the measure.",Phyllis McGinley,peace
Peace is the first thing the angels sang.,John Keble,peace
Peace is when time doesn't matter as it passes by.,Maria Schell,peace
You don't have to have fought in a war to love peace.,Geraldine Ferraro,peace
"The business of peace requires more than showing up with paint brushes, foodstuffs and an oil pipeline or two.",Tony Snow,peace
"This enemy of peace in the world today is unlike any we have seen in the past, and our military is learning from, and building on, previous successes while carrying peace and freedom into the future.",Mark Kennedy,peace
Power to the peaceful!,Michael Franti,peace
"The Dove, on silver pinions, winged her peaceful way.",James Montgomery,peace
"One is called to live nonviolently, even if the change one works for seems impossible.",Daniel Berrigan,peace
"Peace has to be created, in order to be maintained. It will never be achieved by passivity and quietism.",Dorothy Thompson,peace
"We want to take good tidings home to our people, that they may sleep in peace.",Black Kettle,peace
One cannot subdue a man by holding back his hands. Lasting peace comes not from force.,David Borenstein,peace
"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha,peace
"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.",Calvin Coolidge,peace
"If there must be trouble, let it be in my day, that my child may have peace.",Thomas Paine,peace
"Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind.",Buddha,peace
Peace cannot be kept by force it can only be achieved by understanding.,Albert Einstein,peace
"Better than a thousand hollow words, is one word that brings peace.",Buddha,peace
I am not only a pacifist but a militant pacifist. I am willing to fight for peace. Nothing will end war unless the people themselves refuse to go to war.,Albert Einstein,peace
"God cannot give us a happiness and peace apart from Himself, because it is not there. There is no such thing.",C. S. Lewis,peace
