"No matter how much cats fight, there always seem to be plenty of kittens.",Abraham Lincoln,pet
I am fond of pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.,Winston Churchill,pet
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,pet
Time spent with cats is never wasted.,Sigmund Freud,pet
A dog is the only thing on earth that loves you more than you love yourself.,Josh Billings,pet
I wish I could write as mysterious as a cat.,Edgar Allan Poe,pet
There are two means of refuge from the miseries of life: music and cats.,Albert Schweitzer,pet
I looked up my family tree and found three dogs using it.,Rodney Dangerfield,pet
Until one has loved an animal a part of one's soul remains unawakened.,Anatole France,pet
Animals are such agreeable friends - they ask no questions they pass no criticisms.,George Eliot,pet
"Animals are reliable, many full of love, true in their affections, predictable in their actions, grateful and loyal. Difficult standards for people to live up to.",Alfred A. Montapert,pet
I wonder if other dogs think poodles are members of a weird religious cult.,Rita Rudner,pet
"The better I get to know men, the more I find myself loving dogs.",Charles de Gaulle,pet
The average dog is a nicer person than the average person.,Andy Rooney,pet
"Dogs are not our whole life, but they make our lives whole.",Roger Caras,pet
"If a dog will not come to you after having looked you in the face, you should go home and examine your conscience.",Woodrow Wilson,pet
I poured spot remover on my dog. Now he's gone.,Steven Wright,pet
The dog is the god of frolic.,Henry Ward Beecher,pet
"To his dog, every man is Napoleon hence the constant popularity of dogs.",Aldous Huxley,pet
"What a dog I got, his favorite bone is in my arm.",Rodney Dangerfield,pet
"Dachshunds are ideal dogs for small children, as they are already stretched and pulled to such a length that the child cannot do much harm one way or the other.",Robert Benchley,pet
What counts is not necessarily the size of the dog in the fight - it's the size of the fight in the dog.,Dwight D. Eisenhower,pet
"Money can buy you a fine dog, but only love can make him wag his tail.",Kinky Friedman,pet
Dogs are my favorite people.,Richard Dean Anderson,pet
"I have felt cats rubbing their faces against mine and touching my cheek with claws carefully sheathed. These things, to me, are expressions of love.",James Herriot,pet
The smallest feline is a masterpiece.,Leonardo da Vinci,pet
"I love cats because I enjoy my home and little by little, they become its visible soul.",Jean Cocteau,pet
"A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down.",Robert Benchley,pet
