All bad poetry springs from genuine feeling.,Oscar Wilde,poetry
A poet can survive everything but a misprint.,Oscar Wilde,poetry
"Poetry is not a turning loose of emotion, but an escape from emotion it is not the expression of personality, but an escape from personality. But, of course, only those who have personality and emotions know what it means to want to escape from these things.",T. S. Eliot,poetry
Poetry is when an emotion has found its thought and the thought has found words.,Robert Frost,poetry
"A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.",Robert Frost,poetry
"Poetry is a deal of joy and pain and wonder, with a dash of the dictionary.",Khalil Gibran,poetry
Poetry is what gets lost in translation.,Robert Frost,poetry
Poetry is the rhythmical creation of beauty in words.,Edgar Allan Poe,poetry
Genuine poetry can communicate before it is understood.,T. S. Eliot,poetry
Poetry is nearer to vital truth than history.,Plato,poetry
I was reading the dictionary. I thought it was a poem about everything.,Steven Wright,poetry
One merit of poetry few persons will deny: it says more and in fewer words than prose.,Voltaire,poetry
The poets have been mysteriously silent on the subject of cheese.,Gilbert K. Chesterton,poetry
"Painting is silent poetry, and poetry is painting that speaks.",Plutarch,poetry
"Poetry is an echo, asking a shadow to dance.",Carl Sandburg,poetry
"A poet is, before anything else, a person who is passionately in love with language.",W. H. Auden,poetry
"A poet's work is to name the unnameable, to point at frauds, to take sides, start arguments, shape the world, and stop it going to sleep.",Salman Rushdie,poetry
"To have great poets, there must be great audiences.",Walt Whitman,poetry
Poetry is all that is worth remembering in life.,William Hazlitt,poetry
"Poetry is the opening and closing of a door, leaving those who look through to guess about what is seen during the moment.",Carl Sandburg,poetry
Poetry is the art of uniting pleasure with truth.,Samuel Johnson,poetry
A poem is true if it hangs together. Information points to something else. A poem points to nothing but itself.,E. M. Forster,poetry
"To see clearly is poetry, prophecy and religion all in one.",John Ruskin,poetry
Poets are the unacknowledged legislators of the world.,Percy Bysshe Shelley,poetry
"Poetry is just the evidence of life. If your life is burning well, poetry is just the ash.",Leonard Cohen,poetry
"Always be a poet, even in prose.",Charles Baudelaire,poetry
No poems can please for long or live that are written by water drinkers.,Horace,poetry
"A poem is never finished, only abandoned.",Paul Valery,poetry
Poetry is the synthesis of hyacinths and biscuits.,Carl Sandburg,poetry
Any healthy man can go without food for two days - but not without poetry.,Charles Baudelaire,poetry
Publishing a volume of verse is like dropping a rose petal down the Grand Canyon and waiting for the echo.,Don Marquis,poetry
"Everything one invents is true, you may be perfectly sure of that. Poetry is as precise as geometry.",Gustave Flaubert,poetry
'Therefore' is a word the poet must not know.,Andre Gide,poetry
