"Let us not seek the Republican answer or the Democratic answer, but the right answer. Let us not seek to fix the blame for the past. Let us accept our own responsibility for the future.",John F. Kennedy,politics
"Suppose you were an idiot, and suppose you were a member of Congress but I repeat myself.",Mark Twain,politics
One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.,Plato,politics
"If you put the federal government in charge of the Sahara Desert, in 5 years there'd be a shortage of sand.",Milton Friedman,politics
It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.,Joseph Stalin,politics
"It is better to be violent, if there is violence in our hearts, than to put on the cloak of nonviolence to cover impotence.",Mahatma Gandhi,politics
"The modern conservative is engaged in one of man's oldest exercises in moral philosophy that is, the search for a superior moral justification for selfishness.",John Kenneth Galbraith,politics
"I am extraordinarily patient, provided I get my own way in the end.",Margaret Thatcher,politics
If you have ten thousand regulations you destroy all respect for the law.,Winston Churchill,politics
Healthy citizens are the greatest asset any country can have.,Winston Churchill,politics
"The whole aim of practical politics is to keep the populace alarmed (and hence clamorous to be led to safety) by menacing it with an endless series of hobgoblins, all of them imaginary.",H. L. Mencken,politics
"Democracy is when the indigent, and not the men of property, are the rulers.",Aristotle,politics
Politics is not a game. It is an earnest business.,Winston Churchill,politics
"Whenever a man has cast a longing eye on offices, a rottenness begins in his conduct.",Thomas Jefferson,politics
"The good news is that, according to the Obama administration, the rich will pay for everything. The bad news is that, according to the Obama administration, you're rich.",P. J. O'Rourke,politics
Principles have no real force except when one is well-fed.,Mark Twain,politics
"A conservative is a man with two perfectly good legs who, however, has never learned how to walk forward.",Franklin D. Roosevelt,politics
"If voting changed anything, they'd make it illegal.",Emma Goldman,politics
"If you have always believed that everyone should play by the same rules and be judged by the same standards, that would have gotten you labeled a radical 60 years ago, a liberal 30 years ago and a racist today.",Thomas Sowell,politics
"If the United States of America or Britain is having elections, they don't ask for observers from Africa or from Asia. But when we have elections, they want observers.",Nelson Mandela,politics
"Always vote for principle, though you may vote alone, and you may cherish the sweetest reflection that your vote is never lost.",John Quincy Adams,politics
A fool and his money are soon elected.,Will Rogers,politics
"In this world of sin and sorrow there is always something to be thankful for as for me, I rejoice that I am not a Republican.",H. L. Mencken,politics
I have no ambition to govern men it is a painful and thankless office.,Thomas Jefferson,politics
Politics have no relation to morals.,Niccolo Machiavelli,politics
Those who stand for nothing fall for anything.,Alexander Hamilton,politics
Perseverance is the hard work you do after you get tired of doing the hard work you already did.,Newt Gingrich,politics
"If we don't believe in freedom of expression for people we despise, we don't believe in it at all.",Noam Chomsky,politics
"The Democrats are the party that says government will make you smarter, taller, richer, and remove the crabgrass on your lawn. The Republicans are the party that says government doesn't work and then they get elected and prove it.",P. J. O'Rourke,politics
"Inflation is as violent as a mugger, as frightening as an armed robber and as deadly as a hit man.",Ronald Reagan,politics
My brother Bob doesn't want to be in government - he promised Dad he'd go straight.,John F. Kennedy,politics
The darkest places in hell are reserved for those who maintain their neutrality in times of moral crisis.,Dante Alighieri,politics
Politics has become so expensive that it takes a lot of money even to be defeated.,Will Rogers,politics
Life without liberty is like a body without spirit.,Khalil Gibran,politics
"Politicians also have no leisure, because they are always aiming at something beyond political life itself, power and glory, or happiness.",Aristotle,politics
I don't make jokes. I just watch the government and report the facts.,Will Rogers,politics
"A free America... means just this: individual freedom for all, rich or poor, or else this system of government we call democracy is only an expedient to enslave man to the machine and make him like it.",Frank Lloyd Wright,politics
"Only government can take perfectly good paper, cover it with perfectly good ink and make the combination worthless.",Milton Friedman,politics
"Hell, I never vote for anybody, I always vote against.",W. C. Fields,politics
"A healthy democracy requires a decent society it requires that we are honorable, generous, tolerant and respectful.",Charles W. Pickering,politics
"I have been thinking that I would make a proposition to my Republican friends... that if they will stop telling lies about the Democrats, we will stop telling the truth about them.",Adlai E. Stevenson,politics
"A leader in the Democratic Party is a boss, in the Republican Party he is a leader.",Harry S. Truman,politics
Politics: A strife of interests masquerading as a contest of principles. The conduct of public affairs for private advantage.,Ambrose Bierce,politics
There ain't no answer. There ain't gonna be any answer. There never has been an answer. That's the answer.,Gertrude Stein,politics
"Conservatism has had from its inception vigorously positive, intellectually rigorous agenda and thinking. That agenda should have in my three pillars: strengthen the economy, strengthen our security, and strengthen our families.",Mitt Romney,politics
"Conservative, n: A statesman who is enamored of existing evils, as distinguished from the Liberal who wishes to replace them with others.",Ambrose Bierce,politics
"Whenever men take the law into their own hands, the loser is the law. And when the law loses, freedom languishes.",Robert Kennedy,politics
We would all like to vote for the best man but he is never a candidate.,Kin Hubbard,politics
"When bad men combine, the good must associate else they will fall one by one, an unpitied sacrifice in a contemptible struggle.",Edmund Burke,politics
Ninety percent of the politicians give the other ten percent a bad reputation.,Henry A. Kissinger,politics
"A liberal is a man or a woman or a child who looks forward to a better day, a more tranquil night, and a bright, infinite future.",Leonard Bernstein,politics
"Any American who is prepared to run for president should automatically, by definition, be disqualified from ever doing so.",Gore Vidal,politics
Bad politicians are sent to Washington by good people who don't vote.,William E. Simon,politics
We hang the petty thieves and appoint the great ones to public office.,Aesop,politics
"I love power. But it is as an artist that I love it. I love it as a musician loves his violin, to draw out its sounds and chords and harmonies.",Napoleon Bonaparte,politics
In politics the middle way is none at all.,John Adams,politics
You want a friend in Washington? Get a dog.,Harry S. Truman,politics
"The successful revolutionary is a statesman, the unsuccessful one a criminal.",Erich Fromm,politics
"Conservatives are not necessarily stupid, but most stupid people are conservatives.",John Stuart Mill,politics
"Instead of giving a politician the keys to the city, it might be better to change the locks.",Doug Larson,politics
"Tradition means giving votes to the most obscure of all classes, our ancestors. It is the democracy of the dead. Tradition refuses to submit to that arrogant oligarchy who merely happen to be walking around.",Gilbert K. Chesterton,politics
"There are many men of principle in both parties in America, but there is no party of principle.",Alexis de Tocqueville,politics
"All the president is, is a glorified public relations man who spends his time flattering, kissing, and kicking people to get them to do what they are supposed to do anyway.",Harry S. Truman,politics
A diplomat is a person who can tell you to go to hell in such a way that you actually look forward to the trip.,Caskie Stinnett,politics
"The person who has nothing for which he is willing to fight, nothing which is more important than his own personal safety, is a miserable creature and has no chance of being free unless made and kept so by the exertions of better men than himself.",John Stuart Mill,politics
"'Tis the business of little minds to shrink but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.",Thomas Paine,politics
"When buying and selling are controlled by legislation, the first things to be bought and sold are legislators.",P. J. O'Rourke,politics
He who knows how to flatter also knows how to slander.,Napoleon Bonaparte,politics
I would remind you that extremism in the defense of liberty is no vice! And let me remind you also that moderation in the pursuit of justice is no virtue.,Barry Goldwater,politics
"Apparently, a democracy is a place where numerous elections are held at great cost without issues and with interchangeable candidates.",Gore Vidal,politics
"Politics, it seems to me, for years, or all too long, has been concerned with right or left instead of right or wrong.",Richard Armour,politics
Half of the American people have never read a newspaper. Half never voted for President. One hopes it is the same half.,Gore Vidal,politics
"Radical changes in world politics leave America with a heightened responsibility to be, for the world, an example of a genuinely free, democratic, just and humane society.",Pope John Paul II,politics
Hell hath no fury like a bureaucrat scorned.,Milton Friedman,politics
An idea not coupled with action will never get any bigger than the brain cell it occupied.,Arnold H. Glasow,politics
Power tends to corrupt and absolute power corrupts absolutely.,Lord Acton,politics
"Republicans are men of narrow vision, who are afraid of the future.",Jimmy Carter,politics
Pollution is nothing but the resources we are not harvesting. We allow them to disperse because we've been ignorant of their value.,R. Buckminster Fuller,politics
It is not in the nature of politics that the best men should be elected. The best men do not want to govern their fellowmen.,George MacDonald,politics
"Oh, that lovely title, ex-president.",Dwight D. Eisenhower,politics
Democracy is being allowed to vote for the candidate you dislike least.,Robert Byrne,politics
A liberal is a man who is willing to spend somebody else's money.,Carter Glass,politics
One of the reasons people hate politics is that truth is rarely a politician's objective. Election and power are.,Cal Thomas,politics
Republicans have nothing but bad ideas and Democrats have no ideas.,Lewis Black,politics
In politics nothing is contemptible.,Benjamin Disraeli,politics
"In most places in the country, voting is looked upon as a right and a duty, but in Chicago it's a sport.",Dick Gregory,politics
