The gift of fantasy has meant more to me than my talent for absorbing positive knowledge.,Albert Einstein,positive
I do believe we're all connected. I do believe in positive energy. I do believe in the power of prayer. I do believe in putting good out into the world. And I believe in taking care of each other.,Harvey Fierstein,positive
"Once you replace negative thoughts with positive ones, you'll start having positive results.",Willie Nelson,positive
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar,positive
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",John Wooden,positive
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos,positive
Always turn a negative situation into a positive situation.,Michael Jordan,positive
In order to carry a positive action we must develop here a positive vision.,Dalai Lama,positive
"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.",Demi Lovato,positive
"You've done it before and you can do it now. See the positive possibilities. Redirect the substantial energy of your frustration and turn it into positive, effective, unstoppable determination.",Ralph Marston,positive
"Like success, failure is many things to many people. With Positive Mental Attitude, failure is a learning experience, a rung on the ladder, a plateau at which to get your thoughts in order and prepare to try again.",W. Clement Stone,positive
It takes but one positive thought when given a chance to survive and thrive to overpower an entire army of negative thoughts.,Robert H. Schuller,positive
"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.",Pat Riley,positive
Positive anything is better than negative nothing.,Elbert Hubbard,positive
"I believe in Karma. If the good is sown, the good is collected. When positive things are made, that returns well.",Yannick Noah,positive
"You learn far more from negative leadership than from positive leadership. Because you learn how not to do it. And, therefore, you learn how to do it.",Norman Schwarzkopf,positive
"But I have found that in the simple act of living with hope, and in the daily effort to have a positive impact in the world, the days I do have are made all the more meaningful and precious. And for that I am grateful.",Elizabeth Edwards,positive
"People deal too much with the negative, with what is wrong. Why not try and see positive things, to just touch those things and make them bloom?",Nhat Hanh,positive
"Positive feelings come from being honest about yourself and accepting your personality, and physical characteristics, warts and all and, from belonging to a family that accepts you without question.",Willard Scott,positive
"There is little difference in people, but that little difference makes a big difference. That little difference is attitude. The big difference is whether it is positive or negative.",Robert Collier,positive
A lot of times people look at the negative side of what they feel they can't do. I always look on the positive side of what I can do.,Chuck Norris,positive
Winners make a habit of manufacturing their own positive expectations in advance of the event.,Brian Tracy,positive
"You can't make positive choices for the rest of your life without an environment that makes those choices easy, natural, and enjoyable.",Deepak Chopra,positive
"I believe in karma, and I believe if you put out positive vibes to everybody, that's all you're going to get back.",Kesha,positive
"You must not under any pretense allow your mind to dwell on any thought that is not positive, constructive, optimistic, kind.",Emmet Fox,positive
"When you are enthusiastic about what you do, you feel this positive energy. It's very simple.",Paulo Coelho,positive
"I surround myself with positive, productive people of good will and decency.",Ted Nugent,positive
Your smile will give you a positive countenance that will make people feel comfortable around you.,Les Brown,positive
I've always believed that you can think positive just as well as you can think negative.,James A. Baldwin,positive
"If you are given a chance to be a role model, I think you should always take it because you can influence a person's life in a positive light, and that's what I want to do. That's what it's all about.",Tiger Woods,positive
"A strong, positive self-image is the best possible preparation for success.",Joyce Brothers,positive
"Work hard, stay positive, and get up early. It's the best part of the day.","George Allen, Sr.",positive
I think a lot of times we don't pay enough attention to people with a positive attitude because we assume they are naive or stupid or unschooled.,Amy Adams,positive
"I feel that sin and evil are the negative part of you, and I think it's like a battery: you've got to have the negative and the positive in order to be a complete person.",Dolly Parton,positive
"That's my gift. I let that negativity roll off me like water off a duck's back. If it's not positive, I didn't hear it. If you can overcome that, fights are easy.",George Foreman,positive
I'm looking forward to influencing others in a positive way. My message is you can do anything if you just put your mind to it.,Justin Bieber,positive
