"Good night, good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",William Shakespeare,romantic
Deceiving others. That is what the world calls a romance.,Oscar Wilde,romantic
"The word 'romance,' according to the dictionary, means excitement, adventure, and something extremely real. Romance should last a lifetime.",Billy Graham,romantic
"A tramp, a gentleman, a poet, a dreamer, a lonely fellow, always hopeful of romance and adventure.",Charlie Chaplin,romantic
"Romantic love is mental illness. But it's a pleasurable one. It's a drug. It distorts reality, and that's the point of it. It would be impossible to fall in love with someone that you really saw.",Fran Lebowitz,romantic
"Most cynics are really crushed romantics: they've been hurt, they're sensitive, and their cynicism is a shell that's protecting this tiny, dear part in them that's still alive.",Jeff Bridges,romantic
Morning without you is a dwindled dawn.,Emily Dickinson,romantic
"I am certain of nothing but the holiness of the heart's affections, and the truth of imagination.",John Keats,romantic
Wine comes in at the mouth And love comes in at the eye That's all we shall know for truth Before we grow old and die.,William Butler Yeats,romantic
"When men attempt bold gestures, generally it's considered romantic. When women do it, it's often considered desperate or psycho.",Sarah Jessica Parker,romantic
"I'm a romantic a sentimental person thinks things will last, a romantic person hopes against hope that they won't.",F. Scott Fitzgerald,romantic
French is the language that turns dirt into romance.,Stephen King,romantic
Romantic love is an illusion. Most of us discover this truth at the end of a love affair or else when the sweet emotions of love lead us into marriage and then turn down their flames.,Thomas Moore,romantic
We owe to the Middle Ages the two worst inventions of humanity - romantic love and gunpowder.,Andre Maurois,romantic
Romance is tempestuous. Love is calm.,Mason Cooley,romantic
"Some say that the age of chivalry is past, that the spirit of romance is dead. The age of chivalry is never past, so long as there is a wrong left unredressed on earth.",Charles Kingsley,romantic
"I'm a romantic, and we romantics are more sensitive to the way people feel. We love more, and we hurt more. When we're hurt, we hurt for a long time.",Freddy Fender,romantic
You begin saving the world by saving one man at a time all else is grandiose romanticism or politics.,Charles Bukowski,romantic
"The telephone, which interrupts the most serious conversations and cuts short the most weighty observations, has a romance of its own.",Virginia Woolf,romantic
"The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test.",Joan Chen,romantic
"Wave after wave of love flooded the stage and washed over me, the beginning of the one great durable romance of my life.",Bette Davis,romantic
"Too many women throw themselves into romance because they're afraid of being single, then start making compromises and losing their identity. I won't do that.",Julie Delpy,romantic
"I think romance is anything honest. As long as it's honest, it's so disarming.",Kristen Stewart,romantic
"Romance is thinking about your significant other, when you are supposed to be thinking about something else.",Nicholas Sparks,romantic
"You know, maybe I was just born in the wrong time, but I love all things romantic. Puffy understands that. For my last birthday, he covered my hotel room floor with rose petals and had flowers and candles all over the room.",Jennifer Lopez,romantic
Romance is everything.,Gertrude Stein,romantic
The more we are filled with thoughts of lust the less we find true romantic love.,Douglas Horton,romantic
"Remember, beneath every cynic there lies a romantic, and probably an injured one.",Glenn Beck,romantic
The romantic embrace can only be compared with music and with prayer.,Havelock Ellis,romantic
"The curse of the romantic is a greed for dreams, an intensity of expectation that, in the end, diminishes the reality.",Marya Mannes,romantic
"Since I was seventeen I thought I might be a star. I'd think about all my heroes, Charlie Parker, Jimi Hendrix... I had a romantic feeling about how these people became famous.",Jean-Michel Basquiat,romantic
"I think the American West really attracts me because it's romantic. The desert, the empty space, the drama.",Ang Lee,romantic
"I'm a feminist, but I think that romance has been taken away a bit for my generation. I think what people connect with in novels is this idea of an overpowering, encompassing love - and it being more important and special than anything and everything else.",Emma Watson,romantic
