"When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy. When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.",Khalil Gibran,sad
Every man has his secret sorrows which the world knows not and often times we call a man cold when he is only sad.,Henry Wadsworth Longfellow,sad
"I seldom think about my limitations, and they never make me sad. Perhaps there is just a touch of yearning at times but it is vague, like a breeze among flowers.",Helen Keller,sad
"If my world were to cave in tomorrow, I would look back on all the pleasures, excitements and worthwhilenesses I have been lucky enough to have had. Not the sadness, not my miscarriages or my father leaving home, but the joy of everything else. It will have been enough.",Audrey Hepburn,sad
Sadness is but a wall between two gardens.,Khalil Gibran,sad
It's sad when someone you know becomes someone you knew.,Henry Rollins,sad
"Make the most of your regrets never smother your sorrow, but tend and cherish it till it comes to have a separate and integral interest. To regret deeply is to live afresh.",Henry David Thoreau,sad
"Participate joyfully in the sorrows of the world. We cannot cure the world of sorrows, but we can choose to live in joy.",Joseph Campbell,sad
The walls we build around us to keep sadness out also keeps out the joy.,Jim Rohn,sad
A sad soul can kill quicker than a germ.,John Steinbeck,sad
And I remember going to the record studio and there was a park across the street and I'd see all the children playing and I would cry because it would make me sad that I would have to work instead.,Michael Jackson,sad
The word 'happiness' would lose its meaning if it were not balanced by sadness.,Carl Jung,sad
"I've cried, and you'd think I'd be better for it, but the sadness just sleeps, and it stays in my spine the rest of my life.",Conor Oberst,sad
"Affliction comes to us, not to make us sad but sober not to make us sorry but wise.",H. G. Wells,sad
"Isn't it sad to go to your grave without ever wondering why you were born? Who, with such a thought, would not spring from bed, eager to resume discovering the world and rejoicing to be part of it?",Richard Dawkins,sad
Live by this credo: have a little laugh at life and look around you for happiness instead of sadness. Laughter has always brought me out of unhappy situations.,Red Skelton,sad
Sad things happen. They do. But we don't need to live sad forever.,Mattie Stepanek,sad
"In this world, full often, our joys are only the tender shadows which our sorrows cast.",Henry Ward Beecher,sad
"I do believe that if you haven't learnt about sadness, you cannot appreciate happiness.",Nana Mouskouri,sad
One must not let oneself be overwhelmed by sadness.,Jackie Kennedy,sad
"Every life has a measure of sorrow, and sometimes this is what awakens us.",Steven Tyler,sad
"The tragedy of life is in what dies inside a man while he lives - the death of genuine feeling, the death of inspired response, the awareness that makes it possible to feel the pain or the glory of other men in yourself.",Norman Cousins,sad
"Can I see another's woe, and not be in sorrow too? Can I see another's grief, and not seek for kind relief?",William Blake,sad
"We look before and after, And pine for what is not Our sincerest laughter With some pain is fraught Our sweetest songs are those that tell of saddest thought.",Percy Bysshe Shelley,sad
"Experiencing sadness and anger can make you feel more creative, and by being creative, you can get beyond your pain or negativity.",Yoko Ono,sad
"We're taught to be ashamed of confusion, anger, fear and sadness, and to me they're of equal value to happiness, excitement and inspiration.",Alanis Morissette,sad
"For all sad words of tongue and pen, The saddest are these, 'It might have been'.",John Greenleaf Whittier,sad
It is sadder to find the past again and find it inadequate to the present than it is to have it elude you and remain forever a harmonious conception of memory.,F. Scott Fitzgerald,sad
In deep sadness there is no place for sentimentality.,William S. Burroughs,sad
"Good humor is the health of the soul, sadness is its poison.",Lord Chesterfield,sad
Our sweetest songs are those that tell of saddest thought.,Percy Bysshe Shelley,sad
We never taste a perfect joy our happiest successes are mixed with sadness.,Pierre Corneille,sad
An ounce of cheerfulness is worth a pound of sadness to serve God with.,Thomas Fuller,sad
"I was raised in an atmosphere of 'everything's fine.' But as I got older, I was like, 'Well no, everything's not fine. There is stuff that's sad.' I am a really sensitive person. I think I am too sensitive sometimes.",Ellen DeGeneres,sad
"I can see the humorous side of things and enjoy the fun when it comes but look where I will, there seems to me always more sadness than joy in life.",Jerome K. Jerome,sad
It's a sad man my friend who's livin' in his own skin and can't stand the company.,Bruce Springsteen,sad
"It is one of the most saddening things in life that, try as we may, we can never be certain of making people happy, whereas we can almost always be certain of making them unhappy.",Thomas Huxley,sad
"The rose and the thorn, and sorrow and gladness are linked together.",Saadi,sad
