"Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.",Leo Buscaglia,smile
Don't cry because it's over. Smile because it happened.,Dr. Seuss,smile
"Look back, and smile on perils past.",Walter Scott,smile
A warm smile is the universal language of kindness.,William Arthur Ward,smile
A smile is a curve that sets everything straight.,Phyllis Diller,smile
"A smile is the light in your window that tells others that there is a caring, sharing person inside.",Denis Waitley,smile
"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection.",Thomas Paine,smile
"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.",Paramahansa Yogananda,smile
"After every storm the sun will smile for every problem there is a solution, and the soul's indefeasible duty is to be of good cheer.",William R. Alger,smile
"Be thou the rainbow in the storms of life. The evening beam that smiles the clouds away, and tints tomorrow with prophetic ray.",Lord Byron,smile
They might not need me but they might. I'll let my head be just in sight a smile as small as mine might be precisely their necessity.,Emily Dickinson,smile
"Laughter is day, and sobriety is night a smile is the twilight that hovers gently between both, more bewitching than either.",Henry Ward Beecher,smile
"If you smile when no one else is around, you really mean it.",Andy Rooney,smile
"A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.",William Hazlitt,smile
Jesus wept Voltaire smiled. From that divine tear and from that human smile is derived the grace of present civilization.,Victor Hugo,smile
"Remember even though the outside world might be raining, if you keep on smiling the sun will soon show its face and smile back at you.",Anna Lee,smile
A smile is happiness you'll find right under your nose.,Tom Wilson,smile
"Smile, for everyone lacks self-confidence and more than any other one thing a smile reassures them.",Andre Maurois,smile
Wear a smile and have friends wear a scowl and have wrinkles.,George Eliot,smile
But God can only smile because only God can know what is coming next.,Desmond Tutu,smile
"If you haven't seen your wife smile at a traffic cop, you haven't seen her smile her prettiest.",Kin Hubbard,smile
"The happiness of life is made up of minute fractions - the little, soon forgotten charities of a kiss or a smile, a kind look or heartfelt compliment.",Samuel Taylor Coleridge,smile
Always keep your smile. That's how I explain my long life.,Jeanne Calment,smile
A smile abroad is often a scowl at home.,Alfred Lord Tennyson,smile
And the smile that is worth the praises of earth is the smile that shines through tears.,Ella Wheeler Wilcox,smile
"Courage, not compromise, brings the smile of God's approval.",Thomas S. Monson,smile
"A kind heart is a fountain of gladness, making everything in its vicinity freshen into smiles.",Washington Irving,smile
"The flower in the vase smiles, but no longer laughs.",Malcolm De Chazal,smile
A smile is the universal welcome.,Max Eastman,smile
"Smile, it's free therapy.",Douglas Horton,smile
"When I look out at the people and they look at me and they're smiling, then I know that I'm loved. That is the time when I have no worries, no problems.",Etta James,smile
Better by far you should forget and smile that you should remember and be sad.,Christina Rossetti,smile
Wrinkles will only go where the smiles have been.,Jimmy Buffett,smile
I want to touch the heart of the world and make it smile.,Charles de Lint,smile
A smile is the chosen vehicle of all ambiguities.,Herman Melville,smile
I have witnessed the softening of the hardest of hearts by a simple smile.,Goldie Hawn,smile
Children learn to smile from their parents.,Shinichi Suzuki,smile
"I've always spent more time with a smile on my face than not, but the thing is, I don't write about it.",Robert Smith,smile
I never smile unless I mean it.,Donny Osmond,smile
"I'm really exciting. I smile a lot, I win a lot, and I'm really sexy.",Serena Williams,smile
"The company of fools may first make us smile, but in the end we always feel melancholy.",Oliver Goldsmith,smile
Never a lip is curved with pain that can't be kissed into smiles again.,Bret Harte,smile
I was so embarrassed about mispronouncing words. I just knew how to smile.,Adriana Lima,smile
She gave me a smile I could feel in my hip pocket.,Raymond Chandler,smile
I think that anybody that smiles automatically looks better.,Diane Lane,smile
To smile at the jest which plants a thorn in another's breast is to become a principal in the mischief.,Richard Brinsley Sheridan,smile
Colors are the smiles of nature.,Leigh Hunt,smile
"I have found that a smile and a stick will carry you through all right, and in ninety-nine cases out of a hundred it is the smile that does the trick.",Robert Powell,smile
"If the world's a veil of tears, Smile till rainbows span it.",Lucy Larcom,smile
"It is impossible to persuade a man who does not disagree, but smiles.",Muriel Spark,smile
Youth smiles without any reason. It is one of its chiefest charms.,Thomas Gray,smile
"As happy a man as any in the world, for the whole world seems to smile upon me!",Samuel Pepys,smile
"Let us always meet each other with smile, for the smile is the beginning of love.",Mother Teresa,smile
A woman whose smile is open and whose expression is glad has a kind of beauty no matter what she wears.,Anne Roiphe,smile
Peace begins with a smile.,Mother Teresa,smile
If you have only one smile in you give it to the people you love.,Maya Angelou,smile
"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.",Leonardo da Vinci,smile
We shall never know all the good that a simple smile can do.,Mother Teresa,smile
"The fact that I can plant a seed and it becomes a flower, share a bit of knowledge and it becomes another's, smile at someone and receive a smile in return, are to me continual spiritual exercises.",Leo Buscaglia,smile
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos,smile
"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.",Thomas Paine,smile
"War is a game that is played with a smile. If you can't smile, grin. If you can't grin, keep out of the way till you can.",Winston Churchill,smile
Start every day off with a smile and get it over with.,W. C. Fields,smile
"If by chance some day you're not feeling well and you should remember some silly thing I've said or done and it brings back a smile to your face or a chuckle to your heart, then my purpose as your clown has been fulfilled.",Red Skelton,smile
Anyone who has a continuous smile on his face conceals a toughness that is almost frightening.,Greta Garbo,smile
Beauty is truth's smile when she beholds her own face in a perfect mirror.,Rabindranath Tagore,smile
Joy's smile is much closer to tears than laughter.,Victor Hugo,smile
"A woman has two smiles that an angel might envy, the smile that accepts a lover before words are uttered, and the smile that lights on the first born babe, and assures it of a mother's love.",Thomas Chandler Haliburton,smile
Your smile will give you a positive countenance that will make people feel comfortable around you.,Les Brown,smile
"'Tis easy enough to be pleasant, When life flows along like a song But the man worth while is the one who will smile when everything goes dead wrong.",Ella Wheeler Wilcox,smile
"Marrying for love may be a bit risky, but it is so honest that God can't help but smile on it.",Josh Billings,smile
