"You must not lose faith in humanity. Humanity is an ocean if a few drops of the ocean are dirty, the ocean does not become dirty.",Mahatma Gandhi,society
An armed society is a polite society. Manners are good when one may have to back up his acts with his life.,Robert A. Heinlein,society
It is no measure of health to be well adjusted to a profoundly sick society.,Jiddu Krishnamurti,society
A people that values its privileges above its principles soon loses both.,Dwight D. Eisenhower,society
There is more to life than increasing its speed.,Mahatma Gandhi,society
"Think what a better world it would be if we all, the whole world, had cookies and milk about three o'clock every afternoon and then lay down on our blankets for a nap.",Barbara Jordan,society
Do not waste your time on Social Questions. What is the matter with the poor is Poverty what is the matter with the rich is Uselessness.,George Bernard Shaw,society
"If a man walks in the woods for love of them half of each day, he is in danger of being regarded as a loafer. But if he spends his days as a speculator, shearing off those woods and making the earth bald before her time, he is deemed an industrious and enterprising citizen.",Henry David Thoreau,society
We have a system that increasingly taxes work and subsidizes nonwork.,Milton Friedman,society
What is the use of a house if you haven't got a tolerable planet to put it on?,Henry David Thoreau,society
Most of the change we think we see in life is due to truths being in and out of favor.,Robert Frost,society
The most dangerous creation of any society is the man who has nothing to lose.,James A. Baldwin,society
"The trouble with the rat race is that even if you win, you're still a rat.",Lily Tomlin,society
The danger of the past was that men became slaves. The danger of the future is that man may become robots.,Erich Fromm,society
"No society can surely be flourishing and happy, of which the far greater part of the members are poor and miserable.",Adam Smith,society
The society which scorns excellence in plumbing as a humble activity and tolerates shoddiness in philosophy because it is an exalted activity will have neither good plumbing nor good philosophy: neither its pipes nor its theories will hold water.,John W. Gardner,society
Some people strengthen the society just by being the kind of people they are.,John W. Gardner,society
We must stop thinking of the individual and start thinking about what is best for society.,Hillary Clinton,society
Society has always seemed to demand a little more from human beings than it will get in practice.,George Orwell,society
Society honors its living conformists and its dead troublemakers.,Mignon McLaughlin,society
In these times you have to be an optimist to open your eyes when you awake in the morning.,Carl Sandburg,society
The enemy of society is middle class and the enemy of life is middle age.,Orson Welles,society
"Punishment is now unfashionable... because it creates moral distinctions among men, which, to the democratic mind, are odious. We prefer a meaningless collective guilt to a meaningful individual responsibility.",Thomas Szasz,society
Life was a lot simpler when what we honored was father and mother rather than all major credit cards.,Robert Orben,society
"Formerly, when religion was strong and science weak, men mistook magic for medicine now, when science is strong and religion weak, men mistake medicine for magic.",Thomas Szasz,society
Neither the life of an individual nor the history of a society can be understood without understanding both.,C. Wright Mills,society
I am as frustrated with society as a pyromaniac in a petrified forest.,A. Whitney Brown,society
"A pure democracy is a society consisting of a small number of citizens, who assemble and administer the government in person.",James Madison,society
"Civilization is unbearable, but it is less unbearable at the top.",Timothy Leary,society
The human race's prospects of survival were considerably better when we were defenceless against tigers than they are today when we have become defenceless against ourselves.,Arnold J. Toynbee,society
The first principle of a free society is an untrammeled flow of words in an open forum.,Adlai E. Stevenson,society
The wise person often shuns society for fear of being bored.,Jean de la Bruyere,society
You can find your way across this country using burger joints the way a navigator uses stars.,Charles Kuralt,society
One of the definitions of sanity is the ability to tell real from unreal. Soon we'll need a new definition.,Alvin Toffler,society
"I think this society suffers so much from too much freedom, too many rights that allow people to be irresponsible.",Boyd Rice,society
Perhaps in time the so-called Dark Ages will be thought of as including our own.,Georg C. Lichtenberg,society
To give aid to every poor man is far beyond the reach and power of every man. Care of the poor is incumbent on society as a whole.,Baruch Spinoza,society
"Our individual lives cannot, generally, be works of art unless the social order is also.",Charles Horton Cooley,society
"Good-looking individuals are treated better than homely ones in virtually every social situation, from dating to trial by jury.",Martha Beck,society
"Suburbia is where the developer bulldozes out the trees, then names the streets after them.",Bill Vaughan,society
"Man is the animal that intends to shoot himself out into interplanetary space, after having given up on the problem of an efficient way to get himself five miles to work and back each day.",Bill Vaughan,society
The world is governed more by appearance than realities so that it is fully as necessary to seem to know something as to know it.,Daniel Webster,society
"How can a society that exists on instant mashed potatoes, packaged cake mixes, frozen dinners, and instant cameras teach patience to its young?",Paul Sweeney,society
It is not a fragrant world.,Raymond Chandler,society
Cockroaches and socialites are the only things that can stay up all night and eat anything.,Herb Caen,society
"Normal social behavior requires that we be able to recognize identities in spite of change. Unless we can do so, there can be no human society as we know it.",Kenneth L. Pike,society
