"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.",Michael Jordan,sports
It's good sportsmanship to not pick up lost golf balls while they are still rolling.,Mark Twain,sports
Golf is a good walk spoiled.,Mark Twain,sports
"When the going gets weird, the weird turn pro.",Hunter S. Thompson,sports
Many men go fishing all of their lives without knowing that it is not fish they are after.,Henry David Thoreau,sports
"It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.",Muhammad Ali,sports
Just play. Have fun. Enjoy the game.,Michael Jordan,sports
Don't look back. Something might be gaining on you.,Satchel Paige,sports
"As athletes, we're used to reacting quickly. Here, it's 'come, stop, come, stop.' There's a lot of downtime. That's the toughest part of the day.",Michael Jordan,sports
"If winning isn't everything, why do they keep score?",Vince Lombardi,sports
"Gold medals aren't really made of gold. They're made of sweat, determination, and a hard-to-find alloy called guts.",Dan Gable,sports
People ask me what I do in winter when there's no baseball. I'll tell you what I do. I stare out the window and wait for spring.,Rogers Hornsby,sports
Half the lies they tell about me aren't true.,Yogi Berra,sports
I want to rip out his heart and feed it to Lennox Lewis. I want to kill people. I want to rip their stomachs out and eat their children.,Mike Tyson,sports
"You can't put a limit on anything. The more you dream, the farther you get.",Michael Phelps,sports
"Show me a good loser, and I'll show you a loser.",Vince Lombardi,sports
A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.,Wayne Gretzky,sports
"Serious sport has nothing to do with fair play. It is bound up with hatred, jealousy, boastfulness, disregard of all rules and sadistic pleasure in witnessing violence. In other words, it is war minus the shooting.",George Orwell,sports
I'd just as soon play tennis with the net down.,Robert Frost,sports
Baseball has the great advantage over cricket of being sooner ended.,George Bernard Shaw,sports
"Winning is habit. Unfortunately, so is losing.",Vince Lombardi,sports
Hockey is a sport for white men. Basketball is a sport for black men. Golf is a sport for white men dressed like black pimps.,Tiger Woods,sports
"I went to a fight the other night, and a hockey game broke out.",Rodney Dangerfield,sports
Adversity causes some men to break others to break records.,William Arthur Ward,sports
Most people never run far enough on their first wind to find out they've got a second.,William James,sports
