It has become appallingly obvious that our technology has exceeded our humanity.,Albert Einstein,technology
"The typewriting machine, when played with expression, is no more annoying than the piano when played by a sister or near relation.",Oscar Wilde,technology
Any sufficiently advanced technology is indistinguishable from magic.,Arthur C. Clarke,technology
"The world is very different now. For man holds in his mortal hands the power to abolish all forms of human poverty, and all forms of human life.",John F. Kennedy,technology
I am sorry to say that there is too much point to the wisecrack that life is extinct on other planets because their scientists were more advanced than ours.,John F. Kennedy,technology
The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,Bill Gates,technology
"Technology is just a tool. In terms of getting the kids working together and motivating them, the teacher is the most important.",Bill Gates,technology
Men have become the tools of their tools.,Henry David Thoreau,technology
One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,Elbert Hubbard,technology
Everybody gets so much information all day long that they lose their common sense.,Gertrude Stein,technology
Technological progress has merely provided us with more efficient means for going backwards.,Aldous Huxley,technology
People who are really serious about software should make their own hardware.,Alan Kay,technology
All of the books in the world contain no more information than is broadcast as video in a single large American city in a single year. Not all bits have equal value.,Carl Sagan,technology
The march of science and technology does not imply growing intellectual complexity in the lives of most people. It often means the opposite.,Thomas Sowell,technology
We've arranged a civilization in which most crucial elements profoundly depend on science and technology.,Carl Sagan,technology
Bill Gates is a very rich man today... and do you want to know why? The answer is one word: versions.,Dave Barry,technology
"Telephone, n. An invention of the devil which abrogates some of the advantages of making a disagreeable person keep his distance.",Ambrose Bierce,technology
Getting information off the Internet is like taking a drink from a fire hydrant.,Mitchell Kapor,technology
"Inventor: A person who makes an ingenious arrangement of wheels, levers and springs, and believes it civilization.",Ambrose Bierce,technology
"Soon silence will have passed into legend. Man has turned his back on silence. Day after day he invents machines and devices that increase noise and distract humanity from the essence of life, contemplation, meditation.",Jean Arp,technology
Making duplicate copies and computer printouts of things no one wanted even one of in the first place is giving America a new sense of purpose.,Andy Rooney,technology
"Globalization, as defined by rich people like us, is a very nice thing... you are talking about the Internet, you are talking about cell phones, you are talking about computers. This doesn't affect two-thirds of the people of the world.",Jimmy Carter,technology
The Internet is the most important single development in the history of human communication since the invention of call waiting.,Dave Barry,technology
Do you realize if it weren't for Edison we'd be watching TV by candlelight?,Al Boliska,technology
The machine does not isolate man from the great problems of nature but plunges him more deeply into them.,Antoine de Saint-Exupery,technology
