It takes courage to grow up and become who you really are.,e. e. cummings,teen
The greatest day in your life and mine is when we take total responsibility for our attitudes. That's the day we truly grow up.,John C. Maxwell,teen
As a teenager I was so insecure. I was the type of guy that never fitted in because he never dared to choose. I was convinced I had absolutely no talent at all. For nothing. And that thought took away all my ambition too.,Johnny Depp,teen
As a teenager you are at the last stage in your life when you will be happy to hear that the phone is for you.,Fran Lebowitz,teen
"We never really grow up, we only learn how to act in public.",Bryan White,teen
Being a teenager is an amazing time and a hard time. It's when you make your best friends - I have girls who will never leave my heart and I still talk to. You get the best and the worst as a teen. You have the best friendships and the worst heartbreaks.,Sophia Bush,teen
Youth is the trustee of prosperity.,Benjamin Disraeli,teen
"Adolescents are not monsters. They are just people trying to learn how to make it among the adults in the world, who are probably not so sure themselves.",Virginia Satir,teen
"To an adolescent, there is nothing in the world more embarrassing than a parent.",Dave Barry,teen
Heredity is what sets the parents of a teenager wondering about each other.,Laurence J. Peter,teen
"Your modern teenager is not about to listen to advice from an old person, defined as a person who remembers when there was no Velcro.",Dave Barry,teen
You have teenagers thinking they're going to make millions as NBA stars when that's not realistic for even 1 percent of them. Becoming a scientist or engineer is.,Dean Kamen,teen
"Growing up, I've enjoyed hunting with my father.",Dale Earnhardt,teen
My teenage years were exactly what they were supposed to be. Everybody has their own path. It's laid out for you. It's just up to you to walk it.,Justin Timberlake,teen
"Growing up, I didn't have a lot of toys, and personal entertainment depended on individual ingenuity and imagination - think up a story and go live it for an afternoon.",Terry Brooks,teen
"I wanted to be with the kind of people I'd grown up with, but you can't go back to them and be one of them again, no matter how hard you try.",Ethel Waters,teen
"So many people try to grow up too fast, and it's not fun! You should stay a kid as long as possible!",Vanessa Hudgens,teen
A fairly bright boy is far more intelligent and far better company than the average adult.,John B. S. Haldane,teen
"I'm a teenager, but I'm independent - I have my own apartment, I have my own life. And I think I have learned more than any of those teenagers have in school. I learned to be responsible, leaving my family and coming here alone.",Adriana Lima,teen
My kids idea of a hard life is to live in a house with only one phone.,George Foreman,teen
All teenagers have this desire to somehow run away.,Joan Chen,teen
