"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.",Tecumseh,thankful
"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.",John Wooden,thankful
"When you practice gratefulness, there is a sense of respect toward others.",Dalai Lama,thankful
Sometimes our light goes out but is blown into flame by another human being. Each of us owes deepest thanks to those who have rekindled this light.,Albert Schweitzer,thankful
"Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts.",Alan Cohen,thankful
"I am thankful for laughter, except when milk comes out of my nose.",Woody Allen,thankful
"The unthankful heart... discovers no mercies but let the thankful heart sweep through the day and, as the magnet finds the iron, so it will find, in every hour, some heavenly blessings!",Henry Ward Beecher,thankful
Some people are always grumbling because roses have thorns I am thankful that thorns have roses.,Alphonse Karr,thankful
"I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder.",Gilbert K. Chesterton,thankful
Keep your eyes open to your mercies. The man who forgets to be thankful has fallen asleep in life.,Robert Louis Stevenson,thankful
"It is another's fault if he be ungrateful, but it is mine if I do not give. To find one thankful man, I will oblige a great many that are not so.",Lucius Annaeus Seneca,thankful
Thankfulness is the beginning of gratitude. Gratitude is the completion of thankfulness. Thankfulness may consist merely of words. Gratitude is shown in acts.,Henri Frederic Amiel,thankful
"God has two dwellings one in heaven, and the other in a meek and thankful heart.",Izaak Walton,thankful
Old age is not a matter for sorrow. It is matter for thanks if we have left our work done behind us.,Thomas Carlyle,thankful
"I am what I am, I'm doing very well in my life, and I'm thankful to God for that.",LL Cool J,thankful
"Thanks to television, for the first time the young are seeing history made before it is censored by their elders.",Margaret Mead,thankful
"I'm thankful for serendipitous moments in my life, where things could've gone the other way.",Rick Springfield,thankful
"I'm thankful to be breathing, on this side of the grass. Whatever comes, comes.",Ron Perlman,thankful
"It's been quite a roller coaster ride, but I've grown and learned a lot about myself. The greatest thing is being able to interact with fans and touch people's lives... for that I give thanks.",Christina Aguilera,thankful
Unseasonable kindness gets no thanks.,Thomas Fuller,thankful
"Every day I've got to be thankful that I am alive, and you never know - the cliche is, I guess, you could get hit by a bus tomorrow, so you'd better be at peace with whatever you got going at the moment.",Joseph Gordon-Levitt,thankful
"From too much love of living, From hope and fear set free, We thank with brief thanksgiving Whatever gods may be That no life lives for ever That dead men rise up never That even the weariest river Winds somewhere safe to sea.",Algernon Charles Swinburne,thankful
"I am thankful, of course, for the prize and thankful to God for each story, each idea, each word, each day.",Isaac Bashevis Singer,thankful
"Thank God we're living in a country where the sky's the limit, the stores are open late and you can shop in bed thanks to television.",Joan Rivers,thankful
"Thank you, dear God, for this good life and forgive us if we do not love it enough. Thank you for the rain. And for the chance to wake up in three hours and go fishing: I thank you for that now, because I won't feel so thankful then.",Garrison Keillor,thankful
"As we look forward to freedom, the shining city on the hill and the best days of America lying ahead, it is the men and women in uniform who protect, defend and make us proud to whom we should look and give thanks every night.",Robin Hayes,thankful
"I do not so much rejoice that God hath made me to be a Queen, as to be a Queen over so thankful a people.",Elizabeth I,thankful
Most people repent their sins by thanking God they ain't so wicked as their neighbors.,Josh Billings,thankful
