"Be thankful for what you have you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.",Oprah Winfrey,thanksgiving
"I celebrated Thanksgiving in an old-fashioned way. I invited everyone in my neighborhood to my house, we had an enormous feast, and then I killed them and took their land.",Jon Stewart,thanksgiving
The thankful receiver bears a plentiful harvest.,William Blake,thanksgiving
Gratitude is the inward feeling of kindness received. Thankfulness is the natural impulse to express that feeling. Thanksgiving is the following of that impulse.,Henry Van Dyke,thanksgiving
Thanksgiving dinners take eighteen hours to prepare. They are consumed in twelve minutes. Half-times take twelve minutes. This is not coincidence.,Erma Bombeck,thanksgiving
To give thanks in solitude is enough. Thanksgiving has wings and goes where it must go. Your prayer knows much more about it than you do.,Victor Hugo,thanksgiving
There is one day that is ours. Thanksgiving Day is the one day that is purely American.,O. Henry,thanksgiving
"If you are really thankful, what do you do? You share.",W. Clement Stone,thanksgiving
"Dear Lord we beg but one boon more: Peace in the hearts of all men living, peace in the whole world this Thanksgiving.",Joseph Auslander,thanksgiving
My cooking is so bad my kids thought Thanksgiving was to commemorate Pearl Harbor.,Phyllis Diller,thanksgiving
"Best of all is it to preserve everything in a pure, still heart, and let there be for every pulse a thanksgiving, and for every breath a song.",Konrad von Gesner,thanksgiving
For what I have received may the Lord make me truly thankful. And more truly for what I have not received.,Storm Jameson,thanksgiving
"Thanksgiving, man. Not a good day to be my pants.",Kevin James,thanksgiving
It is now common knowledge that the average American gains 7 pounds between Thanksgiving and New Year's Day.,Marilu Henner,thanksgiving
"Even though we're a week and a half away from Thanksgiving, it's beginning to look a lot like Christmas.",Richard Roeper,thanksgiving
I'm thankful for every moment.,Al Green,thanksgiving
"If you think Independence Day is America's defining holiday, think again. Thanksgiving deserves that title, hands-down.",Tony Snow,thanksgiving
"If a fellow isn't thankful for what he's got, he isn't likely to be thankful for what he's going to get.",Frank A. Clark,thanksgiving
An optimist is a person who starts a new diet on Thanksgiving Day.,Irv Kupcinet,thanksgiving
"Drink and be thankful to the host! What seems insignificant when you have it, is important when you need it.",Franz Grillparzer,thanksgiving
