It is better to travel well than to arrive.,Buddha,travel
"Perhaps travel cannot prevent bigotry, but by demonstrating that all peoples cry, laugh, eat, worry, and die, it can introduce the idea that if we try and understand each other, we may even become friends.",Maya Angelou,travel
"One travels more usefully when alone, because he reflects more.",Thomas Jefferson,travel
"Though we travel the world over to find the beautiful, we must carry it with us or we find it not.",Ralph Waldo Emerson,travel
"The World is a book, and those who do not travel read only a page.",Saint Augustine,travel
Never go on trips with anyone you do not love.,Ernest Hemingway,travel
What does it mean to pre-board? Do you get on before you get on?,George Carlin,travel
I dislike feeling at home when I am abroad.,George Bernard Shaw,travel
"I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move.",Robert Louis Stevenson,travel
"We travel, some of us forever, to seek other states, other lives, other souls.",Anais Nin,travel
"If you wish to travel far and fast, travel light. Take off all your envies, jealousies, unforgiveness, selfishness and fears.",Cesare Pavese,travel
Reminds me of my safari in Africa. Somebody forgot the corkscrew and for several days we had to live on nothing but food and water.,W. C. Fields,travel
To travel is to discover that everyone is wrong about other countries.,Aldous Huxley,travel
"Travel, in the younger sort, is a part of education in the elder, a part of experience.",Francis Bacon,travel
"I've always enjoyed traveling and having experience with different cultures and different people. But it's also a wonderful thing to be able to benefit and enable research, not only in our country but around the world.",Laurel Clark,travel
"The traveler sees what he sees, the tourist sees what he has come to see.",Gilbert K. Chesterton,travel
"When traveling with someone, take large does of patience and tolerance with your morning coffee.",Helen Hayes,travel
"No one realizes how beautiful it is to travel until he comes home and rests his head on his old, familiar pillow.",Lin Yutang,travel
"Like all great travellers, I have seen more than I remember, and remember more than I have seen.",Benjamin Disraeli,travel
He travels the fastest who travels alone.,Rudyard Kipling,travel
Travelers repose and dream among my leaves.,William Blake,travel
"Our deeds still travel with us from afar, and what we have been makes us what we are.",George Eliot,travel
"To the lover of wilderness, Alaska is one of the most wonderful countries in the world.",John Muir,travel
"It is not fit that every man should travel it makes a wise man better, and a fool worse.",William Hazlitt,travel
A wise traveler never despises his own country.,William Hazlitt,travel
Just got back from a pleasure trip: I took my mother-in-law to the airport.,Henny Youngman,travel
Airplane travel is nature's way of making you look like your passport photo.,Al Gore,travel
"In America there are two classes of travel - first class, and with children.",Robert Benchley,travel
You know more of a road by having traveled it than by all the conjectures and descriptions in the world.,William Hazlitt,travel
"You define a good flight by negatives: you didn't get hijacked, you didn't crash, you didn't throw up, you weren't late, you weren't nauseated by the food. So you are grateful.",Paul Theroux,travel
Travelers never think that they are the foreigners.,Mason Cooley,travel
"The traveler was active he went strenuously in search of people, of adventure, of experience. The tourist is passive he expects interesting things to happen to him. He goes 'sight-seeing.'",Daniel J. Boorstin,travel
A man travels the world in search of what he needs and returns home to find it.,George Edward Moore,travel
