"Love all, trust a few, do wrong to none.",William Shakespeare,trust
"For every good reason there is to lie, there is a better reason to tell the truth.",Bo Bennett,trust
The trust of the innocent is the liar's most useful tool.,Stephen King,trust
Learning to trust is one of life's most difficult tasks.,Isaac Watts,trust
"Trust yourself. Create the kind of self that you will be happy to live with all your life. Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.",Golda Meir,trust
To be trusted is a greater compliment than being loved.,George MacDonald,trust
All I have seen teaches me to trust the creator for all I have not seen.,Ralph Waldo Emerson,trust
A lie can travel half way around the world while the truth is putting on its shoes.,Charles Spurgeon,trust
Someone who thinks the world is always cheating him is right. He is missing that wonderful feeling of trust in someone or something.,Eric Hoffer,trust
"Never trust anyone who wants what you've got. Friend or no, envy is an overwhelming emotion.",Eubie Blake,trust
"Trust is to human relationships what faith is to gospel living. It is the beginning place, the foundation upon which more can be built. Where trust is, love can flourish.",Barbara Smith,trust
I would rather trust a woman's instinct than a man's reason.,Stanley Baldwin,trust
"The more you trust your intuition, the more empowered you become, the stronger you become, and the happier you become.",Gisele Bundchen,trust
Trust your hunches. They're usually based on facts filed away just below the conscious level.,Joyce Brothers,trust
Never be afraid to trust an unknown future to a known God.,Corrie Ten Boom,trust
The most important lesson that I have learned is to trust God in every circumstance. Lots of times we go through different trials and following God's plan seems like it doesn't make any sense at all. God is always in control and he will never leave us.,Allyson Felix,trust
"Trust yourself, then you will know how to live.",Johann Wolfgang von Goethe,trust
A man who trusts nobody is apt to be the kind of man nobody trusts.,Harold MacMillan,trust
You can't trust water: Even a straight stick turns crooked in it.,W. C. Fields,trust
"Depend upon yourself. Make your judgement trustworthy by trusting it. You can develop good judgement as you do the muscles of your body - by judicious, daily exercise. To be known as a man of sound judgement will be much in your favor.",Grantland Rice,trust
"Just trust yourself, then you will know how to live.",Johann Wolfgang von Goethe,trust
I always trust my gut reaction it's always right.,Kiana Tom,trust
"When I get logical, and I don't trust my instincts - that's when I get in trouble.",Angelina Jolie,trust
"I can trust my friends These people force me to examine myself, encourage me to grow.",Cher,trust
"Trust your own instinct. Your mistakes might as well be your own, instead of someone else's.",Billy Wilder,trust
"A half truth, like half a brick, is always more forcible as an argument than a whole one. It carries better.",Stephen Leacock,trust
"I repeat... that all power is a trust that we are accountable for its exercise that from the people and for the people all springs, and all must exist.",Benjamin Disraeli,trust
